title,tags
"Where can I find the earliest literary compendium for the Greek Pantheon?","<greek><pantheon><reference-request>"
"Did the Greeks build temples for all of the children of Cronus?","<greek>"
"Did the Gods and Goddesses in Norse mythology act as patron gods?","<norse><comparative><teutonic>"
"Was the Minotaur a single being, or a race?","<greek><mythical-creatures><daedalus>"
"Did Zeus have any male lovers?","<greek><zeus>"
"How was it decided which warriors would go to Fólkvangr and which to Valhalla?","<norse><afterlife><valhalla><folkvangr>"
"What is the difference between a God and a Titan?","<greek><olympians><titans>"
"How were djinn traditionally depicted in pre-Islamic Arabic myth?","<arabic>"
"Do we know of the existence of Japanese mythological texts that predate the Kojiki?","<japanese>"
"Are there any myths we can plausibly trace back to a common Proto-Indo-European ancestor?","<comparative>"
"Were any Buddhist narratives ever folded into the myths of the Greeks, or vice versa?","<greek><comparative><buddhist>"
"Why did Egyptian Gods have animal heads?","<egyptian><animals>"
"Are Excalibur and Caliburn different swords?","<arthurian>"
"How does the Scientological creation myth describe the rebirth of humankind following Xenu's hydrogen bombing?","<creation><scientology>"
"Is there a connection between Adam and Eve, and Ask and Embla?","<norse><comparative><abrahamic-religions><linguistics>"
"How many sons did Zeus father through mortal women?","<greek><zeus><demi-gods><family-tree>"
"What was the plant that Gilgamesh found after Utnapishtim's story?","<sumerian><gilgamesh><flood-myth><immortality><plants>"
"How were eclipses explained in Egyptian mythology?","<egyptian><eclipse>"
"Does Kalki appear at the end of every Kali Yuga, or just the current one?","<hindu>"
"Who was the father of Theseus?","<greek><theseus><parentage>"
"What did the Mayans believe would happen when the Long Count rolled over to a new baktun, like it did on Dec 21, 2012?","<maya><mesoamerica>"
"Why was it a good thing that hope remained in Pandora's box?","<greek><pandora>"
"What is the link between Odin and Santa Claus?","<norse><christmas><modern-influence><santa-claus>"
"What differences were there in Greek soldiers worship of Ares and Roman soldiers worship of Mars?","<greek><roman><ares>"
"Who gave Hermes his winged shoes?","<greek><god-items><hermes>"
"What is the meaning of not giving clothes to supernatural helpers?","<mythical-creatures><folklore><celtic><symbolism><interpretation>"
"Greek/Roman Mermaids","<greek><mythical-creatures><roman>"
"What is the meaning of the half burning tree in the Mabinogion?","<welsh><mabinogion><arthurian><the-native-tales>"
"Why is it so bad to be born in the Year of the Fire Horse?","<japanese><superstition><zodiac>"
"Why would turning clothes inside-out keep the Faerie away?","<irish><interpretation><fairies>"
"Why are Kore and Persephone interchangeable in the myth regarding Hades wife?","<greek><underworld><hades>"
"What is the River Styx?","<greek><underworld>"
"Why, according to Joseph Campbell, is the monomyth so common?","<comparative><monomyth><joseph-campbell>"
"Why is Heracles named after Hera if she hated him so much?","<greek><hercules><hera>"
"Is there support for the theory that the Mayan deity Chac represents an elephant?","<maya>"
"Can a werewolf be killed by any silver weapon or must it be a bullet?","<weapons><werewolves><apotropaism>"
"According to the myth of the indigenous people of the Pacific Northwest, how did people get fire?","<native-american><pacific-northwest>"
"Were there some differences in mythology between the different city-states?","<greek>"
"How did Zeus, Poseidon, and Hades decide who would rule what?","<greek><zeus><olympians><hades><poseidon>"
"Where did the Easter Islanders come from, according to their own myths?","<origins><polynesian><easter-island>"
"Was the Mjölnir usable by only the worthy?","<norse><god-items><weapons>"
"How long ago was the Dreaming?","<creation><indigenous-australian><dreamtime><dreams>"
"When and how did the Greek mythos transfer to the Romans?","<greek><comparative><roman><history>"
"What do we know about the beliefs of the people of modern India before Hinduism and how much did that affect modern Hinduism?","<hindu><history>"
"Was there a cult of Hercules in Germania?","<greek><roman><hercules>"
"Why is Roman Mythology so similar to Greek Mythology or vice versa?","<greek><roman>"
"Who worshipped the Titans?","<greek><titans>"
"When did ""Herm"" images appear in Greece?","<greek><hermes>"
"In Ho-Chunk mythos, how was the world created?","<native-american><creation>"
"Is there any explanation in greek mythology for the creation of Uranus and Gaea?","<greek><origins><creation>"
"How was Guan Yu deified?","<folklore><chinese>"
"What exactly did Apollo do with respect to the Sun?","<greek><sun><apollo>"
"How is the Hoddmímis holt able to protect humans from Ragnarök?","<norse><ragnarok><apocalypse>"
"Who created the Primordials?","<greek><origins>"
"Who did Adam and Eve's son Cain marry?","<christianity>"
"Who is the Chinese supreme god?","<chinese>"
"Is there any textual evidence that confirms the color of Hindu gods?","<hindu><reference-request>"
"Why aren't bears more revered in Korean culture?","<korean>"
"Why were there exactly 12 main Olympian Gods?","<greek><symbolism><olympians>"
"Why is the Serpent the most common motif as the creator in indigenous Australian cultures?","<creation><symbolism><indigenous-australian>"
"Who made Mjölnir?","<norse><god-items><thor><weapons>"
"What happened to Medusa's sisters?","<greek><mythical-creatures><medusa>"
"How did Gilgamesh die?","<gilgamesh><sumerian><mesopotamia>"
"Importance of Dionysos/Bacchus in Orphism","<greek><roman><orphism><dionysus>"
"What happened to the Fir Bolg after Ireland was conquered by the Tuatha Dé Danann?","<irish><mythohistory>"
"Is the Kraken a single being or a species?","<norse><mythical-creatures>"
"How do we know that Gilgamesh was a demigod?","<sumerian><gilgamesh><demi-gods>"
"When did Korrigans become part of the Breton folklore?","<folklore><celtic><brittany>"
"Worship of Epona in the Roman Empire","<roman><celtic>"
"Who were the Anunnaki according to Sumerians' tales?","<sumerian><mesopotamia><anunnaki><reference-request>"
"Were Sirens humans or Monsters?","<greek><mythical-creatures>"
"Was Eurystheus a lover of Heracles? Did Heracles have any other male lovers?","<greek><hercules><demi-gods><love>"
"Who are those that Cain refers to in Chapter 4:14?","<christianity>"
"Do Welsh fairies marry human women?","<welsh><british><folklore><fairies>"
"What was the Plant of Everlasting Youth?","<sumerian><gilgamesh><immortality><plants>"
"Was the constellation named after the Bull of Heaven?","<mesopotamia><zodiac>"
"What species is the Lady of the Lake?","<mythical-creatures><arthurian>"
"Was Apollonius of Tyana a historical figure?","<greek>"
"How does merging of two gods actually work?","<egyptian>"
"What is Loki considered to be?","<norse><giants><loki>"
"What items were made by the dwarves for the Norse gods?","<norse><god-items>"
"Does anything in the Matter of Britain ever explain or otherwise address Stonehenge?","<british>"
"Why was Amaterasu so angered by the flayed horse that Susanoo threw at her?","<japanese><shinto>"
"How many Annunaki were living on Earth at the peak of their time?","<mesopotamia><anunnaki>"
"How many Great Gods did the Sumerians have?","<sumerian>"
"What was the purpose of the Labyrinth built by Daedalus?","<greek><homer><labyrinth><daedalus>"
"What was the definitive reason behind Sisyphus punishment?","<greek><homer>"
"Are Kitsune and Huli jing the same?","<mythical-creatures><japanese><chinese>"
"What is the significance of the sport ball in the Popol Vuh?","<maya><popol-vuh><mesoamerica>"
"How does the Genius concept fit into the Roman Mythology?","<roman><concepts>"
"Son of Heaven: who is the father/mother?","<chinese>"
"How and why was Talos killed?","<greek><mythical-creatures><talos>"
