title,tags
"Looking for prior work parsing NCDC's Integrated Surface Data","<data.gov><weather><noaa>"
"Census data at every block level in US cities","<usa><data.gov><us-census>"
"A database of drugs and their targets","<data-request><medical>"
"VAT Rates of EU or better all Countries","<data-request><economics><taxes>"
"Language Similarity Heuristic","<data-request><language>"
"Download a sample database of calls in telecommunication","<data-request><telecom>"
"Where can I find a large list of English books published in the last 50 years?","<data-request><books>"
"Looking for geo localization data of golf courses","<data-request><geospatial><api><sports>"
"Searching a proxy for monthly GDP","<data-request><economics>"
"Collection of messy data","<data-request><education>"
"Where can I find data from released computer models?","<data-request><products>"
"Dataset of personal names","<data-request><names>"
"What do the summary files in the ACS FTP drive mean?","<usa><us-census>"
"Coding homework dataset","<data-request><programming>"
"Why isn't RDF more popular within the private sector?","<linked-data><rdf>"
"Data mining for US demographics","<data-request><usa><data.gov><us-census>"
"Where can I find data by ""census tract numbers""","<usa><data.gov><us-census>"
"Archive of ZIP code changes","<usa><postal-code><historical>"
"USDA Plant Hardiness Zone Map (PHZM) data","<data-request><usa><government><data.gov>"
"Where to find key log data for keyboard usage?","<data-request><computing>"
"How much data is available on the Internet?","<data-request><internet>"
"What open data about tunes and melodies exist? Do copyrights apply here?","<data-request><licensing><legal><music>"
"Population movement datasets?","<data-request><transportation>"
"How to make a successful FOIA request?","<usa><government><releasing-data><foia>"
"Is there a database that provides lengths of books?","<data-request><api><books>"
"A dataset of resumes","<data-request><business>"
"Looking for an UTF-8 table","<data-request><computing>"
"Where can I find the 2014 release of Medicare data from 2012?","<data-request><government>"
"Where can I find all cities, regions and cantons of Switzerland?","<data-request><geospatial>"
"List of public holidays by countries?","<data-request><calendar>"
"What is the best tool for doing explorative analysis of databases?","<tool-request><sql>"
"Source for photographs of sample checks","<data-request><finance>"
"Where can I find historical aerials for some areas in Dona Ana County, New Mexico?","<data-request><usa><images><historical><aerial-photography>"
"Administrative boundary of Colorado State Forest","<data-request><data.gov>"
"Contains filter in SODA2 API call","<socrata>"
"Data on charging station for electrical cars","<geospatial>"
"Where can I find publicly available data on American dietary habits and food intake during the Great Depression?","<medical><historical><food>"
"Apartment locations in Pennsylvania?","<geospatial><usa><real-estate>"
"Is there any pro wrestling dataset available ?","<uses-of-open-data><sports><database>"
"Area income data for percentiles other than the median?","<usa><us-census><economics><income>"
"Looking for spatially referenced aerial photos","<data-request><geospatial><usa><aerial-photography>"
"Gender pay gap dataset","<economics>"
"MIMIC-III medication order frequencies","<mimic-iii>"
"Filter wikidata results with 'around' service","<geospatial><wikidata>"
"how to open and read .alarms files in MIMIC II","<mimic-iii>"
"one US zipcode for two cities what should i default to?","<postal-code>"
"use cases and datasets for manufacturing industry","<machine-learning><analysis>"
"Seeking data for image fusion of satellite and UAV/ drone data?","<geospatial><images>"
"Data for all lakes on Earth?","<data-request><geospatial><metadata>"
"using openfda.brand_name.exact:""Tylenol"" case sensitive","<openfda>"
"Has anyone created an RDBMS database for NOAA weather data?","<noaa>"
"Where can I find a large log dataset?","<parsing>"
"How to find a list of all dairy farms in the New York State?","<data-request><data.gov>"
"Seeking Election Voting Data for Constituencies for Karnataka State Elections for 2013 and 2018","<india><elections>"
"Seeking examples of Open Data in formal journalism Standards & Practices","<journalism>"
"Famous people API","<api><rest>"
"Vital statistics of the United States (early 20th century)","<us-census><historical>"
"Where to find datasets for creating carto vl maps?","<data-request><geospatial><uses-of-open-data>"
"Search queries on open data sites","<data-request>"
"Is there a free historical database of US corporate yields or spreads by maturity buckets?","<data-request><usa><historical>"
"Data for spare parts for large machines/equipments","<data-request>"
"Drug label information does not include all approved drugs (kymriah and yescarta missing)","<openfda>"
"Ordered admissions","<mimic-iii>"
"download and convert the data of the Medical Device Adverse Event database","<openfda><download>"
"GIS Data for Illinois Electric Distribution lines and Substations","<data-request><geospatial><usa><energy>"
"Where can I find publicly available economic data (American) on consumption, business spending, etc. for 1900-1950, by county/region?","<usa><historical><economics>"
"Automatically extract road points from a point cloud","<geospatial>"
"Numerically order SPARQL results that are external identifiers but actually all numbers","<wikidata><sparql>"
"Where to find myPersonality Dataset?","<data-request>"
"Where to get realtime stock market data legally","<finance>"
"2 category intersection with PetScan not working?","<wikipedia><wiktionary>"
"Is there a dictionary containing Arabic first and names and their English equivalent?","<data-request><names><dictionary><translation>"
"Looking for corpus of Geographic Data","<data-request><geospatial>"
"Lead on Corpus of Geographic Locations?","<data-request><geospatial>"
"Is Open Government data ever restricted to use within the country of origin?","<government><legal><global>"
"Journal Acceptance/Rejection dataset with timeline","<data-request><academia>"
"Census Tracts for Puerto Rico","<geospatial><us-census><census>"
"Seeking historical traffic data matching OpenStreetMap dataset?","<data-request><geospatial><usa><traffic><openstreetmap>"
"Looking for open imbalanced datasets","<data-request>"
"Facebook Mypersonality dataset","<data-request><uses-of-open-data><social-media><web-crawling>"
