title,tags
"How can I determine if two open source licenses are compatible with each other?","<license-compatibility>"
"How do I choose a suitable license for my academic software?","<license-recommendation>"
"Do software patents for common formats (gif, mp3, h264) apply globally?","<patents>"
"How can I recover content from an open source project host that has shut down?","<codehaus><project-management><google-code>"
"How do I structure my project in an inviting way?","<project-management><contributor><collaboration>"
"When should I consider creating a private fork of a suitably licensed project for commercial use?","<forking>"
"Can I change the caps to lowercase in licenses?","<law><license-file><warranty>"
"How do I stop people from opening questions in the issue tracker?","<github><issue-tracking><support>"
"Very permissive license","<license-recommendation><permissive>"
"What's the difference between permissive and copyleft licenses?","<copyleft><terminology><permissive>"
"What are the advantages of adding a Contributor License Agreement to a project?","<contributor-agreements>"
"What license must I use on a commercial version of an open source project?","<licensing><apache-2.0>"
"What should I look for in a platform to make my project easy to edit?","<contributor><software><accessibility>"
"How can a project be relicensed?","<licensing><relicensing>"
"If I include some GPL code in my project, can I release it as BSD?","<gpl><bsd><relicensing>"
"How can I find usage statistics for an open source project?","<statistics><software-use>"
"What can/should I do when I see a violation to GPL restrictions?","<gpl><law><enforcement>"
"Can I restrict who can utilize my software?","<licensing><restrictions>"
"How do I attract new programmers?","<collaboration><marketing>"
"Does open source qualify as being part of the public domain?","<law><public-domain>"
"What happens when a GPL licence is changed to a LGPL?","<gpl><relicensing><lgpl>"
"How does one enforce aspects of a license?","<licensing><enforcement>"
"Is OSI approval important for a license?","<licensing><osi>"
"What is the most concise unambiguous way to represent dual licensing of a work?","<attribution><multi-licensing>"
"How can free and open source projects be monetized?","<monetization>"
"What should I keep a close attention to when selecting a license for my project?","<license-recommendation>"
"Legal pitfalls when (re)selling OS solutions?","<licensing><law><monetization>"
"How should I approach open sourcing a library from work?","<commercial>"
"What is the Open Governance Model? How is it different from other models?","<project-management><community>"
"How can I make a customer understand that free software involves some costs?","<monetization><commercial><freedoms><community>"
"How do I recruit a graphic designer to help on a project with no funding involved?","<project-management><community>"
"Is open source software less or more secure than proprietary software?","<security>"
"How could using code released under CC0 infringe on the author's patents?","<licensing><creative-commons><patents><cc0>"
"Hierarchy of an open source project","<project-management><contributor><community>"
