title,tags
"Normal demand and normal lead time; is lead-time demand normal?","<inventory><probability-theory><probability-distributions>"
"Reference for ""expectation preserves convexity""","<convexity><probability-theory><reference-request>"
"Working with absolute values in constraint in a LP or MILP","<linear-programming><constraint><mixed-integer-programming><absolute-value>"
"Where can I find open source LP solvers?","<linear-programming><solver><online-resources><open-source>"
"2 stage stochastic programming to approximate many stage problems","<constraint><stochastic-programming>"
"Column generation stabilisation","<column-generation><benchmark><dual><scip>"
"Stochastic programming MIP solvers","<mixed-integer-programming><solver><stochastic-programming><benders-decomposition>"
"Convex Maximization with Linear Constraints","<optimization><convexity><convex-optimization>"
"Convergence rate value iteration","<markov-decision-process>"
"Presolve is cutting down a lot of binary variables. Should I rethink my formulation?","<linear-programming><mixed-integer-programming><solver><modeling><gurobi>"
"When does Gurobi add cuts from callback","<gurobi><callback><branch-and-cut>"
"How to quantify the ""griddiness"" of a set of points?","<facility-location>"
"How can I best handle symmetries in my MIP?","<modeling><mixed-integer-programming><symmetry>"
"Advantages generic cplex callback within branch-and-cut","<cplex>"
"In an integer program, how I can force a binary variable to equal 1 if some condition holds?","<mixed-integer-programming><linear-programming><constraint><integer-programming><logical-constraints>"
"Neigbourhoods in Large Neighbourhood Search (LNS) algorithms","<heuristics><algorithms><graphs><traveling-salesman>"
"How to linearize the product of two binary variables?","<linear-programming><linearization><binary-variable>"
"How to linearize the product of a binary and a non-negative continuous variable?","<linear-programming><linearization><binary-variable>"
"The difference between max-min and min-max","<mixed-integer-programming><optimization><error-bounds><minimax>"
"Solving ATSP problem for large-scale problem","<optimization><traveling-salesman><vehicle-routing>"
"Open source Markov decision process solvers","<markov-decision-process><online-resources>"
"How to model nonlinear regression?","<optimization><reference-request><quadratic-programming>"
"Branching rules in commercial MIP solvers","<mixed-integer-programming><branch-and-cut>"
"What is the connection of Operations Research and Reinforcement Learning?","<optimization><reinforcement-learning><machine-learning>"
"Single reference for Mixed Integer Programming formulations to linearize, handle logical constraints and disjunctive constraints, do Big M, etc?","<mixed-integer-programming><linearization><reference-request><big-m><logical-constraints>"
"Why is the programming code of many algorithms not public in the OR community?","<optimization><open-source>"
"In an integer program, how can I “activate” a constraint only if a decision variable has a certain value?","<mixed-integer-programming><modeling><integer-programming><constraint><logical-constraints>"
"Where can I find test instances for convex quadratic programming?","<quadratic-programming><test-instances>"
"The curse of the benchmark instances","<benchmark><experimental-optimization>"
"Optimal power flow vs. economic dispatch","<optimization><energy>"
"Solver rounding precision vs programming language rounding precision","<solver><matlab><numerical-issues>"
"Loss functions for specific probability distributions?","<inventory><loss-functions><probability-distributions>"
"How to linearize a constraint with a maximum or minimum in the right-hand-side?","<linear-programming><linearization>"
"How to get bounds on ILP optimal solution quality","<linear-programming><integer-programming>"
"Simplest way to eliminate redundant constraints due to a new cut","<linear-programming><optimization><constraint><polyhedra><linear-algebra>"
"How to minimize an absolute value in the objective of an LP?","<linear-programming><linearization><absolute-value>"
"Recommended books/materials for practical applications of Operations Research in industry","<optimization><reference-request><applications><books><industry>"
"What global MINLP solvers support trigonometric functions?","<minlp><global-optimization>"
"The effect of choosing big M properly","<mixed-integer-programming><linearization><big-m>"
"What is the ""big-M"" method? And are there two of them?","<linear-programming><mixed-integer-programming><logical-constraints><big-m>"
"Subtour elimination constraints - enumeration vs dynamically adding","<traveling-salesman><subtour-elimination>"
"pyomo - pass time limit to NEOS","<pyomo><nonlinear-programming><neos><python>"
"Why are integer minimax problems hard?","<facility-location><minimax><p-median>"
"Declare numerical-sequence set in AMPL .dat file","<ampl>"
"For the solution of complex gaming are we to leave behind approximation and fixed algorithms in favor of agents?","<markov-decision-process><nash-equilibrium>"
"Using CPLEX ""solution pool"" to count feasible points","<mixed-integer-programming><feasible-points><cplex>"
"How to avoid having your optimization models rusting?","<optimization><software>"
"What is the difference between integer programming and constraint programming?","<constraint><integer-programming><logical-constraints><constraint-programming>"
"Benchmark problems for scenario-based stochastic optimization","<optimization><stochastic-programming><online-resources><benchmark><test-instances>"
"How to linearize the product of two continuous variables?","<linear-programming><linearization><nonlinear-programming>"
"What are the tradeoffs between ""exact"" and Reinforcement Learning methods for solving optimization problems","<mixed-integer-programming><graphs><reinforcement-learning><machine-learning>"
"How to determine if a given problem seems to be a good fit to be solved using combinatorial Benders decomposition","<optimization><modeling><benders-decomposition>"
"Which advantages do the manuscript repositories for our community have?","<open-source>"
"Is there a canonical name for Score Folding (multiplying a priority soft constraint by a big weight)?","<constraint><reference-request><penalty-based-optimization>"
"Symmetry-breaking ILP constraints for square binary matrix","<integer-programming><modeling><symmetry>"
"How can I approximate a chance constraint in a computationally tractable way?","<optimization><chance-constraints>"
"Does the API affect the time Gurobi requires to find an optimum?","<solver><gurobi><cplex><api>"
"How to decide to write an objective function?","<linear-programming><optimization><modeling>"
"Funding sources in the US for applied OR projects","<untagged>"
"Is there a fixed worst-case error bound for farthest-insertion?","<traveling-salesman><heuristics><error-bounds>"
"When to use indicator constraints versus big-M approaches in solving (mixed-)integer programs","<mixed-integer-programming><integer-programming><big-m><solver><indicator-constraints>"
"When are Decision Diagrams the right way to model and solve a problem?","<combinatorial-optimization>"
"Why is it important to choose big-M carefully and what are the consequences of doing it badly?","<linear-programming><mixed-integer-programming><big-m>"
"How to implement a custom global constraint in IBM's ILOG CP optimizer","<constraint-programming><c++><cp-optimizer>"
"OR Software Forums","<software>"
"Optimization Problem Libraries","<linear-programming><mixed-integer-programming><nonlinear-programming><test-instances><problem-library>"
"Three newsvendor functions, three optimal solutions—which is correct?","<inventory><newsvendor>"
"What are best practices for coding up MIP models?","<modeling>"
"Bibliographic databases/search engines","<literature-research>"
"Combinatorial Optimization: Metaheuristics, CP, IP -- ""versus"" or ""and""?","<integer-programming><constraint-programming><combinatorial-optimization><metaheuristics>"
"What's the difference between Lagrangian relaxation and Lagrangian decomposition?","<integer-programming><lagrangian-relaxation><lagrangian-decomposition>"
"Dealing with non-overlapping constraints","<mixed-integer-programming><modeling><scheduling>"
"When should I use dual Simplex over primal Simplex?","<gurobi><mixed-integer-programming><simplex><primal-simplex><dual-simplex>"
"Reference for column generation applications","<mixed-integer-programming><reference-request><column-generation>"
"How can I remember the rules for taking the dual of a linear program (LP)?","<linear-programming><duality>"
"One and two period policy for inventory situation","<optimization><inventory>"
"Usages of logarithmic mean in optimization","<optimization><applications><lambert-w><wright-omega>"
"Use of machine learning techniques to determine parameter values","<literature-research><parameters-tuning>"
"How to reduce recursion when using Gomory cutting planes to solve an integer program?","<linear-programming><integer-programming><simplex>"
"McCormick envelopes and nonlinear constraints","<linearization><nonlinear-programming><mccormick>"
"How to handle real-world (soft) constraints in an optimization problem?","<optimization><constraint><modeling>"
"Difference between lazy callbacks and using lazy constraints directly","<mixed-integer-programming><optimization><constraint><solver><callback>"
"Relationship between the Assignment Problem and the Stable Marriage Problem","<combinatorial-optimization><assignment-problem><matching>"
"Small Traveling Salesman Problem instance","<traveling-salesman><test-instances>"
"How to change the search strategy in a B&B framework, i.e., start with depth first and then continue with best node?","<branch-and-bound>"
"What are the main differences between Operations Research in the academic world, in the enterprise world and in the government world?","<academia><government><industry>"
"On what kind of problems a local search may perform better than MIP / CP techniques?","<mixed-integer-programming><constraint-programming><heuristics><local-search>"
"Units in the EOQ problem","<inventory><economic-order-quantity>"
"Well-known parent/child pairs in the field of OR","<people>"
"Why the optimal value that minimizes a function does not satisfy condition?","<optimization><inventory>"
"Advantages/disadvantages of different representations of non-anticipativity constraints","<stochastic-programming>"
"Is the Irreducible Infeasible Subset (IIS) of an LP unique?","<linear-programming><constraint><irreducible-infeasible-subset>"
"Classics in Operations Research from around WW II?","<reference-request><history>"
"Meaning of Moving Average Term in ARIMA","<forecasting><time-series>"
"Which EOQ-based $(r,Q)$ approximation has a fixed worst-case error bound?","<inventory><error-bounds><economic-order-quantity><rq-inventory-model>"
"Sensible and realistic way to model truck based transport costs depending on amount","<mixed-integer-programming><linearization><logistics>"
"Feeding known lower bounds to solvers","<linear-programming><mixed-integer-programming><integer-programming><solver><bounds>"
"Guidelines for Linear Optimization approaches?","<linear-programming><optimization><simplex><interior-point-method>"
"How to take the dual of a conic optimization problem?","<duality><conic-optimization><cone>"
"Real-world examples of supply chain contracts?","<reference-request><supply-chain-contracts><stackelberg-games>"
"Conditional Controls in MIP Models","<mixed-integer-programming><modeling>"
"How to fit a Beta distribution to three estimates from an ""expert""?","<modeling><probability-distributions><simulation>"
"Are there reusable formulations/heuristics shared with the community?","<software>"
"Modeling floor function exactly","<mixed-integer-programming><modeling><linearization>"
"Installing COIN-OR solvers in Ubuntu (Azure)","<pyomo><coin-or>"
"Strategic planning based on average values","<optimization><strategic-planning><data>"
"What is the impact of making flow fractional rather than integer?","<mixed-integer-programming><network-flow>"
"Java source code for branch and price","<mixed-integer-programming><solver><software><java>"
"Relationship between Benders’ decomposition and Dantzig-Wolfe decomposition","<mixed-integer-programming><dantzig-wolfe-decomposition><benders-decomposition>"
"Family of hard instances for Gomory's cutting plane algorithm","<reference-request><integer-programming><branch-and-cut><cutting-planes>"
"Simplex-Implementations in professional Solvers","<linear-programming><solver><simplex><dual-simplex>"
"Can we replace a binary variable with a continuous variable using a quadratic equality constraint?","<optimization><constraint><quadratic-programming><binary-variable>"
"Is a base-stock policy optimal for a serial inventory system with upstream stockout costs?","<inventory><multi-echelon><base-stock>"
"CPLEX non-convex Quadratic Programming algorithms","<solver><nonlinear-programming><cplex><quadratic-programming><global-optimality>"
"Counter-intuitive results in OR","<teaching>"
"Supply Chain Public Data Repository","<online-resources><data><supply-chain>"
"Families of methods to deal with criterion uncertainties in multicriteria decision analysis","<multicriteria-decision-analysis><uncertainty>"
"Automating the column generation decomposition process","<linear-programming><column-generation><dantzig-wolfe-decomposition>"
"Has the expressibility of 'non-integrality testing' as extension to MILP been studied before?","<mixed-integer-programming><reference-request><terminology>"
"How to get the best bound of large LP problems in CPLEX?","<linear-programming><cplex><bounds>"
"Tightness of an LP relaxation without using objective function","<mixed-integer-programming><linear-programming><modeling><bounds><relaxation>"
"Is it possible (or straightforward) to define many secondary problems in bilevel programming?","<optimization><attacker-defender><bilevel-optimization>"
"Connectivity of two nodes in an arbitrary undirected graph","<linear-programming><modeling><graphs>"
"Computational complexity to compute an IIS","<linear-programming><integer-programming><feasible-points><irreducible-infeasible-subset><computational-complexity>"
"Application of complex numbers in Linear Programming?","<mixed-integer-programming><linear-programming><applications><complex-numbers>"
"Efficiency of solving LP relaxation","<mixed-integer-programming><linear-programming><lp-relaxation>"
"Assignment problem using Hungarian method","<linear-programming><assignment-problem>"
"Advantages of IBM CPLEX Studio over CPLEX in MATLAB?","<mixed-integer-programming><cplex><software><matlab>"
"Algorithmic gap for Hochbaum's (greedy) algorithm for (metric) uncapacitated facility location","<optimization><combinatorial-optimization><error-bounds><facility-location><algorithms>"
"Good distribution assumptions for customer demand in a supply chain","<inventory><supply-chain><demand-distribution><simulation>"
"Variable bounds in column generation","<optimization><column-generation><set-covering>"
"Cellular Automata and MIP Resource Repository?","<mixed-integer-programming><cellular-automata>"
"How to linearize a constraint with a maximum of binary variables times some coefficient in the right-hand-side","<modeling><linearization>"
"Solving MIP in Java with free software","<mixed-integer-programming><online-resources><java>"
"Applicability of Lagrange Multipliers in the analysis of large-scale MILPs?","<mixed-integer-programming><linear-programming><lagrange-multipliers>"
"Does dispersion really matter?","<modeling><stochastic-process><index-of-dispersion>"
"Correct way to get a dual extreme ray for an infeasible LP in CPLEX / C++","<linear-programming><cplex><duality><c++>"
"Is there any way to generate all the possible undirected graphs with unlabeled nodes?","<graphs><algorithms>"
"Are there any efficient algorithms to solve the longest path problem in networks with cycles?","<combinatorial-optimization><computational-complexity>"
"Parallelization of an existing Adaptive Large Neighbourhood Search Heuristic","<metaheuristics><c++><parallel-computing>"
"partitioning hub assignment models","<modeling><algorithms><facility-location><hub-location><cost-matrix>"
"When is the original BFGS algorithm still better than the Limited-Memory version?","<nonlinear-programming><computational-complexity>"
"How to determine the correct level of detail when modelling?","<modeling><strategic-planning>"
