title,tags
"How do I treat hot spots and blisters when I have no moleskin?","<health><first-aid><blisters>"
"Where in the Alps is it safe to drink the water without filtering?","<safety><health><water-purification><alps>"
"Is it legal to camp on private property in Russia?","<camping><legality><russia>"
"What are the critical dimensions to a safe bear-bag?","<safety><bears><bear-bags>"
"Can I sail a raft on a European river with commercial traffic?","<safety><rivers><sailing>"
"What is the safest way to purify water?","<safety><water-purification>"
"How can you navigate without a compass or GPS","<survival><navigation><compasses>"
"What is the fastest method to 'break in' full leather boots?","<hiking><boots><footwear>"
"How do I know what size ice axe I should get?","<gear><mountaineering><ice-axes>"
"What can I do to prevent altitude sickness?","<mountaineering><health><high-altitude><acute-mountain-sickness>"
"What is the difference between external and internal-frame packs?","<backpacking><backpacks>"
"What are some good tips and techniques for packing a backpack?","<hiking><backpacking><backpacks>"
"When buying a backpack, what should I pay attention to?","<backpacks>"
"How should I treat poison ivy?","<first-aid><plants><allergies><poison-ivy>"
"How does one dry clothes in humid weather?","<clothing><weather>"
"Do polarized sunglasses protect against snow blindness?","<uv-protection><sunglasses>"
"Keeping warm in an emergency","<survival><emergencies><cold-weather>"
"What are the different methods to purify water?","<water-purification>"
"What's the difference between white gas, propane, kerosene, and gasoline?","<camping><cooking><fuel>"
"What are essential items in an emergency kit?","<survival><first-aid><emergencies>"
"How do I wash Gore-Tex clothing?","<cleaning><gore-tex><waterproof-clothing>"
"What do I do to prevent and treat frostbite?","<winter><cold-weather><prevention><winter-camping><frostbite>"
"What is the most efficient food to take a for a 12-15 day hiking trip?","<hiking><backpacking><food>"
"How do I take care of Gore-Tex boots?","<boots><walking><maintenance><waterproofing><gore-tex>"
"How can I stay warm in subzero (0°F, -18°C ) weather?","<camping><cold-weather>"
"Are there any cheap 1:25K electronic maps for the UK or Europe?","<gear><maps><gps><uk>"
"What are good knots to know for camping and backpacking?","<camping><backpacking><ropes><knots>"
"I put a big gouge in the bow of my canoe going across rocks. How can I fix it?","<rivers><canoes>"
"Should I get trekking poles for snowshoeing, or stick with ski poles?","<snow><winter><trekking-poles>"
"What are the most effective ways to start a fire in the cold?","<camping><fire-starting>"
"Bear bags vs Bear canisters: which is better?","<camping><backpacking><bears><bear-bags>"
"How can I acclimatize to cold?","<cold><acclimatization>"
"How can I be absolutely sure my fire is safely extinguished?","<fire><forest-fires>"
"Is digging a ""cold hole"" really effective when sheltering in a snowed area?","<snow><shelter>"
"Where in Europe is wild camping permitted?","<camping><europe><access-rights>"
"How can you navigate / determine your location in thick fog?","<survival><navigation><compasses><uk>"
"What do I need to look for in good, quality hiking boots?","<hiking><boots><clothing>"
"Hiking boots vs trail shoes","<boots><blisters>"
"How to reduce the annoying sound of falling raindrops on a tent?","<camping><tents>"
"What steps should I take if someone starts sinking?","<survival><safety><emergencies>"
"Rougher treks with Vibram Fivefingers","<hiking><vibram-five-fingers>"
"What to look for in a durable, 3-season sleeping bag?","<camping><backpacking><sleeping-bags>"
"What can I do to prevent getting poison ivy?","<plants><prevention><allergies><poison-ivy>"
"Can/Should I cook in my tent?","<camping><tents><cooking>"
"Are there beaches on the East Coast (US) where one can camp without a permit?","<camping><beach><new-england><permits>"
"What can I do about those obnoxious biting flies?","<camping><bugs>"
"What should I look for if I want to buy a winter-proofed tent?","<camping><tents><cold-weather>"
"Is there a straightforward way to calculate energy requirements for a trek","<food>"
"I found a Deer Tick on my friend and removed it, what should I do now?","<safety><camping><health><ticks>"
"How should I remove a tick?","<safety><health><ticks>"
"How should I check that the anchor is secure when I anchor a small yacht off unfamiliar land?","<boats><sea><sailing><boating-anchors>"
"What equipment do I need as a beginner outdoor rock climber?","<gear><rock-climbing>"
"How do I treat a blister? How can I prevent getting them in the first place?","<hiking><boots><prevention><blisters>"
"When stranded at sea, should I not ask for a tow?","<sailing><sea><legality>"
"Open-sided tarp in rain","<tents><rain><tarp-tents>"
"How to take a bearing when the geographic coordinate grid is not aligned with true north on a map?","<maps><compasses><orienteering><iceland>"
"Where can we see genetically pure American Bison, including Yellowstone National Park?","<united-states><animals><canada><yellowstone><bison>"
"What is this brown dust/powder inside my old pack?","<backpacks>"
"What is the purpose of a valve on a dry bag?","<gear>"
"How do I strengthen my ankles for long, steepish, snow and glacier routes?","<climbing><mountaineering><training><crampons><glaciers>"
"How to cool a tent?","<camping><tents>"
"What are the consequences of the Lake Districts WHS status for attempts at rewilding/reforestation?","<uk><national-parks>"
"Is this a dragonfly or a damselfly?","<bugs><lakes><bug-identification>"
