title,tags
"Should a 6 year old's grandmother be kept away if she is abusive to her father?","<relationships><conflict><grandparents><abuse>"
"Baby daddy's jeliouse controlling rebound","<behavior><father>"
"Parents disagree on type of music for toddler's listening","<conflict><music>"
"How to deal with siblings always quarreling over simple situations?","<conflict>"
"Is it ok to play a computer game with a 3yo","<pre-schooler><video-games><screen-time>"
"Should I push my parents to divorce?","<divorce><anxiety><arguments><depression>"
"How can I prevent my 8-year-old from spending time with his bad friend?","<behavior><middle-childhood><friends>"
"Do I need infant cloth diaper covers with a cut-out for the umbilical cord?","<newborn><cloth-diaper>"
"Are cloth diapers really supposed to fit a newborn?","<newborn><cloth-diaper>"
"When changing diapers, how soon should we put the new diaper on?","<newborn><diaper>"
"How do we make our toddler less afraid of robots?","<toddler>"
"What safety gate can I use at the top of my stairs?","<toddler><safety>"
"How often should I bathe my newborn?","<newborn><hygiene><bathing>"
"How should we prepare for a parent-teacher consultation in preschool?","<education><school><pre-schooler><teacher>"
"Are there things to watch out for after a tongue-tie operation?","<primary-schooler><health><language-development><ankyloglossia>"
"What do we do with the elder sibling during our baby's delivery?","<siblings><pregnancy>"
"Will getting child care from a non-native English speaker impact my child's language development?","<language-development><daycare>"
"Is crib use (mostly) universal?","<infant><sleep><crib>"
"Is (supervised) play time alone beneficial for an infant/toddler?","<toddler><infant><social-development><independence><play-time>"
"Why has my infant stopped eating?","<infant><feeding><eating><solids>"
"How can I prevent diaper leaks with my newborn?","<newborn><diaper>"
"What is the optimal way to store and use pumped breast milk?","<bottle-feeding>"
"How can I help my kids to sleep comfortably (and safely) on an overnight drive?","<safety><pre-schooler><travel>"
"I'm afraid my parents will split up, help.. I'm a teen under the age of 15","<teen>"
"What to do about a 11-month-old baby waking up screaming?","<infant><sleep-training><nightwaking>"
"How to get a toddler off the bottle?","<toddler><bottle-feeding><weaning>"
"Is it ok to pick up my 11-month-old baby with one hand by the shoulder?","<infant><health><safety><age-appropriate>"
"How to deal with a stubborn but brilliant child?","<pre-schooler><behavior><education><communication><siblings>"
"Affordable clothes for special needs son","<clothes>"
"5-yo getting violent","<behavior><primary-schooler><violence>"
"Should I wake my infant to feed?","<newborn><breastfeeding><babyfood>"
"Intervention or learning experience: child gives away stuff","<primary-schooler><social-development><emotional-development>"
"How to begin sleep training with a 2 year old?","<toddler><sleep-training>"
