title,tags
"Expired Patent can we apply for a new patent with similar idea","<expired-patent><expired>"
"Are there any free prior art search services?","<prior-art>"
"Patent details changed without consent","<claims>"
"Figures of the patent","<patent-figures>"
"Patent Revival After 24 Months Expired (New Law)","<maintenance><revive-patent><unintentional><unavoidable>"
"Intervening Rights","<revive><intervening-rights>"
"Is US6506148 a real patent","<us6506148>"
"Assuming a lapsed patent","<lapsed-patent>"
"Independent claim construction - ""Missing"" keywords","<claims><novelty><infringement>"
"Figures are missing from referenced patent","<patent-applications>"
"Only Application number yet valid is granted","<patent-applications><valid>"
"Applying for a patent after one has lapsed","<patentability><lapsed-patent>"
"Does a photography need a patent?","<patentability>"
"What can I do to someone who stole my idea and patented it?","<ownership><legal><protection>"
"US20160239804 Modular Air Delivery based on behaviour of existing product and public UAV delivery contests - PRIOR ART REQUEST","<uav><suas><delivery><weather><meteo>"
"US20140235095 - Apple Inc - Reversible usb connector with compliant member to spread stress and increase contact normal force","<prior-art-request><uspto><apple>"
"If a US patent is published prior to 2001 do I use Kind Code ""A"" or ""B1/B2""?","<kindcode>"
"Do I have to reference a patent application if the patent is already granted?","<patent-applications><citation>"
"When I reference a patent, do I use the Asignee or Inventor if they are not the same","<prior-art><referencingpatent>"
"Parent patent expired due to non-payment - are issued continuations still valid?","<continuation><expired-patent><us5938197>"
"Approval and expiry date","<patent-lifetime><patent-pending><ep2298800a1>"
"Isn't this conflict of interest?","<validity><us5714045>"
"Is my item to similar to US 20070068895 A1 for me to get a patent?","<design-patent>"
"Is this prior product similar to Patent us7462770?","<prior-art-request><us7462770>"
"South African Distributing","<patent-infringement>"
"How does Stripe's patent application differ from its competition?","<patent-pending><us20130117185>"
"How does this design differ materially from an existing mesh covered seat frame?","<patent-infringement>"
"Release software for private use only","<software><private-use>"
"Can a same provisional application be filed in two different countries?","<filing><uspto><provisional-application>"
"the application in US through the PCT","<pct>"
"Inventor improves own Patent issued 8 months ago","<prior-art><novelty><improvement>"
"Resuming interrupted file transfers (2011 patent troll / libcurl)","<prior-art-request><patent-infringement><internet><us6098180>"
"If a virus was not created by the U.S. government, what right do they have to a patent on it?","<inventorship><chemistry-microbiology><us20120251502><government-rights>"
"Inventorship and Ownership","<inventor>"
"Why was it patented, even allowed to be so - Patent US7508391","<us7508391><haar><wavelet>"
"How is this patent different from existing long term online forums, email lists and the like?","<prior-art><email><wo2014116726a1><email-lists><forums>"
"Legal risk on granted patents","<patentability>"
"do I need submit the code for software patent?","<software>"
"Why is this patent allowed? (US8240362)","<patentability><us8240362>"
"Criteria for patenting an item whose main part uses the design of a patent's part but whose function is diffrent","<modification>"
"Does a product on the market have to state that it is patented?","<legal>"
"Patent DE4038611 A1 - request","<search>"
"Modifying an existing patented product to create a totally new non obvious product","<legal>"
"Package modification of an existing patent product and infringement","<patentability>"
"How can Microsoft get away with this?","<software><illegal><us7010755>"
"Patentability of language improvement","<patentability><microsoft><data-processing-language><improvement>"
"There is liquid formula that is patent pending on the market. Can i also get a patent for a similar formula?","<patentability><legal>"
"Can a YouTube video be submitted as prior art?","<prior-art><law><uspto><process><video>"
"What constitutes an original patentable idea in software?","<software><patentability>"
"How can I perform a global patent search for free?","<search><databases><international>"
"How long does it take a patent application to appear in the USPTO database?","<uspto><search><databases>"
"Is there a way to achieve protections similar to ""Copyleft"" under the patent system?","<prior-art><law>"
"Is there a specified route to convert UK patents to US patents?","<international><usa><uk>"
"Should I file a provisional application?","<uspto><filing><date-of-invention><america-invents-act>"
"What can I do about an infringer if I'm a small independent inventor?","<patent-infringement><licensing><litigation><independent-inventor>"
"Revising a poor English translation of a US national phase application based on a foreign language PCT application","<international><translations><process>"
"What should I do if my name is missing from a patent?","<inventorship>"
"What does the term 'commodity' mean in patent 7,222,078?","<us7222078><terminology><us20040177002><data-processing-financial>"
"Can a granted patent be deeded to the public?","<uspto><licensing><prior-art><usa>"
"Are text and images in the patent copyrighted?","<copyright><specification>"
"Was there a landmark controversial software patent of a trivial idea before the ""XOR flashing cursor"" patent?","<software><patentability><history><us5960411><us4197590>"
"Consequences of unwilful US patent infringment by a foreign legal entity when establishing US presence","<software><patent-infringement><international><usa>"
"Can willful patent infringement exist without prior notification?","<uspto><search><patent-infringement>"
"Is use in foreign countries a bar to patentability?","<prior-art><patentability>"
"Can a very basic shape of a product be patented?","<patentability><scope><trade-dress>"
"Prior art for video games played according to a selected value system such as the claimed ""codes of honor""","<software><prior-art-request><video-games><amusement-devices-games><us20120052930>"
"How to make an invention un-patentable easily?","<defensive-publications>"
"Can software or a block of code under the GPL or a similar license be patented?","<software><law><copyright><opensource><license>"
"Is it practical for a novice to successfully file a patent without hiring a patent lawyer?","<filing><process><patent-agent><pro-se>"
"When patenting in the United States, what impact does patenting in other countries too have?","<usa><international><reciprocality>"
"If a claimed invention can be described at a higher level of abstraction, is the claim not merely an abstract idea?","<101>"
"What are the possible consequences of using software developed outside of the US that infringes a software patent?","<patent-infringement><software><international><usa>"
"Amusement Game - Dice that return independent variables or a random color - Patent Application - PRIOR ART REQUEST","<prior-art-request><amusement-devices-games><us20120223477>"
"Microsoft have submitted a patent for a whack to silence a phone ringer. How similar does prior art have to be?","<prior-art><us20120231838><telecommunications><user-interface>"
"Prior art for a simple versioning system on a document database","<prior-art-request><data-processing-database><rejected><us20120226658>"
"Timeline Display for Vehicle Fleet Management - Patent Application - PRIOR ART REQUEST","<prior-art-request><data-processing-vehicles><us20120226390>"
"Prior art for bed management in healthcare","<software><prior-art-request><data-processing-financial><us20120226507><healthcare>"
"What is the window for finding prior art on a patent application?","<prior-art><patentability>"
"Prior art for athletic gear with padded seat area","<prior-art-request><us20120222191><apparel>"
"Can I patent this process or workflow?","<process><pro-se><workflow>"
"What is the legal status of US 2013/0132813 A1?","<legal-status><us20130132813>"
"Lip balm pen, inquiring about its international eligibility","<international><legal-status><us8596897>"
"How to apply for a patent in the US/EU?","<patent-applications><process><pct><utility>"
"Canceled claims considered prior art?","<prior-art><examination><us7156537>"
"50 wt% of something // ~~ plurality","<grammar>"
"Has US 5,623,660 A expired?","<expiration><us5623660>"
