title,tags
"What does it mean when my cat makes this noise? (re-post)","<cats><communication>"
"How do I stop Screaming while riding in the Car","<dogs><vocalizations>"
"Feeding Geriatric Cat with Hyperthyroidism and Cancer","<cats><diet><feeding><senior-pet>"
"What could be this on gum of boxer?","<dogs><health><medicines><diseases><infections>"
"Why does my nitrate level always read 0?","<aquarium><water-parameters><filters>"
"What's wrong with a cat who appears weak and refuses food?","<cats>"
"How to prevent Kidney Decline in Cats?","<cats><health><supplements>"
"My leopard gecko won't shed","<reptiles><leopard-geckos><geckos><shedding>"
"Multiple Male Bettas in 200+ Gallon?","<aquarium><fish><betta>"
"I have a pretty aggressive Betta","<fish>"
"How to help my cat adjust to a new routine?","<cats><behavior>"
"New Rubber Mat Stinks","<rabbits><travel><cleaning><horses>"
"My pregnant cat is still nursing her 8 month old kittens","<cats><behavior><feeding><breeding><pregnancy>"
"How to remove an emulsion paint off a cat's leg?","<cats>"
"Cat ate small amounts of dried daffodil flower, should I be worried?","<cats><behavior><plants>"
"Stopping bad behavior/aggression","<dogs><behavior><aggression><vocalizations>"
"Could I leave 3 cats alone during a trip of 3 days/2 nights","<cats><behavior>"
"What is this brown spot on my bearded dragon?","<health><skin-condition><bearded-dragon>"
"Six-year-old dog peeing/pooping when alone at home","<dogs><behavior><psychology><toilet-training><separation-anxiety>"
"What is this on my dogs face?","<dogs><health><diseases>"
"Will 2 male dogs fight for dominance?","<dogs><behavior><aggression><multi-pet-families><dominance>"
"Relentless Nitrites","<aquarium><fish><aquatic-plants>"
"New GloFish are staying at top and sides of tank, not swimming around","<health><fish>"
"My yellow rat snake was eaten by a live pet mouse!","<feeding><safety><snakes>"
"I over correct my dog and now he's scared","<dogs><behavior><training><anxiety>"
"Shrimp Breeding","<aquarium><breeding>"
"Cat leaped on me while sleeping and bit my lip!","<cats>"
"Cat is tipping over bed-side lamps during the night","<cats><behavior>"
"Why the dog of my girl change the behavior when I am with him?","<dogs><behavior>"
"My dog has been acting strangely around one of my cats' butt","<cats><dogs><behavior><multi-pet-families><dominance>"
"What's the most efficient way to burn my young cat's energy?","<cats><behavior>"
"Why does my parakeet try to bite me?","<birds><parrots><budgerigar>"
"Dealing with feather discoloration","<health><diet><lighting><parrots>"
"Dog hates to stay home alone","<dogs><psychology><anxiety>"
"Can a baby bird's feathers be dyed?","<breeding><birds>"
"My cat has not been eating much how worried should I be?","<cats><health><diet><defecation>"
"Laser pointer: does a no-win situation risk psychological harm to cats?","<cats><behavior><psychology><toys>"
"Asserting more discipline in training","<dogs><training>"
"A stray dog has fleas. Any way to help remove them?","<dogs><fleas>"
"What is this funny/strange black thing on the nail of my guinea pig?","<grooming><guinea-pigs>"
"A Kitty fell down to a hole in alley, Please help me with your ideas to get him out!","<cats><safety>"
"Why is my dog peeing in the house when I am home?","<dogs><toilet-training><psychology>"
"Economics of single-parenting a dog (i.e. daycare options)","<dogs>"
"What temperature should I keep my home at for my cat's comfort?","<cats><temperature>"
"Is it possible to train dogs to detect Hypoglycemia?","<dogs><training>"
"My cat hates his collar. How to handle it?","<cats><safety><equipment><legal>"
"How accurate does the 30 day span when applying revolution flea treatment need to be?","<dogs><cats><rabbits><medicines><fleas>"
"Bearded dragon thinks I'm food","<behavior><reptiles><bearded-dragon>"
"Why is my aquarium pH plummeting despite frequent water changes?","<aquarium><freshwater><water-parameters>"
"What height of ex-pen for grass training a puppy?","<dogs><toilet-training>"
"Training a dog to ""sit pretty""","<dogs><training><clicker-training>"
"Why would my cat seem to prefer 'liquid' food?","<cats><diet>"
"What to do with my shy Sheltie?","<dogs><training>"
"How can I get my dog to take liquid vitamins from a dropper?","<dogs><medicines>"
"Are blank pet passports available outside of the EU?","<travel><vaccination>"
"Cat meows when being pet","<cats><behavior>"
"Keep dog isolated until fully vaccinated","<dogs><vaccination>"
"Why do animals try to stay awake when they need sleep?","<dogs><cats><psychology><sleep>"
"Why are my pair of budgies fighting?","<behavior><breeding><birds>"
"What should I do about my betta fish sinking?","<fish><feeding><betta>"
"What qualities are essential for a Search And Rescue dog?","<dogs>"
"I want to help my dog feel better","<dogs>"
"Where to find/buy a good puppy?","<dogs><pet-selection>"
"Foster dog suddenly violent","<dogs><adoption><fostering>"
"My dog licks up his own urine","<dogs>"
"How to carry or transport a pet parrot in Indian Railway","<parrots><house-moving>"
"Are split antlers as good as whole antlers for chewing?","<dogs><chewing>"
"Determining if a Female Cat Was Spayed","<cats><desexing>"
"Does L-Lysine supplementation help cats with feline herpes?","<cats><medicines><upper-respiratory-disease>"
"Can chewing gum hurt a saltwater aquarium?","<fish><aquarium><saltwater>"
"Why do dogs' and cats' eyes reflect light? Does bright light affect their vision?","<cats><dogs><biology><vision>"
"Is it important to keep a strict feeding schedule for dogs?","<dogs><diet><feeding>"
"Does store-bought coral come from coral reefs?","<aquatic-plants>"
"Discolouration at the top of dragon's tail","<health><bearded-dragon>"
"Cat's back twitching A LOT for over 4 hours now","<cats><behavior><health><parasites>"
"Which light is good for aquarium turtles, UVA, UVB, UVC?","<aquarium><turtles><lighting>"
"Why does my relative's dog stay between me and home on a walk?","<dogs><behavior>"
"First time beta owner please help","<health><fish>"
"Cat meowing when playing","<cats><behavior><play>"
"My dog doesn't eat food himself","<dogs>"
"Neck biting without release during play","<dogs><behavior><play>"
"Cat bites my face at night and when he seems happy","<cats><biting>"
"How can I train my paranoid dog to NOT bark at every stranger she meets?","<dogs><training><vocalizations>"
"My cat is stressed, can it come from my depression?","<cats><psychology><stress>"
"Neutering incisions","<cats><health><safety><surgery>"
"How to get rid of worms in my tank?","<aquarium><fish><safety><pest-control>"
"My dog drinks water like he never got any and drinks his urine","<dogs><behavior><health><toilet-training>"
"What size should a dog toilet area with weekly cleanup be?","<dogs><toilet-training>"
"Is this ringworm?","<dogs>"
"Kitten hurt from bite/scratch developed swelling and bald spot on head. Has she got some disease?","<cats><health><injury><junior-pets>"
"Why does the Indian Pariah dog go into heat once a year?","<dogs>"
"Cats: Dry food vs Wet food","<cats><diet>"
"What problems does inbreeding with chickens cause?","<diseases><breeding><chickens>"
"Betta has a large black spot","<health><aquarium><betta>"
"How much Dry and soft(canned) dog food to feed 180 lb. E Mastiff?","<dogs><diet>"
"Will a Norwegian skogkatt (forest cat) feel good in Sydney?","<cats><acclimation><weather>"
"Why does my dog have aggressive bursts?","<dogs><behavior><aggression>"
"I think my Betta has dropsy but I'm not sure?","<aquarium><fish><freshwater>"
"Dog barks only when she thinks she's alone","<dogs><anxiety><crate>"
"Will cats remember me after 4 months?","<cats>"
"(Re)introducing a new dog","<dogs><introducing-pets>"
"I have a mutt with a weird body shape. I can't seem to find a winter jacket that fits him","<dogs><winter>"
"When to euthanize a sick goldfish?","<diseases><death><goldfish>"
"Goldfish-unknown white marks","<health><goldfish>"
"Puppy staying with its mother longer","<dogs><junior-pets>"
"Dog refuses to move during walks","<dogs>"
"How do you keep your household pet/s away from your toy collections?","<dogs><training>"
"Platy has been gravid for over a month","<aquarium><fish><breeding>"
"Male + female: who to neuter, who to spay","<dogs><desexing>"
"Problems at the food bowl","<dogs><feeding>"
"How to give first aid to treat open wound in kitten?","<cats><first-aid><junior-pets>"
"How can I keep my dog from going stir crazy while recuperating?","<dogs>"
"The curious case of the cannabis cat?","<cats><safety><poison>"
"Can dogs recognize their siblings or parents?","<dogs><behavior><psychology>"
"my leopard gecko come to shedding her skin is white .pass a 15 munites she have a normal skin . I dont see she shedsing before","<leopard-geckos><molting>"
"Overweight lazy cat won't play","<cats><play><weight>"
"Neutering anxiety","<cats><behavior><veterinarian>"
"Dandruff with male cat","<cats><health><multi-pet-families><pet-selection><cleaning>"
"Unvaccinated puppy in used carrier","<dogs><health><vaccination>"
"Nitrogen cycle for new fish tank","<aquarium><fish><freshwater><community-aquarium><reef-tank>"
"How to wash cat hair out of fleece fabric?","<cats><allergies>"
"Golden fish are dying","<health><aquarium><fish>"
"9 month old Border Collie chasing and staring at the the sun","<dogs><outdoor>"
"How long does pasture need to be rested to prevent worm re-infestation?","<health><parasites><horses>"
"Did I remove the tick the right way?","<dogs><parasites><ticks>"
"Hand Stand Poop","<dogs><behavior><defecation>"
"Are the snails suffering?","<health><containment><snails>"
"My cat is sick and I think she might be dying but she is a kitten","<cats><health>"
"Which breed of dog is recommend for a beginner?","<dogs>"
"Rescue cats- letting them outdoors ? Together or alone","<cats><multi-pet-families><adoption>"
"What could be the cause of my dogs hair pattern?","<dogs><health><skin-condition>"
"How to warm up a snail terrarium?","<containment><snails><terrariums>"
"My cat runs from me all of a sudden when eating","<cats><health><feeding>"
"Are there animals that celebrate communally?","<behavior><socializing>"
"How soon can abandoned kittens be weaned off the bottle?","<cats><feeding>"
"Made my cat scared of me, need help","<cats><behavior><training><fear>"
"Calming down feral cat to take to vet?","<cats><safety><feral><animal-handling>"
"My cat has a sort of.. pattern by her tail","<cats><health>"
"My dogs are chewing holes in their chainlink fence; new fence recommendations?","<dogs><behavior><health><containment>"
"Am I 'stealing' someones cat?","<cats><house-moving>"
"Why can't I pat my dog for any mistakes if dog's pain tolerance is 4 times higher than human?","<dogs>"
"Can we house a baby squirrel in the same cage as a ferret or bunny?","<rabbits><multi-pet-families><containment><ferrets>"
"Cat has wounds behind his ears","<cats><health><medicines><ears-nose-throat>"
"How to use CO2 tablets for aquarium?","<aquarium><community-aquarium><plants><aquatic-plants>"
"Kitten can't eat dry kibble","<cats><eating>"
"Wet food vs. Dry food","<dogs><diet>"
"Most likely cause of hair loss in dogs","<dogs><health><veterinarian>"
"How to make puppy comfortable with strangers without befriending them?","<dogs><training><psychology><socializing><acclimation>"
"How to control my aggressive puppy","<dogs><aggression>"
"How do I keep my leopard gecko cage warm?","<reptiles><containment><lizards><heaters>"
"Found my dog laying in street, what happened","<dogs><death>"
"Any tank mates for an African clawed frog","<aquarium><fish><community-aquarium><frogs>"
"Can my fish coexist?","<aquarium><fish><containment>"
"Is it safe to use ant traps if they're out of reach of my cats?","<cats><safety><pest-control>"
"acepromazine for feral cat?","<cats><dogs>"
"Full Spectrum LED (400nm to 840nm) vs Grow Light LED (RED+BLUE)","<aquarium><community-aquarium><aquatic-plants><plants><lighting>"
"Spacing for fence slats - small dog","<safety>"
"How do I stop my male cat from ""controlling"" and attacking my tiny female cat?","<cats><behavior><aggression><multi-pet-families>"
"Do cats usually attack when their human owner exhibts excited behavior?","<cats><behavior>"
"Saving a neglected tank","<aquarium><fish>"
"How do I stop my dog from barking when I'm not home?","<dogs><behavior><vocalizations>"
"Help with Fin Damage on my Betta","<aquarium><fish>"
"Why does my cat bully my other cat?","<cats>"
"Puppy's one eye is red in certain light","<dogs>"
"How long will the cat remember an unpleasant, failed kitten introduction?","<cats><behavior><psychology><socializing><introducing-pets>"
"Husband stepped on the cat's head, and now she hates him","<cats><behavior><psychology><socializing><fear>"
"Hedgehogs eating the egg shells","<diet><eggs><hedgehog>"
"What's going on","<behavior><feeding><snakes>"
"My betta is acting strange, loss of appetite and won't eat pellets!","<behavior><aquarium><fish><feeding><betta>"
"How normal is it for a non-dominant cat to stand its ground in a fight?","<cats><behavior><aggression><feral>"
"What are the signs of an old cat dying?","<cats><eating><weight-loss>"
"Help! My dog wants permission to eat","<dogs><behavior><psychology><eating>"
"Adult dog aggressive with puppy around my partner but not me","<dogs><behavior><psychology><aggression><multi-pet-families>"
"Should I euthanize my goldfish who has been floating for a month?","<health><goldfish><euthanasia>"
"Space requirements for Rabbit?","<rabbits><cage>"
"Difference between Small hamsters and Larger hamsters?","<hamsters><genetics>"
"Will tortoises get along with gerbils if out of their cages at the same time?","<reptiles><multi-pet-families><tortoises><rodents><gerbil>"
"How much play time does a 5-month old kitten need?","<cats><behavior><psychology><play><sleep>"
"Do dog whistles work for barking?","<dogs><large-dogs>"
"Cat has IBD and has lost a lot of weight and has diarrhea a decent amount of the time","<cats><weight-loss>"
"Garden used by rabbits: What plants are good choices?","<diet><rabbits><outdoor>"
"Why does my cat never like to be picked up?","<cats><behavior><psychology><socializing><animal-handling>"
"What is best escape proof harness / leash for a cat?","<cats><safety><exercise><leashes>"
"Are there any known side-effects to neutering a cat before being 10 months old?","<cats><neutering>"
"I have a rescue that needs to lose weight and another that doesn't- I am not around at meal times to supervise- help!","<cats><behavior><diet><feeding>"
"My cat occasionally wounds himself. Should I be worried?","<cats><behavior><injury>"
"What causes a dog to lunge at an unknown child and how should the owner respond?","<dogs><behavior><aggression>"
"How do I walk a small dog afraid of loud noises in an urban area?","<dogs><training><fear><sound>"
"What is required to house break a rabbit?","<rabbits><toilet-training>"
"What is the best way to toilet train a puppy?","<dogs><toilet-training>"
"How should I refresh an overheated cat or prevent him from overheating in the first place?","<cats><health><safety>"
"How can I ensure a ferret's longevity?","<ferrets><lifespan>"
"Is corn based food bad for my dog?","<dogs><health><diet>"
"What's the best way to heal a scab on top of my dog's head?","<dogs><first-aid>"
"Cat reacts randomly to tail and enters frenzy","<cats><aggression>"
"Can cats safely eat raw meat?","<cats><health><diet>"
"How do I discourage my cat from biting?","<cats><behavior><biting><training>"
"My friend is allergic to only some of my cats; why is that (and how do I mitigate for future cats)?","<cats><allergies>"
"How do I stop my dog from barking at people through the fence?","<dogs><behavior><vocalizations>"
"How much exercise should a young cat be getting?","<health><cats><exercise><play>"
"What should I consider when deciding to purchase pet insurance?","<health><insurance>"
"Why do cats lick plastic bags, and is there any harm in it?","<behavior><cats><health><safety>"
"How old is my non-kitten, non-senior cat?","<cats><age>"
"What can I do when my dog loves going out at night?","<dogs><behavior>"
"Are ultrasonic repeller devices painful for dogs?","<dogs><mice><sound>"
"Is it healthy for a cat to regularly eat cheese?","<cats><diet>"
"What can I do to ease my dogs' fear of loud noises?","<dogs><behavior><sound><anxiety>"
"What are the healthiest foods I can feed my small dog?","<dogs><health><diet><feeding>"
"How can I keep my cat stimulated when she's stuck inside the house during winter?","<cats><toys><mental-stimulation>"
"Should my cat follow daylight savings?","<cats><diet><feeding>"
"How can I stop my inside cat from being irritated by other outside cats or animals?","<cats><socializing>"
"What level of output laser pointer is safe for a cat?","<cats><toys><safety><exercise>"
"What are healthy treats for a house rabbit?","<socializing><behavior><treats><rabbits>"
"How can I safely reintegrate 3 male dogs that have a history of fighting?","<dogs><multi-pet-families><introducing-pets><socializing>"
"Why does my cat put toys in my shoes?","<cats><psychology><toys>"
"Is there any effective solution to stop a bird from habitual plucking?","<behavior><birds><parrots>"
"How can I help my obese cat lose weight?","<cats><diet>"
"How can I protect a fish pond during the winter?","<fish><pond><winter>"
"How should I discipline my cat for bad behavior?","<behavior><cats><training>"
"How can I safely pick up a garden snail?","<snails><animal-handling>"
"How should I feed sturgeons during winter?","<feeding><fish><pond><sturgeons>"
"Alternative seasonal allergy treatments for dogs","<dogs><medicines><allergies>"
"How much food should I be giving my dog to maintain his weight?","<dogs><health><feeding>"
"How do I introduce our dog to a brand new baby","<dogs><introducing-pets><children>"
"Why does my dog howl at airplanes?","<dogs><behavior>"
"Is it safe for a dog to drink water from a stream?","<dogs><health><safety><drinking>"
"Recommendations for introducing kittens to adult cats","<introducing-pets><multi-pet-families><cats>"
"Whether and how to minimise physical activity of female dog immediately following desexing operation?","<dogs><health><desexing>"
"How to remove the algae from the glass of an aquarium?","<aquarium><maintenance><algae>"
"Why do cats love sleeping on cardboard?","<cats><sleep>"
"How can I permanently reduce the pH level of my aquarium?","<aquarium><maintenance><water-parameters>"
"How to train a dog to poo in a particular part of the garden?","<dogs><training><toilet-training>"
"What is the maximum proportion of fish per liter in an aquarium?","<fish><aquarium><freshwater>"
"Which fishes can live together with neons?","<fish><aquarium><freshwater><community-aquarium><compatibility>"
"Can an adult feral cat be socialized/domesticated?","<cats><socializing><feral>"
"How can I get rid of fleas without dangerous chemicals?","<health><multi-pet-families><parasites><fleas>"
"Is it safe for my cat to lick my skin when it has lotion on it?","<cats><safety>"
"Why does my cat hold his tail forward over his body?","<cats><behavior>"
"How to prevent my dog from barking constantly when I am not at home?","<dogs><behavior><training>"
"Cats and string: will a toy make this better or worse?","<cats><behavior><toys>"
"Why does my cat keep patting my face?","<cats><psychology>"
"How does one stop a New Zealand rabbit from leaving droppings in the house?","<rabbits><toilet-training><defecation>"
"How can I train my guinea pigs to not attack one another?","<behavior><training><multi-pet-families><guinea-pigs>"
"What is the optimal age to neuter a male dog?","<dogs><behavior><aggression><desexing>"
"How much to feed outdoor goldfish, that feed on insects?","<feeding><fish><pond>"
"How should I trim the wings of my bird?","<birds><grooming>"
"Are there any health or behavioral issues specific to tripod (3-legged) dogs?","<dogs><behavior><health><adoption>"
"Why should I not give water or food to a wounded bird?","<feeding><birds><drinking><injury>"
"What can I do if my puppy is hyperactive?","<dogs><behavior><training>"
"How can I safely leave my 3 pets overnight, unsupervised?","<dogs><cats><multi-pet-families><birds>"
"Do my horses need to be shod?","<health><horses>"
"Dog peeing inside when I'm not looking","<dogs><behavior><training>"
"How to reintroduce cats to raw food?","<cats><diet>"
"Why does my cat eat inedible things, how can I stop it, and what are the medical side-effects?","<cats><eating>"
"Effect of KH on Neocaridina shrimp","<aquarium><freshwater><water-parameters><invertebrates><shrimp>"
"Methods to train attention and obedience in a dog?","<dogs><training>"
"Kitten stopped using litterbox, how should I correct him?","<cats><behavior><training><toilet-training>"
"How do you teach a dog to allow me to put his leash on?","<dogs><behavior><leash-training>"
"Why is my cat twitching?","<cats><behavior>"
"My rescue kitten is afraid of people and hides in the basement","<cats><socializing><adoption>"
"Why won't my siamese cat leave me alone?","<cats><psychology>"
"My cat keeps twitching","<cats>"
"How to remineralize distilled water?","<aquarium><freshwater><betta>"
"Salt Water Fish Tank Requirements","<aquarium><fish>"
"How to undo the mistakes I have done in potty training?","<dogs><toilet-training><crate>"
"How do I stop my puppy from licking her pee from training pads?","<dogs><toilet-training><drinking>"
"How would a new puppy affect a 3.5 year old male Black Lab?","<dogs><multi-pet-families>"
"My dog is having a lot of hair fall","<dogs><health><grooming><german-shepherd>"
"What to do if I am with my dog and an aggressive and unleashed dog approaches us?","<dogs><safety>"
"Does fur protect a rabbit from heat or make it hotter?","<rabbits><temperature>"
"Using positive reinforcement to stop labrador from constantly sniffing the ground","<dogs><behavior><training>"
"How can I help an unfriendly dog with a serious wound?","<dogs><injury>"
"Should I remove rubber bands from delivered flame moss?","<aquarium><freshwater><aquatic-plants>"
"How do carnivores (cats, dogs) catabolize protein for energy?","<dogs><cats>"
"Preffered method for applying a barking collar","<dogs><training><vocalizations>"
"Help in crate training my German shepherd correctly?","<dogs><toilet-training><german-shepherd>"
"Why does my cat meow when she stands on the railing?","<cats><behavior>"
"How can I help a arthritic cat who is peeing outside of the box?","<cats><toilet-training><senior-pet><arthritis>"
"Can my pup actually be affected by Parvo Virus","<dogs><diseases><infections>"
"How do I get my dog and a kitten to be friends?","<cats><dogs><behavior><training>"
"how can I transport a suckerfish by automobile for 6 hours?","<fish><travel>"
"How often should a dog pee and poop normally?","<dogs><health><defecation><urination>"
"My guppy & betta fish ignore cucumber","<fish><feeding><betta><community-aquarium><guppies>"
"I live in Hawai'i where houses generally have both cockroaches and geckos. Are the geckos being poisoned by the poisoned roaches?","<safety><geckos>"
"puppy upset when told off?","<dogs><training>"
"Dog black stool, negative on tests","<dogs><health>"
"Why does my cat scratch around water before drinking it?","<cats><behavior><drinking>"
"Dog suffers from periodic mysterious brief, but intense, leg pain","<dogs><health>"
"What should I monitor while changing my dog's diet?","<dogs><health><diet>"
"Restricting the duration of volunteers walking dog at a local shelter","<dogs><shelter>"
"How can I tell whether adopting a second cat is a good idea?","<cats><pet-selection>"
"Aquatic turtles bit each other","<reptiles><turtles><biting><injury>"
"How to I make my dog understand that I want him to go to a certain spot?","<dogs><training>"
"What causes a dog or a cat to shed?","<dogs><cats><shedding>"
