title,tags
"What is the reason for Earth's rotation and revolution?","<newtonian-gravity><angular-momentum><orbital-motion><conservation-laws><planets>"
"Why Counter waves are being produced in water?","<waves><water>"
"The temperature of an electron","<thermodynamics><statistical-mechanics><electrons><temperature>"
"A train on a track--relativity paradox","<special-relativity>"
"Free falling and bouncing back","<newtonian-mechanics><kinematics><collision><differentiation><singularities>"
"What is the possibility of using the ionosphere or van Allen belts as a source of propellant for ion engines especially for orbital station keeping?","<electromagnetism><astronomy><astrophysics>"
"Killing equation manipulation","<general-relativity><differential-geometry><differentiation><vector-fields><covariance>"
"Help to verify (numerically) invariant Haar measure on unitary group","<group-theory><integration><calculus>"
"High Pressure Processing(HPP) of juices in a plastic bottle container","<pressure>"
"Why doesn't the speed of the wind have an effect on the apparent frequency?","<waves><frequency><doppler-effect>"
"Could the sky on a planet theoretically be any color?","<optics><scattering><planets><atmospheric-science>"
"Why can't transverse waves travel through a liquid?","<homework-and-exercises><waves>"
"Why aren't there any clear planets/ stars?","<planets>"
"Divergence of a vector field, going through the math","<homework-and-exercises><electrostatics><gauss-law><dirac-delta-distributions>"
"Can existing quantum computers be considered evidence for parallel universes?","<quantum-mechanics><quantum-interpretations><quantum-computer><multiverse>"
"Inverse Fourier Transfrom of a wavefunction","<wavefunction><fourier-transform><conventions>"
"What is an approximation for the B-field of a bar magnet?","<magnetic-fields>"
"Books/resources for statistical field theory","<statistical-mechanics><resource-recommendations><renormalization><ising-model><critical-phenomena>"
"If tachyons existed, would we notice them?","<special-relativity><tachyon>"
"Why does a glass acts like a mirror in viewed at an angle?","<optics><optical-materials>"
"Why are some people are claiming that the Big Bang never happened?","<cosmology><spacetime><big-bang><quantum-interpretations><singularities>"
"What happens to the velocity distribution during constructive interference?","<newtonian-mechanics><waves><interference>"
"Separating aluminium sheets with magnetic field","<electromagnetism>"
"NVT simulation of the phase transition","<phase-transition><molecular-dynamics>"
"$ZZ^{(*)}$ decaying to leptons mass spectrum","<particle-physics><electroweak>"
"Where in nature does a fermionic coherent state occur?","<quantum-field-theory><fermions>"
"Why does the wave function have to be continuous?","<quantum-mechanics><wavefunction>"
"Mott's conjecture about NiO verified or not?","<condensed-matter><solid-state-physics>"
"Cellular automata and time T","<time><universe><computational-physics><cellular-automaton>"
"Measurement of the dispersion relation in a crystal: Inelastic neutron scattering","<solid-state-physics>"
"How can a photon have a frequency but not a phase?","<photons><quantum-optics>"
"Physical significance of toroidal moments","<electromagnetism><multipole-expansion>"
"Meaning of boundary conditions in solid mechanics","<homework-and-exercises><boundary-conditions><continuum-mechanics><solid-mechanics>"
"How much energy to overcome surface tension and create air bubble at an air/water interface","<fluid-dynamics><surface-tension>"
"Adiabatic processes and the First Law","<thermodynamics><statistical-mechanics>"
"Does energy conservation imply time invariance?","<energy-conservation><symmetry><time><noethers-theorem>"
"Current density of a system of charges in QM","<quantum-mechanics><electromagnetism><magnetic-moment>"
"How to recognize a tomographically complete set of operators?","<quantum-mechanics><hilbert-space><operators><quantum-information>"
"How would one derive the gravitational potential energy $-GMm/r$?","<forces><newtonian-gravity><potential-energy><differentiation>"
"Physically measure the covariant and contravariant components of a vector?","<general-relativity><metric-tensor><tensor-calculus><measurements><covariance>"
"Why does water have potential energy?","<potential-energy><fluid-statics><surface-tension>"
"Phase transition in 2+1D QED for $\theta =\pi$","<quantum-field-theory><mass><quantum-electrodynamics><phase-transition><topology>"
"The hierarchy problem: Higgs mass correction from gauge boson loop","<quantum-field-theory><particle-physics><supersymmetry><fine-tuning>"
"RG fixed points and $T_{\mu\nu}$","<quantum-field-theory><renormalization><stress-energy-momentum-tensor><scale-invariance>"
"If an object is enclosed within a metallic spherical shell having surface charge + q C. The object will carry charge - q C.?","<electrostatics><electric-fields><charge><gauss-law>"
"Definition of Generating Function and Momentum","<quantum-mechanics><classical-mechanics><momentum>"
