title,tags
"Help with stories in Scrum","<agile><scrum>"
"Writing the perfect proposal","<initiation><project-proposal>"
"VCS + IssueTracking + CI for free?","<agile><pm-software><communication><development-process><work-environment>"
"What can I do to encourage teams to lighten up?","<work-environment><culture><team-building>"
"How can I avoid team burnout?","<team-management><motivation><team-building>"
"Qualities of a Team Lead","<team-management><motivation>"
"How to calculate / estimate the cost for one man hour?","<cost-management>"
"How to apply Scrum in fixed date, fixed budget project?","<agile><scrum><fixed-price>"
"Estimating when the development team won't estimate","<estimation>"
"What is the role of a QA tester on a Scrum team?","<agile><scrum><testing>"
"Unfinished Stories in a Sprint","<agile><scrum>"
"What are typical legal and technical documents that you would provide with a solution as a vendor?","<documentation><project-proposal>"
"Using Microsoft Project for managing a Scrum project","<scrum><ms-project><ms-project-2010><backlog>"
"Kanban for multiple projects","<agile><scrum><kanban><multi-projects>"
"Should I do reference checks on an experienced candidate?","<human-resources>"
"Book recommendations on software detail design","<training><software><design>"
"Software development management for small disconnected team","<software-development><small-projects>"
"Do you know any companies that rotate developers between different projects on regular basis?","<software-development><motivation><project-team>"
"How to allocate budget among employees?","<pm-software>"
"Varying Sprint cycle in a project","<scrum><agile><sprint>"
"Function Point value, which is better","<estimation>"
"Is it possible to forecast when a scrum team will complete the product backlog?","<scrum><planning><estimation>"
"Sprint story point from PM perspective","<agile><story-points><estimation>"
"How can I create a visual timeline of User Stories / Epics from an Excel spreadsheet?","<pm-software><scheduling><gantt><release-plan><epics>"
"What are the best practices to create UAT pack in Scrum?","<scrum><agile><user-stories>"
"How do I organize a team of “shadow"" software developers (think ghostwriters)?","<software-development><process><process-engineering>"
"Custom Fields with empty Values on MS Project","<ms-project><ms-project-2013>"
"When does a PM create a RAID log","<risk-management>"
"Should you export data to Excel and Word?","<scrum><agile><user-stories><requirements><product-management>"
"Story breakdown and parent story points","<scrum><agile><scrum-master><jira><story-points>"
"Customer asks for a contract with the price for the whole project, but we are Agile","<agile><sprint>"
"Sort Not Working in Microsoft Project Custom Report","<ms-project><ms-project-2010>"
"Applying management to project in continuesly development","<project-team><project-management-style>"
"How to add special, non-continuous dates to one task?","<ms-project-2013>"
"How to measure customer satisfaction in Scrum?","<scrum><customer><customer-satisfaction>"
"Survey for Feasibility Study (WFM Tool)","<methodology>"
"How does a Business Analyst fit in with a Product Manager?","<project-team><business-analyst>"
"Is there an appropriate intro Scrum book?","<scrum><books>"
"Calendar Day Column","<ms-project><ms-project-2010>"
"What is the relationship and flow between an Enterprise Architecture Practice and the practice of a PMO?","<pmo><enterprise>"
"Definition of done for development teams with massively varied tasks","<scrum><quality-management>"
"Is an operational risk considered a project risk?","<risk-management><risk>"
"How to calculate Present Value and Net Present Value?","<cost-management>"
"What's the best definition and explanation of project risk?","<risk><definition>"
"What is the difference between Vision and Scope Document and a Project Charter?","<project-charter><vision>"
"Strict or pragmatic Scrum?","<scrum><methodology>"
"Information to keep in a risk register","<risk-management><templates><pmi-framework>"
"What software can I use to complememt our useless company task planning and time tracker tool?","<tools><pm-software><process>"
"What is the difference between Scrum and XP?","<agile><scrum><extreme-programming>"
"What are the first steps to take as a new PMO?","<pmo>"
"When are Gantt diagrams useful?","<gantt>"
"How do you measure risk?","<risk><risk-management><metrics>"
"What is the Project Management book that left the most impact on you?","<books>"
"What makes SMART-goals useful?","<tasks><task-management><goals><definition-of-done>"
"How to estimate amount of work/man hours for an unfamiliar task?","<estimation><planning>"
"Is it possible to use Agile methodologies in a fixed price contract?","<agile>"
"What role is there for a PM on an Agile project?","<agile><roles>"
"Is PMP certification an appropriate career goal for someone about to start a career in project management?","<planning><career><pmp><certification>"
"What is the preferred PMI framework friendly - Web Application for Project Managers?","<tools><pm-software><pmi>"
"What are the most common problems that you find in your lessons learned sessions?","<post-mortem>"
"What is(are) the standard method(s) for gauging progress for a task that the PM isn't familiar with?","<progress-report><progress-monitor>"
"Which tools would you recommend for use when drafting, monitoring and reporting on a project schedule?","<tools><scheduling>"
"When is overtime an appropriate use of resources, and how do I account for it?","<planning><progress-report><progress-monitor>"
"How technical should a Project Manager be?","<skills><technical-leader>"
"What are the current tools available for PM?","<tools>"
"Whats the difference between a project manager and an IT manager?","<roles><definition><terminology>"
"Expanding My Knowledge of Construction Projects","<career><education>"
"What percentage of a project manager's time should be spent working in the project management software and documentation?","<planning><documentation>"
"Are Gantt diagrams compatible with Agile methods?","<agile><gantt>"
"Which skill set is necessary for a project manager?","<learning><personal-skills>"
"When is it appropriate to provide non-monetary rewards to government employees that do not directly work for you?","<motivation><reward>"
"When do you realise you're overloaded","<workload>"
"How to run our first post mortem?","<post-mortem>"
"Where can you get access to PM related on-line resources?","<education><learning><books>"
"What are the biggest mistakes that new project managers make?","<untagged>"
"Can Scrum be suited to smaller development teams?","<scrum><development-process>"
"How many risks normally stay in your hot list?","<risk><risk-management>"
"What are the signs that a project is going wrong?","<progress-monitor><measurement><reporting>"
"Should a PM also be a resource on the project? Why?","<resource-planning>"
"Who is the correct party to set up and run a steering committee?","<roles><program-management><project-governance>"
"For what type of projects Kanban and Scrum better adjusted compared to each other?","<scrum><agile><kanban><methodology><scrumban>"
"How is Little's Law applied in Kanban?","<kanban><work-in-progress><cycle-time>"
"Are Kanban cadences and Kanban Feedback Loops are the same thing?","<kanban><feedback>"
"Does Service Delivery Review occur twice a week or once in two weeks?","<kanban><meetings>"
"Thoughts on using user stories to define business/platform needs?","<scrum><agile><user-stories>"
"What are the key documents involved in a software project?","<agile><product-management><documentation>"
"Tardiness to Sprint events","<scrum><agile><team-management>"
"Scrum, plan our sprint right. and what if we finished our stories before he sprint ends, what to do?","<scrum><agile><agile-coach>"
"That is throughput and how is it calculated?","<kanban><methodology><work-in-progress>"
"How can I resolve conflict with a seasoned developer?","<team-management><roles><conflicts><leadership><authority>"
"What technical skills are ""A Must"" for PM?","<project-management-style><skills><personal-skills>"
"Efficiency vs effectiveness in an example - isn't it wrong?","<process><definition><theory>"
"How does Scrum function well when the focus is on teams, not individuals? How does that not fail in the same way as communism?","<scrum>"
"How to assign reviewers in Scrum with code review","<scrum><reviews>"
"Classic BA role in agile (scaled agile)?","<agile><product-owner><business-analyst><safe>"
"Should my backlog have a limit?","<backlog><prioritization>"
"Should I over deliver ahead of schedule","<timeline>"
"How to manage a team that uses a software language you don't know?","<interview>"
"How to handle a potential failure of an outsourced project?","<planning><development-process><dependencies><timeline><outsourcing>"
"Can we implement six sigma on exponential distribution?","<product-management><6-sigma>"
"Is a board required by Scrum?","<scrum>"
"Scrum PSM I Practice Assessment (3rd Party) Trick Questions?","<scrum><scrum-master><sprint-planning>"
"What is the essential idea of Kanban (for software development)?","<kanban>"
"Safe spaces in scrum retrospectives","<scrum><agile><team-management><communication><scrum-master>"
"Story points estimation vs completing a Sprint","<scrum><story-points>"
"Macro Planning Road Map","<ms-project><planning><project-management-style><project-team><ms-project-2013>"
"Feasability report and the kickoff meeting","<software-development><waterfall>"
"What PM certifications are worthwhile acquiring?","<certification>"
"Method for scoring backlog items in Jira based on impact to company goals versus level of effort","<jira><backlog><prioritization>"
"Caution or Waste?","<definition>"
