title,tags
"What are the exact powers of Slovakian presidency?","<president><slovakia>"
"Who coined the term ""madman theory""?","<political-theory><terminology><history><game-theory>"
"Why won't UK Prime Ministers formally apologise for the Amritsar massacre?","<united-kingdom><india><history>"
"Why don't hard Brexiteers insist on a hard border to prevent illegal immigration after Brexit?","<united-kingdom><brexit><illegal-immigration><northern-ireland><republic-of-ireland>"
"Why is Donald Trump trying to sway the Indian-American voters in his favour for the upcoming Presidential Election?","<united-states><donald-trump><india>"
"What was the US government's official plan for dealing with future pandemics prior to 2020?","<united-states><covid-19-virus>"
"Has the House Judiciary Committee abused congressional oversight “authority”?","<united-states><congress><constitution>"
"Voting for 2020 presidential election during out of state move","<united-states><voting><us-state-laws><voter-turnout><vote-by-mail>"
"Is there a correlation between education quality and democracy quality?","<democracy><education>"
"Why hasn't Israel signed the biological weapons convention?","<israel><treaty><weapons><biological-weapons>"
"Partisan identification in the US, polls only weakly correlated to voter registration","<united-states><parties><polling>"
"Since 1856, has there ever been a US presidential election where every state votes for the same party in 2 consecutive presidential elections?","<united-states><presidential-election>"
"Will the creation of a Washington DC state be unconstitutional?","<united-states><constitution><supreme-court><washington-dc>"
"Does the US House of Representatives now allow ""remote voting"" from home? If so, how? Does the Senate as well?","<united-states><congress><legislative-process>"
"Why hasn't the UK penalized a Commonwealth Realm for supporting China's National Security Law on Hong Kong?","<united-kingdom><international-relations><commonwealth>"
"Why has Britain not taken action if they settled on an agreement?","<united-kingdom><china><hong-kong>"
"Are countries identifying themselves as secular, truly secular countries?","<religion><secularism>"
"Who would become president if the election were delayed past January 20?","<united-states><election>"
"Can Trump force Congress to delay the Nov. 3, 2020 general US elections?","<united-states><election><donald-trump><congress><presidential-election>"
"What if the Electoral College ties and no candidate gets a majority in the House or Senate?","<united-states><presidential-election><electoral-college><contested-election>"
"What fact-based arguments exist that mail-in voting would lead to significantly higher instances of US voter fraud?","<united-states><election-fraud><vote-by-mail>"
"Why don't parties run primary elections instead of the government?","<united-states><election><voting><parties><primaries>"
"How could Keir Starmer force an early general election?","<united-kingdom><boris-johnson><keir-starmer>"
"Did Karl Marx ever advocate anything?","<history><marxism>"
"Is Canada required to allow transit to and from Alaska?","<united-states><canada><treaty>"
"Where do governments hold money?","<united-states>"
"Is the US public asymetrically polarized?","<united-states><ideology><democratic-party>"
"Is there any significance to calling state police ""troopers""?","<united-states><police>"
"Can politics be described in epidemiological terms?","<fascism><cold-war><christianity><genocide><imperialism>"
"What did Marx mean by ""industrial armies""?","<economy>"
"How/why was the Federal Pandemic Unemployment Compensation set at a flat $600/week?","<united-states><law><covid-19-virus><social-welfare><employment>"
"Searching for Eisenhower's (?) principle for evaluating legislation","<united-states><reference-request>"
"How does the US House of representatives ""read"" 1.3 million documents?","<united-states><congress><house-of-representatives><antitrust>"
"What powers does POTUS currently have to ban a web service in the USA by presidential order?","<united-states><president><donald-trump><internet><media>"
"Do countries frame their contributions in climate change negotations in reference to others?","<international-relations><international>"
"What happens to signed bills? And what happens if they're destroyed?","<united-states><legislative-process>"
"Who are the people standing around in Trump's office, and how much are they paid?","<united-states><president>"
"Is it possible for an EU country to incorrectly report annual deficit in order to obey Maastricht Treaty threshold?","<economy><budget><romania>"
"Is there an officially stated reason why Trump's ban includes Iran and Iraq, but not Saudi Arabia, Afghanistan, or Pakistan?","<united-states><immigration>"
"Why Trump's ban includes Iran and Iraq, but not Saudi Arabia?","<united-states><donald-trump>"
"Do the Western countries sell arms or military equipment to China or vice versa?","<united-states><china>"
"Why are almost all of the United Nations headquarters located in Europe or America?","<russian-federation><united-nations><soviet-union>"
"What's California's total public pension unfunded liability?","<united-states><california><pensions>"
"Can President Trump’s Immigration Order be reverted?","<united-states><donald-trump><immigration><executive-order>"
"Why do people oppose immigration ban?","<united-states><immigration>"
"Have permanent US residents ever before been subjected to restrictions based on their origin country?","<united-states><immigration><history>"
"Why do airline companies and foreign government agencies have the right to prevent foreigners heading to US?","<united-states><law><immigration><borders>"
"What exactly did the federal judge do to Trump's executive order?","<united-states><judiciary>"
"Obama's 2011 ban on Iraqi refuges vs Trump's ban","<united-states><donald-trump><immigration><barack-obama>"
"Why are ""third parties"" viable in many democracies but not the USA?","<united-states><third-party>"
"How Would Trump Go About Adding Other Nations to the Travel Restriction List?","<united-states><donald-trump><international-law><terrorism><saudi-arabia>"
"Are any of the notable critics of Trumps immigration ban on record as criticizing Iran's etc... ban on anyone connected to Israel?","<united-states><immigration><israel><human-rights><iran>"
"Who drafts the executive order Trump signs?","<united-states><donald-trump>"
"Has Angela Merkel criticised travel bans on Israelis?","<israel><germany><angela-merkel>"
"If someone sends in an early vote, but then dies, is their vote counted?","<united-states><election><voting>"
"How often have majority parties plummeted in support in one election in democracies?","<election><democracy><parties><history>"
"Why were Obama's refugee admissions so few during the bulk of Syrian crisis?","<united-states><barack-obama>"
"Are non-U.S. citizens permitted the same rights afforded by the constitution?","<united-states><constitution><immigration>"
"Trump's temporary ban and green card holders","<united-states><immigration>"
"What could the Justice Department actually do with the Special Counsel’s report if it said the president likely committed a crime?","<united-states><justice-department>"
"Can the Prime Minister prorogue Parliament?","<united-kingdom>"
"If Boris Johnson were prosecuted and convicted of lying about Brexit, can that be used to cancel Brexit?","<united-kingdom><brexit>"
"How will the European Parliament look after brexit?","<united-kingdom><european-union><brexit><european-parliament>"
"Why is Andrea Leadsom so unpopular in the 2019 Conservative leadership contest?","<united-kingdom><election><conservative-party>"
"Is it legal in the UK for politicians to lie to the public for political gain?","<united-kingdom><law><ethics>"
"What was the practical effect of voter suppression in the UK's 2019 EU parliament elections?","<united-kingdom><brexit><european-parliament><ukip><voters>"
"When does the European Scrutiny Committee get involved in the legislative process?","<united-kingdom><european-union>"
"Did Robert Mueller try to prove a negative?","<united-states><mueller-investigation>"
"Is the impetus set by the European Council written down anywhere?","<european-union>"
"What part of Mueller's report, public statements, or other actions suggest that he called on congress to impeach/further investigate?","<united-states><donald-trump><mueller-investigation>"
"Is there an automatic series of treaties in the EU?","<european-union><treaty>"
