title,tags
"Como usar corretamente ""por que"", ""por quê"", ""porque"" e ""porquê""?","<ortografia><uso-de-palavras><diferenças-transatlânticas>"
"Qual a diferença de ""esse"", ""este"" e ""aquele""?","<adjectivos-demonstrativos>"
"Porque é que o sinal trema foi removido?","<acordo-ortográfico><acentuação>"
"Por que os números ""onze"" ao ""quinze"" não se escreve como uma composição da dezena mais a unidade? Assim como ocorre do ""dez-E-sseis"" ao ""dez-E-nove""","<etimologia><números><prefixos>"
"Qual é a diferença entre “mas” e “mais”?","<significado><ortografia><uso-de-palavras>"
"Afinal K, W e Y fazem ou não parte do alfabeto usado na língua portuguesa?","<ortografia><acordo-ortográfico><mudanças-históricas>"
"Qual é a diferença entre ""mau"" e ""mal""?","<significado><uso-de-palavras><diferenças>"
"Quais os significados e as origens das expressões ""Sossega o pito!"" e ""Sossega o facho!""?","<significado><português-brasileiro><etimologia><gíria><origem>"
"Deve-se evitar usar vírgula entre orações subordinadas substantivas e a oração principal?","<sintaxe><pontuação><orações-subordinadas><vírgula>"
"Por que é errado falar ""mais grande"" e ""mais pequeno""?","<advérbios>"
"Qual a forma correta de escrever ""14"" por extenso?","<ortografia><diferenças>"
"Hoje são ou Hoje é?","<gramática>"
"Qual a origem e significado da palavra ""caipira""?","<etimologia>"
"Por que a palavra cínico é usado para indicar uma pessoa falsa/descarada?","<etimologia><localização><origem-histórica>"
"""A presidente"" ou ""A presidenta""?","<ortografia><uso-de-palavras><diferenças-transatlânticas><localização>"
"""Obrigado"" vs ""obrigada""","<concordância><gênero><concordância-nominal>"
"Qual é a diferença entre “dá” e “da”?","<ortografia><crase>"
"Por que ""a nível de"" é considerado errado e como expressar a mesma ideia?","<expressões>"
"Qual usar ""Afim"" ou ""A fim""?","<ortografia>"
"Para assinaturas, devemos usar atentamente ou atenciosamente?","<significado><linguagem>"
"""Começarei fazer"" ou ""começarei a fazer""?","<conjugações-perifrásticas>"
"Concactenar ou Concatenar?","<ortografia>"
"Qual a diferença entre despercebido e desapercebido?","<significado>"
"Qual a forma correta, ""agente"" ou ""a gente""?","<significado><ortografia><diferenças>"
"Quando usar hífen?","<ortografia><acordo-ortográfico><hífen>"
