title,tags
"Why is variance problematic as a risk measure?","<equities><risk><variance>"
"Reliable stockmarket holiday, open and close time dataset/api?","<equities><data><market-data>"
"Delta Hedging: Clarification example of the book ""Hull, Options, Futures, and Other Derivatives""","<options><finance><derivatives><delta-hedging>"
"Evaluating passive fills","<equities><high-frequency><market-making>"
"GARCH mean and volatility spillover R commands needed","<volatility><programming><garch>"
"Model for target zone exchange rates","<stochastic-processes><monte-carlo><exchange><floating-rate><rates>"
"How to compute the CVA on a swap with SPV?","<credit-risk><cva>"
"To compute key rate duration, shall I use par curve or zero curve?","<bond><duration>"
"Proof that Sharpe ratio of the benchmark is related to the maximal information ratio and Sharpe ratio","<sharpe-ratio>"
"Is an autocorrelation of the abs returns just a consequence of the volatility burst?","<volatility><auto-correlation><stylized-facts>"
"How to quantify how many ECB hikes are priced in?","<interest-rates>"
"What is the difference between the Single Index Model and Multi-Index Models in computing the variance-covariance matrix of stock returns?","<portfolio-management><modern-portfolio-theory><covariance-matrix>"
"Shall I use the Longstaff and Schwartz method or the forward Monte Carlo method to price an American call?","<option-pricing><programming><finance-mathematics>"
"Finite Difference Method for Black-Scholes-Formula","<black-scholes-pde>"
"Rigorous definition of the two values of a European call","<options><black-scholes><valuation>"
"FX forward rates","<fx><arbitrage>"
"What is the other type of impact of dividends on the stock price in this formula?","<options><option-pricing><equities><black-scholes><dividends>"
"What is the analogue used by Hull to price European calls with known cash dividends?","<options><option-pricing><black-scholes><dividends>"
"Intuition behind log return of portfolio = weighted sum of log returns","<mathematics><log-returns>"
"Control for non-synchronous trading in correlations","<equities><returns><correlation><market>"
"Data sources to get past news articles","<programming><data-source>"
"time series for futures roll","<time-series><futures><roll-adjustment>"
"Simulation of Traders","<simulations><price>"
"""Forward price of bond"" VS ""Price of a bond with a future settlement date""","<bond><forward><bond-futures>"
"Determine trends of data (direction detection or turning point detection)","<equities><machine-learning><prediction><data-mining><trends>"
"VAR-aDCC full ARCH and GARCH parameter matrices in R","<programming><garch>"
"What is an Efficient way to calculate Simple moving average without saving previous N period values?","<programming><moving-average><technical-analysis>"
"Is there any useful links for option pricing (american + asian + european) using R","<option-pricing><programming><american-options><european-options><asian-option>"
"Do underlying assets have a no-arbitrage price?","<equities><valuation><no-arbitrage-theory><commodities><market-efficiency>"
"Black Variance Surface","<volatility><variance>"
"Estimate American-style option delta from similar options","<options><american-options><estimation><delta>"
"When translating factors into normalized Z scores, why use cap-weighted means?","<factor-models>"
"Likelihood Ratio Method - Delta","<mathematics><finance-mathematics><statistical-finance>"
"How is the ""probabilities sum to $1$"" rule enforced in betting exchanges?","<probability><exchange><betting>"
"Why is there greater demand for OTM and ITM options than for ATM options?","<options><volatility><implied-volatility><volatility-smile>"
"Monte Carlo volatily","<volatility><fx><monte-carlo><forecasting><estimation>"
"Are some stock prices not ARIMA(0,1,0) processes?","<arima><finance>"
"Wrong pricing of Asian Option","<options><option-pricing><volatility><valuation><asian-option>"
"FX Volatility smile interpolation delta or Log moneyness - which is better?","<volatility-smile>"
"Interpolating the swap curve","<swaps><bloomberg><interest-rate-swap><self-study>"
"Implied volatility equality for deep in/out-of-the-money put and call","<options><implied-volatility>"
"How to model the maturity term of non maturing deposit accounts","<risk-management><pricing><asset-pricing><banks>"
"Calculating theoretical spot rates of treasury bonds beginning with treasury bills","<fixed-income><spot-rate>"
"What is CMS Spread Option Single Look? In what ways is it different from CMS Spread Cap/floor?","<spread-options><cms>"
"Increase short positions in futures on oil","<futures><pricing>"
"Deriving Theoretical Result - ERC portfolio","<portfolio-optimization>"
"Not clear on an SDE solution example on YouTube","<stochastic-calculus>"
"Which dates are optimal for monthly rebalancing of a futures portfolio?","<futures><market-microstructure><rebalancing>"
"Position sizing in algorithmic trading","<quant-trading-strategies><algorithmic-trading><position-sizing>"
"Rainbow option pricing formula under *Bachelier* model","<options><option-pricing><exotics>"
"Interest rate swap valuation date convention","<swaps><interest-rate-swap><valuation><calibration><irs>"
"default protection seller long or short credit risk?","<credit-risk>"
"How to determine expected returns of an options portfolio?","<options><portfolio-optimization><statistics><derivatives>"
"Recommended Instruments (and sources) for Constructing Money Market Yield Curves","<swaps><yield-curve><discounting><ois-discounting><multicurve>"
"how do factor models in equity portfolio management add alpha?","<factor-models><factor-investing>"
"Aggregation of $\rho$ and $p$ for a vasicek model","<credit-risk><vasicek>"
"Cross Currency swap - Bond Yields arbitrage","<interest-rate-swap><cross-currency-basis><basis>"
"Modelling Order Flow","<high-frequency><market-microstructure><market-model>"
"IRS Valuation to calculate the expected exposure","<irs><exposure>"
"Replication of a dividend swap","<swaps><forward><dividends>"
"Can increase in volatility reduce the price of a deeply in-the-money European put?","<volatility><european-options><put>"
"Anyone know if this daily report discontinue to publish? Goldman Sachs - ""Global Index Volatility and Correlation Monitor""","<volatility><implied-volatility><data><market-data>"
"modelling known regime shifts","<time-series><modeling><market-regimes>"
"Cash Flows from Operations in Compustat","<factor-investing>"
"Understanding VWAP and DMA in EMSX Bloomberg","<bloomberg><vwap>"
"Absorption Ratio","<time-series><portfolio-management><risk><risk-management>"
"Why does nasdaq.com have such high Put IVs?","<option-pricing><implied-volatility>"
"Pricing a government bond","<options><option-pricing><bond>"
"Cancelable Forward","<option-pricing><fx><forward-rate>"
"Why files in this SEC filing is not downloadable?","<data><historical-data><fundamentals><sec>"
"LIBOR Market Model implementation in R","<programming><libor><market-model>"
"Why assume stock returns are normally distributed instead of just adjusting the kurtosis?","<normal-distribution><kurtosis>"
"How do I derive a blend of a 3Y future and 10Y future risk?","<fixed-income><risk><bond><hedging><bloomberg>"
"How to simulate market data and test strategies?","<market-data><market-making><market-model><multi-agent-simulations>"
"In BS option pricing, why is the drift rate of GBM equal to risk free rate for all stocks in risk neutral?","<black-scholes><risk-neutral-measure>"
"Baxter and Rennie: A question on Notation","<stochastic-processes><sde><notation>"
"Do quants need to know bloomberg terminal and VBA?","<mathematics><bloomberg><quants><career><vba>"
"Interest rate equation from bond price?","<fixed-income><interest-rates><bond><pricing>"
"Finding Jump Probability For Time Series Data","<stochastic-processes><implied-volatility><python><stochastic-volatility>"
"For a Floating Rate note, is there a way to convert the Discount Margin into OAS or Price?","<floating-rate>"
"Which rate to use as a risk free rate in emerging markets?","<programming><risk><currency><risk-free>"
"List: Behavioural characteristics of key Ito processes used in finance","<stochastic-processes><itos-lemma><big-list>"
"Optimization of Take-Profit and Stop-Loss","<optimization>"
"Why do higher interest rates increase the value of the currency?","<interest-rates><currency>"
"Portfolio risk decreased by increasing share of riskiest asset?","<risk><risk-management><risk-models>"
"Cross validation of a garch model","<garch>"
"Optimize an equity portfolio for the four central moments: problem formulation","<portfolio-management><portfolio-selection><skewness><statistical-finance><kurtosis>"
"Binary options and European option is similar?","<option-strategies>"
"How to convert trasaction log to bid-ask ticks","<market-data>"
"Library for interactive financial charts","<programming><r><visualization><library><c>"
"What are common methods for modeling intraday trading volume?","<time-series><modeling><market-microstructure><econometrics><volume>"
"How do I calculate Sharpe ratio from P&L?","<market-making><sharpe-ratio><bootstrapping>"
"Question about weighted midpoint formula","<limit-order-book><algorithmic-trading>"
"Why does the SMA and EMA appear to be relative to the timeframe?","<charts>"
"Finding Probabilities Using The Binomial Model","<options><option-pricing><probability>"
"Closed form european option prices for a variance gamma process with a randomly distributed drift, volatility, and variance rate","<option-pricing><stochastic-processes><distribution><variance-gamma>"
"Why do stocks with a negative beta return less than the risk free rate?","<correlation><beta><capm><standard-deviation>"
"Proving the asymptotic distribution of Manipulation-Proof Performance Measure (MPPM) (Paper by Goetzmann et al.)","<statistics><research><mathematics>"
"Extrapolating implied volatilities to small time","<options><volatility><interpolation><binary-options><extrapolation>"
"Can I trade the volume of a security or index?","<exotics>"
"Components of an index in a specific date","<data><index><historical-data><tick-data><database>"
"Accrued Interest in Monte Carlo simulation for CVA/DVA computation","<cva><accrued-interest>"
"Optimal Choice of exceeding time","<risk><optimization><finance>"
"Is price gaping the major risk that market maker has?","<market-making>"
"Optimizing stochastic functions numerically","<optimization><monte-carlo>"
"Why is the discount function non increasing if pure cash holdings are feasible?","<finance><mathematics><swaps>"
"Potential pitfalls in the use of correlation","<time-series><correlation><regression>"
"Get discount factors with limited knowledge?","<finance><mathematics><bond>"
"A basic question about market jargon","<terminology><jargon>"
"Deep bid ask orders","<limit-order-book>"
"download intra day data","<finance><yahoo><intraday><google>"
"Probability of a return from historical average and standard deviation","<statistics><probability>"
"HFT enhancements for FIX (Simple Binary Encoding) vs proprietary protocols performance and cost","<trading><high-frequency><automated-trading><fix><quickfix>"
"Estimating risk aversion (power or exponential utility) from options prices","<options><risk-neutral>"
"Shortcomings of generalized Brownian motion for asset price modelling","<modeling><brownian-motion><sde>"
"Black 76 for Options on Interest Rate Futures","<options><black-scholes><futures>"
"How to choose a risk-neutral measure when the market is incomplete?","<option-pricing><risk-neutral-measure><american-options>"
"What is the right group of durations?","<mathematics>"
"How accurately can the LIBOR market model price a floating note","<market-model>"
"Basics about the scaling property of volatility","<volatility><estimation><variance><brownian-motion>"
"Pricing credit risky bonds","<fixed-income><bond>"
"constructing best bid/ask from NASDAQ TotalView-ITCH data","<historical-data><tick-data><nasdaq>"
