title,tags
"Generic 2-qubit gate in qiskit","<quantum-gate><qiskit><programming>"
"Is there a gate that puts a qubit into superposition with a not so purely probabalistic (50 50) outcome?","<quantum-gate><hadamard>"
"What are the thermodynamic limits of Shor's algorithm","<complexity-theory><cryptography><shors-algorithm><entropy>"
"Is it a good idea to publish a research paper about the simulation of BB84 protocol?","<simulation><cryptography><research><bb84>"
"Quantum NOR Gate","<quantum-gate>"
"Passing an array of qubits into Q# using Python","<programming><q#>"
"Problem with the API-token from IBM TypeError","<qiskit><programming>"
"Projective vs general measurements - a missing piece","<measurement>"
"How to obtain the density matrix using tomography in the real device?","<qiskit><ibm-q-experience><quantum-fourier-transform><tomography>"
"Initial assumption of the unitary that allows us to estimate the label function","<machine-learning><unitarity><neural-network>"
"Install qiskit in django project","<qiskit><programming><ibm-q-experience>"
"Does quantum computers give any advantage over classical computers in Sudoku?","<algorithm><quantum-advantage>"
"IBM Q Experience - Can it be used draw out ML inferences?","<programming><ibm-q-experience><machine-learning><models>"
"Problem with code in 'Learning quantum computation using qiskit","<qiskit><programming><ibm-q-experience>"
"How do I add 1+1 using a photonic computer?","<circuit-construction><mathematics><photonics>"
"quantum gates hamiltonian","<quantum-gate><circuit-construction>"
"How promising is the possibility of carbon-based qubits to make a qubit that’s stable at room temperature?","<physical-qubit>"
"Do photons also suffer from decoherence?","<physical-realization><decoherence><photonics>"
"Could a quantum computer simulator be faster than a normal computer when running on a normal computer?","<speedup>"
"Find the number of elements in the Schmidt decomposition of a pure state","<quantum-state><entanglement><textbook-and-exercises>"
"What are the possible qubit states?","<quantum-gate><algorithm><quantum-state><circuit-construction><textbook-and-exercises>"
"How can I code a Conditional phase shift transform?","<quantum-gate><q#>"
"Are these two circuits equivalent (using swap gates with control qubits)?","<quantum-gate><circuit-construction>"
"Names of IBM Q backends","<ibm-q-experience><history>"
"Software used for modelling quantum processors","<programming><resource-request><physical-realization>"
"Hadamard Overlap Test","<quantum-gate><algorithm><circuit-construction><hadamard>"
"Product of block-encoded matrices","<algorithm><hamiltonian-simulation>"
"Bipartite states whose coefficients are entries of a unitary matrix","<quantum-state><unitarity><textbook-and-exercises>"
"How to decompose a unitary single qubit gate by universal quantum gate set?","<quantum-gate><quantum-state><textbook-and-exercises>"
"Why do we say 'classical computer' to mean 'digital computer'?","<terminology>"
"How to turn off multiprocessing in TensorFlow Quantum","<programming><simulation><machine-learning><tfq>"
"What happens when you send a Bell state through depolarizing channel?","<entanglement><quantum-operation><noise><bell-basis><textbook-and-exercises>"
"What do coupling coefficients mean in terms of Pauli gates, and why are they time dependent?","<quantum-gate><hamiltonian-simulation><pauli-gates><error-mitigation>"
"Can a Turing machine simulate a quantum computer?","<simulation>"
"Is it possible for an encryption method to exist which is impossible to crack, even using quantum computers?","<complexity-theory><cryptography>"
"How do the probabilities of each state change after a transformation of a quantum gate?","<quantum-gate><quantum-state>"
"Simulating a system inside a system","<simulation><memory-space><interpretations>"
"How is quantum cryptography different from cryptography used nowadays?","<cryptography>"
"Does quantum computing have an essential advantage in analyzing/controlling chaotic systems?","<applications>"
"Are there emulators for quantum computers?","<emulation>"
"Can we synthesize quantum many body systems with quantum computers quickly in the general case?","<simulation><many-body-systems>"
"Quantum entanglement for faster-than-light (FTL) network communication?","<entanglement><communication>"
"Can a quantum computer simulate a normal computer?","<simulation><classical-computing>"
"What level of ""confidence"" of the result from a quantum computer is possible?","<error-correction><fault-tolerance>"
"What cryogenic systems are suitable for superconducting qubits?","<physical-realization><architecture><physical-qubit><superconducting-quantum-computing><dilution-refrigerator>"
"How much faster is “D-Wave Two” compared to its predecessor?","<physical-realization><performance><annealing><d-wave>"
"How much memory is required to simulate a 48-qubit circuit?","<simulation><classical-computing><memory-space>"
"Blind quantum computing — generic structure variable selection","<cryptography><blind-quantum-computing>"
"State produced by spontaneous parametric down-conversion (SPDC)","<physical-qubit><optical-quantum-computing><spdc><quantum-state>"
"How to make qubits more stable towards noise?","<physical-qubit><noise>"
"How to get started with the Alibaba Cloud Quantum Computing Service?","<alibaba-cloud>"
"When will we know that quantum supremacy has been reached?","<speedup><quantum-advantage>"
"What exactly is meant by ""noise"" in the following context?","<noise>"
"What is postselection in quantum computing?","<complexity-theory><postselection><bqp><terminology>"
"What are the models of quantum computation?","<models>"
"Which quantum error correction code has the highest threshold (as proven at the time of writing this)?","<error-correction><noise><fault-tolerance>"
"How does bra-ket notation work?","<notation>"
"Is error correction necessary?","<error-correction><noise>"
"Why must quantum computers be kept near absolute zero?","<physical-realization><architecture><experiment>"
"What is the difference between a qubit and classical bit?","<physical-qubit>"
"What protocols have been proposed to implement quantum RAMs?","<quantum-memory>"
"Why do optical quantum computers not have to be kept near absolute zero while superconducting quantum computers do?","<physical-realization><optical-quantum-computing><architecture><superconducting-quantum-computing>"
"Deprecation warnings in Qiskit (circuit drawing)","<programming><qiskit>"
"How can quantum computing win 97% of times in coin flipping experiment?","<games>"
"Reversibility and irreversibility of logic gates (quantum vs classical)","<quantum-gate><classical-computing>"
"Aren't reversible logic gates a necessity for efficiently executing quantum algorithms?","<algorithm><classical-computing><models>"
"Reference that explains how to read 3d topological diagrams for surface code computations","<resource-request><error-correction><topological-quantum-computing><surface-code>"
"What happens with first phase factor in QFT?","<algorithm><shors-algorithm><quantum-fourier-transform>"
"Measurement of a qubit and storage of the information on a bit","<quantum-state><circuit-construction><measurement><decoherence><nielsen-and-chuang>"
"Optimal strategy to a quantum state game","<quantum-state><measurement><games>"
"Is there any company that backs and implements diamond vacancy quantum computers?","<physical-realization>"
"ImportError: cannot import name 'QuantumProgram' from 'qiskit'","<programming><qiskit>"
"How is Grover's operator represented as a rotation matrix?","<algorithm><mathematics><grovers-algorithm>"
"Does strong error reduction for PostQMA exist?","<complexity-theory><qma><postselection>"
"Do weak measurements (with/without weak values) have any application in quantum computation?","<measurement>"
"Why is correlation in the $X$ basis represented as $X\otimes X = 1$?","<notation><correlations>"
"Why can a point in anti-de Sitter space be modeled as a logical qutrit and how is its error correction done?","<error-correction><qudit><qutrit>"
"Why can't I connect to an IBMQ device?","<programming><ibm-q-experience>"
"Transmission of information over long distances","<quantum-information><entanglement><communication>"
"Does Brassard's algorithm for calculating the mean make implicit assumptions on distribution?","<algorithm><amplitude-amplification>"
"QE error: No handlers could be found for logger","<programming><ibm-q-experience><qasm>"
"Qiskit: 'per shot' result","<programming><qiskit><ibm-q-experience>"
"Optimal sampling strategy for VQE","<algorithm><optimization>"
"Is there any method of adding two operators in a circuit?","<quantum-gate><circuit-construction><gate-synthesis><quirk>"
"Grover algorithm for more than one element","<algorithm><mathematics><grovers-algorithm>"
"Type error creating R gate in Q#?","<quantum-gate><programming><q#>"
"Creating controlled R1 gates in Q#?","<quantum-gate><programming><q#>"
"Topological anyonic molecule statistics","<topological-quantum-computing><anyons>"
"What does simultaneous measurement of a mutually commuting set of observables mean?","<measurement>"
"D-Wave systems and IBM Q System One","<physical-realization><d-wave><ibm>"
"Proof that $2^n \times 2^n$ operator be decomposed in terms of $2 \times 2$ operators","<quantum-gate><gate-synthesis><tensor-product>"
"How to create the oracle matrix in Grover's algorithm?","<algorithm><programming><grovers-algorithm><pyquil>"
"Ion trap qubit Hamiltonian calculation manipulation","<quantum-state><trapped-ion>"
"How to recognize if a paper is talking about quantum annealing or gate logic?","<quantum-gate><adiabatic-model><machine-learning>"
"Can ""experimental data from a quantum computer"" be used to test separability probability conjectures?","<quantum-state><quantum-information><entanglement><experiment><ibm>"
"Where does the Xmon simulator from Googles cirq framework its entropy from?","<measurement><simulation><cirq><entropy><nisq>"
"Why is $P(1,2)_{\text{same}} = \frac{1}{4}$ and not $\frac{1}{2}$ in Preskill's Bell experiment?","<quantum-information><entanglement><games><correlations><bell-experiment>"
"Spin precession using a laser","<architecture><experiment><bloch-sphere><ion-trap-quantum-computing><chemistry>"
"How does a $2 \pi$ pulse in Cirac Zoller give a -1 sign to the state?","<quantum-gate><quantum-state>"
"Why is Grover's algorithm not converging monotonically? (Python implementation)","<programming><grovers-algorithm>"
"What is the matrix of the iSwap gate?","<quantum-gate><matrix-representation>"
"If quantum speed-up is due to the wave-like nature of quantum mechanics, why not just use regular waves?","<classical-computing>"
"Quantum walk with binary tree","<algorithm><quantum-walks>"
"What use has quantum computing been?","<technologies><applications><nisq>"
"Quantum phase estimation and HHL algorithm - knowledge of eigenvalues required?","<algorithm><hhl-algorithm><phase-estimation>"
"Simplified explanation of Shor/QFT transformation as thumbtack","<shors-algorithm><quantum-fourier-transform>"
"Square root of NOT as a time-dependent unitary matrix","<quantum-gate><gate-synthesis>"
"HHL algorithm -- why isn't the required knowledge on eigenspectrum a major drawback?","<algorithm><speedup><hhl-algorithm>"
"Basic approximation in Solovay-Kitaev algorithm","<algorithm><gate-synthesis><solovay-kitaev-algorithm>"
"Is running a large random brute force on quantum computer possible at the moment?","<algorithm><physical-realization><speedup>"
"What are the possible ways to visualise large, entangled states?","<entanglement><quantum-state>"
"Are quantum computers just a variant on Analog computers of the 50's & 60's that many have never seen nor used?","<classical-computing><programming><adiabatic-model><technologies>"
"What methods exist for cooling superconducting quantum computers?","<d-wave><superconducting-quantum-computing><dilution-refrigerator>"
"Computing Majorana ""Stars""","<bloch-sphere><majorana-particle><qutip>"
"How is entanglement achieved between two particles in quantum computing?","<entanglement>"
"How is the joint state of these qubits derived?","<quantum-gate><quantum-state><tensor-product><teleportation><communication>"
"Currently, what are the best structured courses available online on quantum computing?","<resource-request>"
"When you act on a multi-qubit system with a 2-qubit gate, what happens to the third qubit?","<algorithm><entanglement><teleportation>"
"Is entanglement necessary for quantum computation?","<entanglement><speedup>"
"HHL algorithm -- controlled-by-eigenvalues rotations","<algorithm><hhl-algorithm><quantum-enhanced-machine-learning>"
"HHL algorithm -- problem with the outcome of postselection","<algorithm><hhl-algorithm><postselection>"
"In amplitude amplification, how are the amplitudes of qubits changed?","<grovers-algorithm><amplitude-amplification>"
"Chrononic Computing (Time Evolution Systems)","<models>"
"Breakthroughs in quantum computing using non-standard quanta","<quantum-information><experiment><technologies><anyons>"
"Compact encoding of Boolean formula as oracle","<algorithm><entanglement><quantum-state><speedup><superposition>"
"What could be the possible future applications for HHL algorithm?","<algorithm><hhl-algorithm><applications>"
"Bell state preparation","<quantum-gate><quantum-state><tensor-product><bell-basis>"
"How can I use the quantum volume to design the scale of my experiment?","<qiskit><ibm-q-experience><hhl-algorithm><quantum-volume>"
"Custom Gate/Instruction with classical bits in Qiskit","<quantum-gate><qiskit><programming>"
"What is the best way to use loop statements on a quantum computer?","<programming><ibm-q-experience><classical-computing>"
"What is the convention of indices for the one and two-body integrals in qiskit","<qiskit><programming><chemistry>"
"How to correct a phase error of the form $e^{ix}$","<error-correction>"
"How to construct Hamiltonian for combinatorial optimization problems and then convert into Pauli basis?","<vqe><qaoa><quantum-computing-for-finance>"
"Amplitude estimation over subspace of problem","<algorithm><amplitude-amplification>"
"Keeping data around in an entangled state: use cases","<quantum-gate><quantum-state><entanglement>"
"How to optimize my HHL algorithm on qiskit?","<programming><ibm-q-experience><hhl-algorithm>"
"Generate a 3-qubit SWAP unitary in terms of elementary gates","<quantum-gate><qiskit><circuit-construction>"
"Grover algorithm in Q#","<programming><grovers-algorithm><q#>"
"Why does Grover's Diffusion Operator have the word ""diffusion"" in its name?","<grovers-algorithm>"
"Deutsch-Jozsa Misunderstanding","<algorithm><quantum-state><deutsch-jozsa-algorithm>"
"Why does job execution time vary significantly across different IBMQ Backends?","<programming><ibm-q-experience><ibm>"
"Why is there so much hope around quantum computers?","<research>"
"Generate a random bit sequence of 512 bits","<qiskit><ibm-q-experience><measurement><hadamard>"
"Qiskit implementation for MPS","<qiskit><programming><qasm>"
"Different result between Q# and Qiskit","<qiskit><programming><grovers-algorithm><q#>"
"Why is the lowest energy important to simulate a quantum system?","<quantum-state><simulation><vqe>"
"How to re-execute failed jobs in qiskit?","<qiskit><programming><ibm-q-experience>"
"Can local projections increase entanglement?","<quantum-state><entanglement><quantum-operation>"
"Converting 'string' to a function/gate in QisKit","<qiskit><programming><circuit-construction>"
"Semi-definite program for conditional smooth max-entropy","<density-matrix><entropy><semidefinite-programming><max-entropy>"
"Is there a circuit to compare two quantum states?","<quantum-state><circuit-construction><tomography>"
"Unable to instantiate provider for research account locally","<qiskit><programming><ibm-q-experience>"
"Where does $xy = a + b \pmod 2$ come from in the context of CHSH inequalities?","<bell-experiment><non-locality>"
