title,tags
"How to create a switchless multi-system 2 button Atari joystick?","<amiga><commodore-64><zx-spectrum><joystick><sega>"
"3D Printed Replacement Key Caps for Atari 1040ST","<keyboards><repair><atari-st><diy>"
"What was the name of the object-oriented C language I used in the 1980s on the Mac","<apple-macintosh><c>"
"What's the fastest Apple II (sans accelerator card)?","<apple-ii>"
"Can we express the instructions to the Analytical Engine in terms of assembler or machine code?","<history><assembly><undocumented-opcodes><microprocessor><architecture>"
"How were files transferred between different systems in the late 1980s?","<history><data-transfer><old-hardware-adaptation>"
"Mysterious things happening to stack when running a debug session","<assembly><x86><debugging><dos>"
"Is it possible to make VICE load .prg files faster?","<commodore-64><emulation><programming>"
"Fortran variable type defaults - origin","<programming><fortran>"
"Why does the Z80 include the RLD and RRD instructions?","<z80><instruction-set>"
"Is a normal B&W TV good enough for 80-column text?","<crt-monitor><ntsc>"
"Testing RAM on a 386","<hardware><hardware-testing>"
"New 6502 BASICs?","<basic><6502>"
"Operating systems (on support or recent) to install on a i486 processor computer","<ibm-pc><operating-system><80386>"
"Which Nobel prize winners names besides Townes were used as code names for Fujitsu computers?","<history>"
"Old C128 - normal to straight away pull 2 amps?","<commodore><commodore-128>"
"Old grid-based puzzle game with snakes that wake up when on the same row/column as you","<identify-this-game>"
"How did Parallel ATA/IDE Independent Device Timing work electrically?","<hardware><ide>"
"Why have ""room of dead"" in Ultima VII?","<gaming>"
"Exidy Sorcerer: how can I load a program from cassette whilst within CP/M?","<exidy-sorcerer>"
"How did Super Mario Bros. 3 create this tunnel vision effect?","<nintendo><nes>"
"When TCP was first invented, was the initial sequence number required to be random?","<history><network><internet>"
"Connecting multiple computers through dialup","<internet>"
"When were other inexpensive computers able to recreate ""The Amiga Juggler""?","<hardware><amiga><graphics>"
"What was the first publication documenting AT&T syntax assembly language?","<history><assembly><unix><x86>"
"Why does the SNES have a separate memory bank for sound?","<hardware><snes>"
"Did any machines alternate between two video memory banks?","<hardware><video>"
"Are there vintage or historical bitmapped fonts available for non-commercial use?","<licensing><font>"
"Did any Apple II games use a ""timing resistor""?","<hardware><apple-ii><gaming>"
"Were some Atari 2600 games written in C?","<software-development><c><atari-2600>"
"Why does the Commodore 64 leave these pointers in Zeropage?","<commodore-64>"
"Why did the original Apple //e have two sets of inverse video characters?","<apple-ii><display><text><font>"
"How to use the ""darker"" CGA palette using x86 Assembly?","<ms-dos><graphics><assembly><x86><cga>"
"What was the first commercially available computer with ECC memory?","<history><memory>"
"Copying disk image from HP 9122D drive","<basic><disk-image><hp>"
"How fast is memcpy on the Z80?","<z80><performance>"
"Can the ADB keyboard and mouse be converted to the 128K Macintosh?","<hardware><apple-macintosh><keyboards><mouse>"
"C64, basic v2, DATA strange behavior","<commodore-64><basic>"
"Was there an interactive macro/scripting language named PAGEN?","<programming><dec>"
"Game cartridges on the S-100 bus?","<hardware><z80><game-cartridge><s-100>"
"Getting a disk image off of a HP 9133 drive","<disk-drive><data-transfer><disk-image><hp>"
"Need help identifying an Apple IIc game/possibly educational with a top-down view","<apple-ii><identify-this-game>"
"How can I copy files from a Compaq Deskpro?","<windows-98><data-preservation>"
"Cyrillic Ж on IBM 1620?","<terminal><ibm>"
"Primary manufacturers of picture tubes for early monitors","<hardware><history><crt-monitor>"
"What is this extra lead in my monitor cable?","<commodore-64><audio><commodore>"
"PET space arcade game with surprisingly good graphics","<identify-this-game><commodore-pet>"
"C64: Why is POS(π) faster than POS(0)?","<commodore-64><basic>"
"In Windows 3.11, did a unusual subnet mask actually work?","<windows-3.x><network>"
"When did AOL start offering Internet email?","<history><internet>"
"What did AOL use for pre-web GUI client?","<history><internet><gui>"
"""Restoring"" a 1986 Compaq Portable II (Cabling question)","<floppy-disk><floppy-drive><restoration><compatibility><compaq>"
"How to use IBM SaveDskF floppy format on modern machine","<floppy-drive><disk-image><software-recommendation>"
"Why do Amiga Libraries have negative entry points?","<amiga><design-choices><amiga-kickstart>"
"What did Prodigy use for pre-web GUI client?","<history><internet><gui><prodigy>"
"PDP-1 skip group invert bit functionality","<assembly><pdp-1>"
"How to decode hexadecimal number in IBM/360 column binary format","<ibm>"
"What was the intended use for the character symbols for control codes in codepage 437?","<ibm-pc><character-sets>"
"What were the differences between Xenix and Unix?","<history><operating-system><unix><xenix><sco>"
"What's wrong with SNES original controller's shoulder buttons?","<hardware><snes><joystick>"
"What was the last non-monolithic CPU to come to market?","<history><cpu><mainframe>"
"Which computers did Donald Knuth ""mix"" together to get MIX?","<history><architecture><books>"
"Besides the IBM 709 and its descendents, did any other machine have ""slightly longer"" registers?","<history><mainframe>"
"The NexGen's x86 internal RISC architecture","<x86>"
"How can extra (digital) data be hidden on VCR/VHS tapes?","<history>"
"How do I detect if AmigaDOS dos.library/CurrentDir() fails?","<amiga><software-development><amiga-kickstart>"
"Did communication between a PLATO terminal and mainframe use pushes?","<mainframe><terminal><plato>"
"What were the modifications on the Apple 1 board that would have made it 6800 compatible?","<apple><6800><apple-1>"
"What random number generator was used in the VAX game Empire?","<game><vax><rng>"
"What aspect of portable floating point did Java back down on?","<history><floating-point><design-choices><java>"
"Why does PDP-6 Fortran need JSA and JRA?","<pdp-10><pdp-6>"
"What did the DoD think Fortran lacked?","<history><fortran><cobol><algol>"
"Why does a DECtape have 576 blocks?","<magnetic-tape>"
"What limited the performance of the SuperFX chip?","<snes>"
"Was Windows 95 really released in 1995?","<history><windows-95><microsoft>"
"Glitch in the display of a Mac SE/30","<apple-macintosh><display>"
"Paradigm for (repeated) use of PDP-10 indirect bit","<memory-layout><pdp-10>"
"Where can I find the Motorola Application Note AN-754?","<6809><6800>"
"How to code for bidirectional I/O for MC6850 ACIA (680x Assembler)","<6800>"
"How to transfer software from website to a Classic (SE/30) Macintosh","<apple-macintosh>"
"What was machine-specific about Honeywell FACT?","<history><mainframe><cobol><honeywell>"
"COBOL and processing card files directly","<history><mainframe><cobol>"
"How can I construct a dial-up network in my home, purely for the kicks?","<internet><modem>"
"Intel processor transistor type evolution","<cpu><intel><microprocessor>"
"Best way to swap IBM PC case badge?","<ibm-pc><ibm><case>"
"Why was SLI for gaming introduced and supported in the first place?","<history><hardware><graphics>"
"What was the first file system?","<history><file-system>"
"What was the very first device to have an RS-232 serial port","<serial><rs232>"
"Why do keyboards have an asterisk?","<history><keyboards><character-sets>"
"Why did 1950s-60s computers have such wide words?","<history><mainframe><dec><architecture><ibm650>"
"Where can I find EVOC20 package for Emagic Logic 2.5?","<software><audio><digital-audio>"
"Intel 8080-based home computers","<8080><8-bit-microcomputers>"
"Why doesn't the Intel 8086 CPU use real memory addresses?","<history><cpu><segmentation>"
"Why is the Intel 8086 CPU called a 16-bit CPU?","<8086>"
"Term “console” in game consoles","<history><game-consoles>"
"What was the difference between a Games Console and a Home Computer?","<history><game-consoles>"
"Locked-up DOS computer beeped on keypress. What mechanism caused that?","<ibm-pc><keyboards>"
"What makes MOVEQ quicker than a normal MOVE in 68000 assembly?","<assembly><motorola-68000>"
"Old SCSI controller won't boot on certain PC","<ms-dos><scsi><cd-rom>"
"ACA1221 cooling","<hardware-mods><amiga-1200>"
"How does the Gameboy's memory bank switching work?","<memory><game-boy>"
"What does Windows' ""Tuning up Application Start"" do?","<windows-98><windows-me>"
"Why is the unchangable Nintendo Game Boy logo in the cartridge?","<game-boy>"
"What does a Nintendo Game Boy do when turned on without a game cartridge inserted?","<game-boy>"
"How does the Gameboy address external hardware?","<memory><game-boy>"
"On a Gameboy, what happens when attempting to read/write external RAM while RAM is disabled?","<memory><game-boy>"
"Does switching on an old games console without a cartridge damage it?","<power><game-consoles>"
"Why did modems have speakers?","<modem><internet>"
"Why did extracodes fall out of favour?","<history><hardware>"
"Can a 1,44MB or 720K PC floppy drive be made to work with an Apple II family?","<apple-ii><floppy-drive>"
"6502 - AND instruction updates flags differently than other logic operations","<6502><instruction-set>"
"Fixing an ailing Amiga 500","<repair><amiga-500>"
"Were there ever any thermal printers that simply ""muscled"" plain paper?","<printer>"
"How can a Z80 assembly program find out its own memory address?","<z80><assembly>"
"Zilog Z80 estimated time discrepancy","<z80><assembly>"
"Is it a Directory, a List, or a Catalogue?","<history><operating-system><file-system><terminology>"
"How did Atari lose money on home computers?","<history><atari><atari-800><atari-400>"
"Checking Old Tapes","<zx-spectrum><cassette-tape>"
"What are some early network file systems?","<history><file-system><network>"
"Handheld Systems Archives CD-ROM","<handheld><magazine>"
"When and with which system or software was IBM's system of tape headers (VOLx, HDRx, ...) introduced?","<ibm><magnetic-tape><ibm360>"
"Unix Haters Handbook - guaranteeing synchronous, atomic operations","<software><books>"
"YMODEM specification problem?","<bbs>"
"What was the purpose of exotic modes and sectors for CD-ROM?","<cd-rom>"
"Shape of Cray-1","<cray>"
"Did general purpose I/O controller chips come with fewer than 40 pins?","<chip><io>"
"How to render FORTRAN overprinting in HTML?","<display><simulator><fortran>"
"Replacing Amiga 9 pin D-Sub mouse cable","<amiga><restoration><repair><mouse>"
"Wiring a Zilog Z80","<hardware><z80><8-bit-microcomputers><homemade>"
"How to I give instructions to a Z80 CPU","<z80><8-bit-microcomputers><homemade>"
"Which programming systems used object files on punch cards?","<history><mainframe><punched-cards>"
"HD63B03R timer interrupt frequency","<6809>"
"What cleaning/repair can be done to a Mega Drive cartridge slot?","<repair><game-cartridge><sega-genesis>"
"Magnetic tapes as a random access medium?","<history><storage><magnetic-tape>"
"Commodore 64 to modern TV","<commodore-64><video>"
"Historical price of ROM","<history><rom><memory>"
"Historical cost of computing (when was $1/FLOPS crossed?)","<history><performance>"
"Game cartridge save-game battery lifetime","<snes><battery>"
"Typical academic PDP-11 configuration for emulation","<pdp-11><simh>"
"What kind of EPROM was used for the Apple //e character generator, and how do I write a new one?","<apple-ii><rom><chip>"
"Seeking details relating to Amiga 3000 serial numbers","<amiga><amiga-3000>"
"Appropriate battery replacement for my A3000","<amiga><battery><amiga-3000>"
"Can a modern 1.44MB floppy drive work with an Amiga 2000?","<amiga><floppy-disk>"
"What early home computers have more than one CPU, where both could be used by the programmer?","<history>"
"Installing hdd on PhoenixBIOS A486 on Gateway 2000 4DX-33","<repair><hard-disk><ibm-pc>"
"NTSC scan lines and vertical resolution","<graphics><ntsc>"
"S-100 bus and device drivers","<history><hardware><driver><s-100>"
"Reason for the Amiga clock speed","<hardware><amiga><video>"
"Does a CDC 1604 emulator exist with a functional FORTRAN compiler?","<programming><debugging><fortran>"
"Alternative to Amiga 520A Video Adapter","<video><amiga-500>"
"How are Amiga libraries structured?","<amiga><amiga-kickstart>"
"Other than Ocean, what other famous loaders were there?","<commodore-64><gaming>"
"How does 6502 machine code process $ (address) VS #$ (value)?","<assembly><6502>"
"Is emulation ultimately the future of retro computing?","<history><emulation>"
"Source code control on an MS-DOS system","<source-control>"
"Connecting Iomega Zip (parallel port) to modern PC","<disk-drive><old-hardware-adaptation><driver>"
"How did the Microprofessor II have space for a Chinese font in the ROM?","<apple-ii><font>"
"Identifying an old one-bit image file format","<graphics>"
"What caused the demise of BASIC/BASICA in the late 1980's?","<basic><software-development>"
"Is there any reason to chose ES, FS, or GS over the others in real mode?","<memory><intel>"
"How to do I/O with emulation code?","<emulation><8086>"
"Can the wrong sync frequency really destroy a CRT monitor?","<hardware><video><crt-monitor>"
"Why plastic cases?","<hardware><history><case><cost>"
"Why did Commodore 64 cartridge games disappear?","<history><commodore-64><game-cartridge>"
"ZX Spectrum fault","<zx-spectrum>"
