title,tags
"Measuring angular displacement using the TI-SensorTag","<sensors><kinematics><gyroscope>"
"iRobot Create 2: Angle Measurement","<irobot-create><roomba>"
"Using accelorometer and gyroscope to get velocity, spin & flightpath of a ball in projectile motion","<gyroscope>"
"Determining a robot's distance from a certain point when the robot's position is constantly changing","<localization>"
"(Dynamixel) Inverse rotation direction","<servomotor><dynamixel>"
"Understanding the various attitude estimation methods","<arduino><quadcopter><accelerometer><gyroscope>"
"Pins in OpenROV that control the motors?","<mobile-robot><beagle-bone>"
"Determining transfer function of a PTU for visual tracking","<control>"
"What is the difference between SAM and SLAM?","<slam>"
"Estimating angular speed from position for control purpose","<pid><ekf>"
"An easy way to exert desired load on a motor shaft?","<motor><brushless-motor>"
"Is it possible to have A/V feed and serial communication on an RF transceiver at the same time on an Arduino?","<arduino><microcontroller><radio-control><serial><communication>"
"STM32F3 timers & computing","<microcontroller>"
"C++ and Create 2","<irobot-create><c><c++>"
"Do structured light camera sensors work outdoors?","<kinect><cameras>"
"Hand Eye Calibration","<robotic-arm><stereo-vision><calibration>"
"How to implement PID control for robotic arm?","<control><pid><robotic-arm><industrial-robot><dynamics>"
"Is this rubber/PVC coupling a good enough for small torque (0.1 N.m)","<control><brushless-motor>"
"Need suggestion about which microcontroller/processor and language to be used in my project","<artificial-intelligence>"
"Using 20 Servos at once, with raspberry pi","<raspberry-pi><servomotor><rcservo>"
"How to test GAZEBO works properly. Save windows don't show any component","<gazebo>"
"Is ROS (Robot Operating System) mandatory?","<ros><simulator>"
"Is the geometric inverse problem's solution ""continuous"" for a redundant robot?","<control><inverse-kinematics>"
"What would I need to control a DC servo using a 4-20ma linear analog signal?","<rcservo>"
"Can a Jacobian matrix be used to derive joint angles from end-effector linear and rotational velocity (without a filter)?","<robotic-arm><accelerometer><gyroscope><jacobian>"
"create2 reading sensor date does not always work","<irobot-create>"
"Cheap and efficient 3D sensor?","<mobile-robot><sensors><swarm>"
"Beginner question about software for calculations","<robotic-arm><mechanism><software>"
"Dynamic model of a tank like robot","<wheeled-robot>"
"Pole placement gains tuning","<control><pid><tuning><matlab>"
"Education sources for robot building?","<mechanism>"
"Building my first quadcopter","<multi-rotor>"
"recommendation of robot for special education","<artificial-intelligence>"
"estimate transfer function of stepper motor?","<control>"
"Arduino-Create 2: Reading Sensor Values","<arduino><irobot-create><roomba>"
"What are the different ways to control distance to be covered by a robot?","<wheeled-robot><movement>"
"Issue with multiple bytes from Irobot Create 2","<irobot-create><python><roomba>"
"What is the difference between Positioning and Localization Systems","<localization><slam><gps>"
"Robotic winch force sensor","<motor>"
"At what frequency should I input and read values?","<control>"
"iRobot Create 2: Encoder Counts","<irobot-create><roomba>"
"Are LiPo really 100 times more energy dense than model rockets?","<quadcopter><rocket><lithium-polymer>"
"how to implement and code inner and outer PD controllers for quadrotor for position tracking","<quadcopter><matlab><microcontroller>"
"DH parameters for a PPP arm","<forward-kinematics><dh-parameters>"
"Short range stereo vision","<computer-vision><cameras><stereo-vision>"
"Adjusting the PWM frequency and duty cycle to achieve the desired angular velocity in differential drive robots","<kinematics><c++><rotation><differential-drive>"
"Any slam simulator without using ROS?","<slam><simulation>"
"How can i do message packet signing using javascript/node js for MAVLink v2 messages","<ardupilot><mavlink>"
"vision guided robotic arm always required 6d pose of object?","<robotic-arm><computer-vision><cameras><industrial-robot><calibration>"
"Gazebo crashes and burns launching empty world in new package","<ros><gazebo>"
"How is this bicycle model in Robotics Vision & Control derived? And is its equation missing something?","<books>"
"Inverse Kinematics ""Can not converge"" issue","<inverse-kinematics><labview>"
"Looking for a model in a gazebo","<ros><gazebo>"
"How can robots communicate, locate and identify each other?","<mobile-robot><communication><wifi><swarm><identification>"
"Control Algorithms for Kinesthetic Teaching","<control><manipulator>"
"RGBD Camera Eye in Hand Calibration","<cameras><calibration>"
"Real-time python reinforcement learning library","<control><ros><python><real-time><reinforcement-learning>"
"Why is the Kalman filter a filter and not a control system?","<control><kalman-filter>"
"Why does degree of freedom only consider continuous values?","<manipulator>"
"ROS how to use published data in a python script (darknet_ros)","<ros><python>"
"Why my robot is lying down in gazebo simulator?","<robotic-arm><ros><gazebo>"
"Is interacting with registers the only way software and hardware interact?","<microcontroller><software>"
"Motor vs weight","<motor>"
"Where can I buy irobot-create?","<irobot-create>"
"High power jumping mechanism in small robots","<mobile-robot><mechanism><power>"
"How should I create a Pangolin (Armadillo) structure?","<design><mechanism><rotation>"
