title,tags
"Does casting Tongues on the tarrasque (a language-less monstrosity) let it understand language?","<dnd-5e><spells><monsters><languages><animals>"
"What happens when the Enlarge/Reduce spell is cast to reduce the size of a creature that has its hands and feet tied up to trees around it?","<dnd-5e><spells><creature-size>"
"Can a PC cursed with lycanthropy voluntarily shapeshift if they don't embrace the curse?","<dnd-5e><curses><shapeshifter><lycanthropy>"
"Can a PC cursed with lycanthropy embrace the curse if they are unaware of it?","<dnd-5e><curses><lycanthropy>"
"How does Carrying Capacity work with bonuses?","<dnd-5e><stacking><encumbrance>"
"Are there Xanathar Guild operations outside Waterdeep?","<dnd-5e><lore><forgotten-realms><factions>"
"Is this Way of The Iron Fist homebrew monk subclass too overpowered?","<dnd-5e><balance><monk><homebrew-review><archetype>"
"Saving a character that does not fit in the party","<party><party-formation><wfrp>"
"I made yet another Homebrew, Quaxels, are they balanced?","<dnd-5e><homebrew-review>"
"With the Great Weapon Fighting fighting style, how does the double-bladed scimitar's damage evolve?","<dnd-5e><optimization><statistics><fighting-style><double-weapons>"
"How does the double-bladed scimitar compare to using two weapons with the Dual Wielder feat and Two-Weapon Fighting fighting style?","<dnd-5e><weapons><optimization><damage><statistics>"
"How old is Reya Mantlemorn during the Descent into Avernus adventure?","<dnd-5e><published-adventures><npc><baldurs-gate-descent-into-avernus>"
"Are there any consequences of a Critical Failure on attack rolls?","<attack><attack-roll><pathfinder-2e><fumbles>"
"Can the tarrasque feel love? What has been published about the legendary tarrasque's mind?","<monsters><dungeons-and-dragons><lore>"
"Would the Disguise Self spell benefit Stealth checks made to hide?","<dnd-5e><spells><stealth>"
"Heavy Crossbow vs (unmodded) 5th level Eldritch Blast, which would be more reliable?","<dnd-5e><warlock><ranged-attack>"
"What is the necessary order of SR4/5 Seattle Missions and adventures?","<published-adventures><shadowrun-sr5><shadowrun-sr4><shadowrun>"
"Do Fast Grab and (Damaging) Move Object work together?","<powers><mutants-and-masterminds-3e><grapple>"
"How do the activity limitations for a long rest work in the Gritty Realism variant?","<dnd-5e><rests><optional-rules>"
"What can a soldier requisition and for how long?","<dnd-5e><background>"
"Can I requisition Plate Armor?","<dnd-5e>"
"Rolling initiative for a group of tokens in Roll20?","<tools><roll20>"
"What happens when an interrupt power changes the situation? 4e","<dnd-4e>"
"Creating a character based off a historical figure","<character-creation>"
"What's a good insult for a Tech Priest to say to a non-mechanical entity?","<warhammer-40k>"
"Can Monks gain the benefit of the Dual Wielder Feat with their Unarmed Strikes?","<dnd-5e><feats><monk><armor-class><unarmed-combat>"
"Vampire Stat Values in Night's Black Agents","<gumshoe><nights-black-agents>"
"In Pathfinder's Advanced Race Guide's Race creator, what does the prerequisite for Advanced ability scores mean?","<pathfinder-1e><character-creation><races>"
"What is the sense of a spell/power/effect with Standard Action casting time and only 1 round duration?","<pathfinder-1e><actions>"
"How do I calculate my damage in 3.5?","<dnd-3.5e><damage>"
"Getting Early Access to Level 8 and 9 Spells as an Arcane Trickster","<pathfinder-1e><spells><prestige-class>"
"Ringed Wall of Fire: How does the damage sequence go?","<dnd-5e><spells><damage><wall>"
"Can I use the Fast Hands bonus action to control Mage Hand?","<spells><dnd-5e><rogue>"
"Help, in 5th edition D&D do my modifiers go up, how and why?","<dnd-5e><character-levels>"
"Where can I find the formula to determine the PP capacity of a Psicrown?","<pathfinder-1e><magic-items><psionics>"
"The mechanics of holding an NPC at sword-point","<dnd-3.5e>"
"Mass Combat at early levels: Taking Leadership early and balancing power","<pathfinder-1e><balance>"
"How does the additional damage from rend apply to DR?","<pathfinder-1e><damage><damage-reduction>"
"RPG With Character Moral Growth and Corruption?","<game-recommendation><fantasy>"
"How can a werewolf fly?","<magic><chronicles-of-darkness-1e><flight><werewolf-the-forsaken>"
"How does using this artifact in combat work?","<combat><magic-items><numenera>"
"Where can I find a list of Monk Prestige Classes?","<dnd-3.5e><monk><prestige-class>"
"What defines a ""willing target""?","<dnd-3.5e><magic-items>"
"Is the product of the Heavens Mystery revelation ""Coat of Many Stars"" a valid target for Magic Vestment?","<pathfinder-1e><spells>"
"Do steeds summoned with Find Greater Steed have other options than the usual control rules during mounted combat?","<dnd-5e><spells><mounted-combat>"
"Can a Warblade use Wall of Blades to counter an attack from an invisible foe?","<dnd-3.5e><combat><invisibility><tome-of-battle>"
"Can I use strike maneuvers while polymorphed?","<dnd-3.5e><combat><polymorph><tome-of-battle>"
"In the Lost Mine of Phandelver adventure, when does the Flameskull attack?","<dnd-5e><monsters><published-adventures><attack><lost-mine-of-phandelver>"
"Do multiple cases of reduced HP from Harm need to be cured individually?","<dnd-5e><spells><disease>"
"Does the Arcanist Flame Arc exploit trigger attacks of opportunity?","<pathfinder-1e><opportunity-attack>"
"Does a PC lycanthrope druid gain a lycanthrope's resistances in humanoid form, and while Wild Shaped?","<dnd-5e><druid><wild-shape><damage-resistance><lycanthropy>"
"Does a Duergar Spy's Enlarge action double its damage dice from its Sneak Attack trait?","<dnd-5e><monsters><published-adventures><sneak-attack><tales-from-the-yawning-portal>"
"Can the UA Raven Queen's Blessing eldritch invocation be used by a warlock to heal and wake up an ally at 0 HP?","<dnd-5e><warlock><unearthed-arcana><hit-points><eldritch-invocations>"
"Can you use the soldier's ""enhanced tank"" to get 1/2 off on all upgrades?","<starfinder>"
"Can the Alter Self spell simulate bioluminescence?","<dnd-5e><spells>"
"How to handle a (Witch's) Familiar below level 5 - Communication & Orders","<pathfinder-1e><familiars><witch>"
"Can a Way of Shadow monk use Shadow Step to teleport from a cape's shadow?","<dnd-5e><class-feature><monk><vision-and-light><teleportation>"
"What would it take for a villain to get his domain transported to Ravenloft on purpose?","<campaign-settings><ravenloft>"
"Which spells improve damage infinitely with caster levels?","<spells><dnd-3.5e><damage><caster-level>"
"Is there a rule that allows me to fuse 2 NPCs?","<pathfinder-1e><npc><rise-of-the-runelords>"
"Which adventure books have information pertinent to non-adventure play?","<dnd-5e><books>"
"Is there any in-text justification for limiting Reserves of Strength?","<spells><dnd-3.5e><feats>"
"What issues will arise from a player's weird request for a backstory?","<dnd-5e><character-creation><background>"
"When a solarian uses the Reflection revelation to reflect an attack, do they apply the original attacker's modifiers or their own?","<class-feature><attack><starfinder>"
"Does the Protection from Evil and Good spell give an undead disadvantage to attacking itself?","<dnd-5e><spells><attack><undead><advantage-and-disadvantage>"
"What are the primary differences between the rules of D&D 3.5 and Pathfinder?","<pathfinder-1e><dnd-3.5e><edition-comparison>"
"Is a fumble on a natural 1 an official rule?","<dnd-3.5e><fumbles>"
"What are the most beginner friendly table top role playing games?","<game-recommendation>"
"What is the full list of official D&D settings?","<dungeons-and-dragons><campaign-settings>"
"Can characters in Dogs in the Vineyard have different escalation levels in conflict?","<dogs-in-the-vineyard>"
"Where can I find desert random encounter tables?","<dungeons-and-dragons><encounter-tables>"
"Optimizing a D&D 3.5 Monk","<dnd-3.5e><optimization><monk>"
"Seeking Name of Abstract, Card-Based RPG","<indie-rpg><product-identification>"
"What tools or strategies have you found useful when not all players can be in the same physical space?","<tools><remote>"
"Advantage to normal multiclassing in D&D4?","<dnd-4e><multi-classing>"
"D&D Encounters Dark Sun Season","<dnd-4e><dark-sun><dnd-encounters>"
"D&D 3.5 Podcasts","<dnd-3.5e><podcast>"
"Monster Complement for Fire Beetles","<dnd-4e><encounters>"
"How do current D&D 4e DMs deal with loot?","<dnd-4e><treasure>"
"How do you adjudicate a chase?","<dungeons-and-dragons>"
"What can I use in place of Fudge Dice?","<dice><fudge><fate>"
"Dealing With Inexperienced Players in Hero System","<hero-system><new-players>"
"What are some character development tools?","<roleplaying><tools><character-development>"
"What are the properties of Shaman Spirit?","<dnd-4e><shaman>"
"What are the best places on the Web to advertise for players?","<new-players>"
"How to Handle a Powergamer / Munchkin","<gm-techniques><problem-players><powergaming>"
"How can I speed up D&D 3.5e combat?","<dnd-3.5e><combat>"
"What is the closest RPG analogue to the newest version of the Mechwarrior RPG?","<battletech><mechwarrior-4e>"
"History of role-playing games","<history-of-gaming>"
"How do I roleplay a character more intelligent than I am?","<roleplaying>"
"Are there any good websites which have story hooks and plots points for campaigns?","<campaign-development><story>"
"Are there any good tabletop RPGs for young beginning players?","<game-recommendation><kids>"
