title,tags
"What are some good Russian equivalents for the word ""badass?""","<одним-словом>"
"Phrase meaning “ты мой золотой”","<перевод><usage><одним-словом><russian-usage>"
"Can anyone clear up some discrepancies between rules for numeral+adjective+noun agreement for 2/3/4 and actual usage (as found through e-sources)?","<usage><прилагательные><существительные><числительные>"
"Meaning of ""хитровыебанный""","<usage>"
"Does the Russian numeral rule for the adjective that comes between the number and the noun (see below) apply to animate nouns in actual usage?","<usage><прилагательные><существительные><числительные><animateness>"
"What publications or institutions govern proper usage of the Russian language?","<грамматика><usage>"
"Genitive Case - soft question","<usage>"
"What does ""Бошетунмай"" mean?","<перевод>"
"""Критический"": How should it be prounounced?","<произношение><ударение>"
"Are words for family members (e.g., ""брат,"" ""сестра,"" ...) ever used as names, and, if so, is the word then capitalized (as it would be in English)?","<usage><выбор-имени>"
"The word “вообще"" and its usage","<перевод><usage>"
"Is the perfective aspect used to indicate failure?","<usage><глаголы><вид>"
"""Твои собаки едят"" or ""у тебя собаки едят""?","<грамматика>"
"Why is ""У девочки есть всё"" singular?","<грамматика>"
"Colours as nouns","<существительные>"
"Interpretation of the conjunction ""a""","<conjunctions>"
"""Промышленники"" working for the fur companies","<этимология><лексикон><история-языка>"
"What is the logic behind ""вялотекущая"" attachable to an illness but not to a river?","<semantics>"
"What does the phrase ""увидеть небо в алмазах"" mean?","<выражения>"
"""Они живут у меня дома"" and ""Они живут в мой дом""?","<грамматика>"
"In Russian is it more appropriate to refer to someone by their full name?","<выбор-имени>"
"What are Russian equivalents of the English idiom ""It's a work in progress""?","<idioms>"
"""Действующий и будущий регуляторы"" - why not ""действующие и будущие""?","<грамматика><прилагательные><множественное-число>"
"Where does the -и ending in ""Ныне отпущаеши..."" come from?","<морфология>"
"Why is there a ""ц"" in ""Сан-Франциско""?","<произношение><история-языка>"
"Multiple pronunciation of ""до""","<произношение>"
"Cопряжение глагола с существительным неопределенного количества","<глаголы>"
"Words ending with 'ы'","<произношение>"
"What is the difference between ""занятый"" and ""занятой""?","<usage><значения><прилагательные>"
"What case do numbers take in constructions where they are preceded by ""на""?","<склонение><предлоги><числительные>"
"Are there any major differences between ""много,"" ""намного,"" and ""гораздо"" or are they completely interchangeable?","<usage><значения><наречия>"
"""On the side"" — «На стороне»?","<перевод><идиомы>"
"Usage of verb взять","<математика>"
"Usage of the preposition ""от""","<математика>"
"Russian pronunciation of /etc (a directory)","<произношение><transliteration>"
"Transitive verbs","<глаголы>"
"What is the actual origin of the aphorism about intentions and capabilities?","<выражения><этимология>"
"Join infinite distributive (mathematical)","<математика><фраза><терминология>"
"Confusion between ""брать"", ""принимать"", ""получать""","<грамматика>"
"monolingual dictionary","<словарь>"
"How do I say ""Outdoor Pre-show""","<перевод><vocabulary>"
"What is the etymology of the word крутить?","<этимология>"
"Russian equivalents of ""We would never hear the end of it""","<выражения>"
"От сумы, да от тюрьмы не зарекайся - что за сума?","<пословицы>"
"How is являться different from есть and быть","<выбор-слова>"
"Контекст возбуждения - (не) только сексуальный?","<выражения><одним-словом>"
"Why do Russians refer to money as grannies (бабки)?","<значения><этимология>"
"три versus трое","<грамматика>"
"Russian equivalents of ""have ideas above his station""","<выражения><english>"
"When do you change a word into a different case?","<грамматика>"
"Meaning of words ""заштырить"" and ""отштырить""","<перевод>"
"Does genitive plural take neuter verbs with years?","<грамматика><impersonal>"
"Struggling to find equivalent of ""Cloakroom"" in russian","<перевод><vocabulary>"
"What is the meaning of: ""- Отнеси кота на веранду. - Да уж лежит там.""","<перевод><значения><идиомы>"
"What does ""даже"" mean?","<перевод>"
"Why do phonetically same Russian and Polish obscenities mean very different things?","<этимология><история-языка><мат>"
"Is there a universally accepted set of Russian grammar rules?","<грамматика><пунктуация><орфография><resources>"
"How to emphasise the insignificance of someone/thing in Russian?","<выражения><французский>"
"Типа такой vs типа такого","<usage>"
"The reason for using comma in between потому and что","<грамматика>"
"""Мы встретились в авто-сервисе"" или ""мы встретились на авто-сервисе""?","<предлоги>"
"Is ""ж"" palato-alveolar or retroflex?","<произношение>"
"Как назвать список предстоящих дел?","<одним-словом><словарь>"
"Счётная форма существительного","<грамматика><падежи><числительные><множественное-число>"
"What does «и» mean in the sentence like «Я и ртом надую»?","<usage>"
"Добавление приставок к глаголам перемещения","<глаголы><словообразование><приставки>"
"Are пырей and перо somehow connected?","<этимология>"
"Is there a word or phrase that is comparable to ""legalese"" in Russian?","<заимствования><terminology><english>"
"Why is «Совет» Transliterated to ""Soviet"" in English Instead of ""Sovyet""?","<transliteration>"
"How common is angle-shaped Л in modern Russian?","<буквы><typography><алфавит>"
"When to use «раз, два, три» instead of «один, два, три»?","<usage><числительные>"
"""зарплата"" vs. ""жалование""","<выбор-слова>"
"Phrases like «fan-made book», «fan-art» and «fan-fanfiction of this fanfiction»","<перевод>"
"Why is the numero sign (знак номера) ­«№» used in Russian when the letter ""N"" is not in the Cyrillic alphabet?","<other-languages><алфавит>"
"When is it appropriate to use «алло»?","<этикет><приветствия><formality>"
"What is the root in word ""вынуть""?","<словообразование>"
"""У меня пять самцов обезьян/обезьян-самцов/обезьян-особей мужского пола/обезьянних самцов""?","<выбор-слова>"
"What does ""Я дежурный по апрелю"" mean?","<значения>"
"выходить vs. уходить","<выбор-слова><грамматика>"
"Special treatment for plural forms depending on number of objects - where does it originate from?","<этимология><числительные>"
"Difference between Что and Почему?","<значения>"
"When would you use без боли vs. безболезненно?","<выбор-слова><usage><russian-usage>"
"""Вы достигли Вашей цели"" или ""... Вашу цель""?","<глаголы>"
"Usage of the word ""раён""","<выбор-слова><usage>"
"distinguishing between ""a force"" and ""the Force"" in speech","<выбор-слова>"
"Games for russian vocabulary","<грамматика>"
"Imperfective and Perfective Aspects for Non-Personal Moods","<выбор-слова><грамматика><глаголы><вид>"
"What does ""Вон оно чё"" mean","<перевод>"
"Translating a quote by Marilyn Monroe","<цитата>"
"Как бы вы объяснили ""Бродил ли он""","<usage>"
"What do the abbreviations мн. and ч. mean?","<словарь>"
"Difference in usage between ""раба"" and ""рабыня""","<usage><выбор-слова><синонимы>"
"How do ""буран со снегом"", ""метель"", ""вьюга"", ""пурга"" differ in their meaning?","<значения><выбор-слова><синонимы>"
"Казалось бы, при чём здесь это?","<перевод>"
"Meaning of поназакачивать","<значения>"
"Русское издание, использующее ""высокий"" язык","<usage>"
"Translation - ""From"" and ""To"" to Russian for a converter app","<перевод>"
"""Колотня спорола"". Прошу объяснить, что произошло","<значения>"
"Difference between ""ну"" and ""значит""","<russian-usage>"
"Какие значения имеет слово “фигачь”?","<значения><slang>"
"Что значит и какова этимология слова ""колпачить""?","<значения><этимология>"
"'отсутствие имеет место' -- лексическая ошибка?","<грамматика>"
"Расселина и расщелина - в чем разница?","<выбор-слова>"
"Specific use of the world ""молодец""","<usage><одним-словом><приветствия><connotation>"
"What's written on my whisky bottle?","<перевод>"
"Which kind of pepper?","<лексикон><выражения>"
"Why do I keep seeing зову́т for third person singular?","<грамматика>"
"How do you ask a guy if he is gay without being offensive?","<перевод><этикет>"
"Why do we say ""У меня (есть)"" and not ""У я есть""?","<грамматика>"
"Оканчивать университет или заканчивать?","<выбор-слова>"
"Повадно ли такое словотворчество?","<приставки>"
"самец машинистки","<одним-словом>"
"Why do we need У in ""Ножка у сту́ла сломалась""?","<грамматика>"
"What does «наяву» mean?","<значения>"
"Example of a reflexive verb in Grothendieck's obituary","<глаголы>"
"Differences in punctuation marks between Russian and English","<пунктуация>"
"Machine-readable corpus of Russian words","<лингвистика>"
"Programming terminology: Expression statements in Russian","<перевод>"
"Человеческий перевод ""Technology Partners"" и ""Solution Partners""","<перевод><выбор-слова>"
"Если ""испытать"" - ""испытуемый"", то есть ли ""сказуемый"", ""наказуемый""?","<словообразование>"
"Does the verb 'убивать/убить` require the genitive plural case for the object?","<падежи>"
"Как правильно указать время для ""обследую""?","<словоприменение>"
"What does ""korobchil"" mean?","<лексикон>"
"Use of participles in apposition with nouns","<грамматика><participle>"
"Перевод ""work item"" в компьютерной терминологии","<перевод>"
"Do I need a comma after an opposite alternative presented by ""а не ..."" phrase in a complex sentence?","<пунктуация>"
"скажите vs подскажите","<usage>"
"""Они братья"" but ""Это упражнения"" - why different pronouns?","<местоимения>"
"Что именно означает слово «запись» в сокращении «ЗАГС»?","<значения>"
"What is the etymology of the Russian word приставка?","<этимология>"
"What does ""война из-за угла"" mean?","<значения>"
"Фраза «Ох, уж это...»","<значения>"
"Корень слова «Заседание» и связь со словом «Сидеть»","<этимология>"
"Alternative to 'тотчас же'","<выбор-слова><синонимы><словоупотребление>"
"Meaning of ""по ходу""","<usage>"
"Translating ""Sale""","<перевод>"
"Слово слово или слово ""слово""","<пунктуация>"
"usage of вы гляньте","<usage>"
"Are there any differences between ""купи дорогой сыр"" and ""купи дорогого сыру""?","<грамматика><выбор-слова><падежи><semantics>"
"A strange-seeming construction in Tolstoj","<грамматика>"
"Значение слов 'при этом,' 'заодно,' 'одновременно'","<значения>"
"Conceptualization of 'по'","<значения>"
"How Contemporary Is Tolstoy's Language?","<vocabulary>"
"What is the meaning of всё + comparative?","<phrase>"
"Usage of 'стало быть' versus 'значит'","<значения><словоупотребление>"
"Meaning and Usage of 'Раз уж'","<значения><словоупотребление>"
"'Вот оно что' versus 'вон оно что'","<значения>"
"What does ""вот уже"" mean?","<перевод>"
"Why is ""страхам"" in the dative in ""Страхам дней минувших меня уж не догнать""?","<склонение>"
"Why is ""Никита"" a typical masculine name?","<грамматика><морфология>"
"Definition of 'симпатичный'","<значения>"
"Translation of 'Попустись'","<перевод><глаголы>"
"Expressing an Imperative Without Knowing the Imperative","<перевод>"
"Говорить о том, что","<phrase>"
"Meaning of все поголовно","<usage>"
"Meaning of вся подноготная","<usage>"
"Difference in Meaning between Стой, Хватит, Перестань, and Прекрати?","<значения>"
"Meaning of 'Почем Знать?'","<значения><фраза>"
"An adjective being used as if it's a verb - ""Вашей семье будет предоставлена квартира""","<грамматика>"
"When should I use genitive personal pronouns versus possessive pronouns?","<грамматика><падежи><родительный-падеж>"
"Best English meaning of ""Скончаться. Сном забыться. Уснуть""","<перевод>"
"Why does дом become дома instead of домы?","<окончания>"
"Ways to translate/say, ""as much as""/""to the same extent as""","<перевод>"
"Что значит слово ‹‹есмя››?","<перевод>"
"Can I use the dative case as a statement of place?","<грамматика>"
"How to translate 'My brain is fried?'","<перевод>"
"The present tense in Russian storytelling","<tense>"
"My treat (general context)","<перевод>"
"Usage of пока-пока","<usage>"
"Numeral: Date. Confused when last digit is three","<перевод><грамматика><usage>"
"Date and syntax","<перевод><грамматика>"
"Is блин a euphemism for блядь?","<одним-словом>"
"Language and exercise a sport?","<перевод><грамматика>"
"Difference between ""ýчите"" and ""изучáете""?","<перевод>"
"Question: How do you spell Tel-Aviv in Russian?","<перевод>"
"Спряжение глаголов с ударными личными окончаниями","<грамматика>"
"Я былa в Москве but if a town name ends in ё?","<перевод><грамматика>"
"он/Она and the -OM termination?","<перевод><грамматика>"
"How to pronounce the word ""рождéния""?","<перевод><грамматика>"
"Question: Prounounciation of a date?","<перевод><грамматика>"
"Pronunciation of ""I live with my family""","<грамматика><перевод><произношение>"
"What is the correct pronunciation of ""сотовые телефоны""?","<перевод><произношение>"
"Difference in pronunciation between ""вce"" and ""вcё""?","<перевод><буква-ё>"
"What does ""убежден в злом"" mean?","<перевод>"
"Purpose of всё in this sentence?","<грамматика><наречия>"
"Почему как стартовую команду применяют фразу «три-четыре»?","<идиомы>"
"Why do some people pronounce ""о"" as ""a"" and some just pronounce ""o"" as ""o""?","<произношение><russian-usage><vowel>"
"""Так"" ""такая"" ""такой"" and ""Какой""","<грамматика><выражения>"
"Pronunciation of “и” at end for these specific words","<usage>"
"Why ""самый лучший"" instead of ""лучший""?","<значения><прилагательные><superlative>"
"""живущего в христианскую эру"" or ""живущего в христианской эре""?","<грамматика><падежи><винительный-падеж>"
"How is ""как нельзя более кстати"" different from ""как нельзя кстати""?","<значения>"
"""Я видел дом"" means ""I saw a house"" or ""I saw the house"" or both?","<значения>"
"How is ""чему"" used in this sentence","<грамматика>"
"The origin of ""на авось""","<перевод><этимология><идиомы>"
"Russian verb + ""то""","<грамматика>"
"О конях и лошадях","<выбор-слова><выражения>"
"The meaning of ""бедный родственник""","<значения><идиомы>"
"The origin of ""заморить червячка""","<значения><идиомы>"
"Expressing the idea of a ""holdout""","<перевод>"
"Одушевлённость шахматных фигур","<существительные>"
"Russian verb for ""install (a PC application)""","<глаголы>"
"When to use ""прекрасный"" and when to use ""красивый""?","<выбор-слова>"
"Participle clause x main clause agreement","<перевод><participle-clause><adverbial-participle>"
"""навсегда"", ""навек(и)"", ""вовек(и)"", ""вечно"": When to use each one?","<выбор-слова>"
"Pairs of words differing only in a soft sign","<произношение>"
"""Уйти под воду с головой""","<значения><выражения>"
"Tире или дефис в ""сервис - конкурент""?","<пунктуация><орфография>"
"""У меня все в порядке"" or ""со мной все в порядке""","<грамматика><предлоги>"
"'Надо было бы' - present or past conditional?","<tense><conditional>"
"Expressing uncertainty while making a statement (I think...)","<грамматика><перевод>"
"Proverb for succeeding when in a comfort zone","<пословицы>"
"Different 'number' in verb of relative clause using который","<глаголы><participle><clauses><participle-clause><subordinate-clause>"
"""Я на тебя удивляюсь"" or ""я тебе удивляюсь""","<usage><глаголы>"
"What do I call a Hue, a Shade, a Tone and a Tint in Russian?","<перевод>"
"""Laid off"" vs. ""fired""","<перевод>"
"How to say ""historical reenactment"" in Russian?","<выбор-слова>"
"Благодать низошла или благодать снизошла на кого-то?","<грамотность><семантика>"
"Запятая или знак восклицания после слова ""смотри"" в значении обращать внимание на что-то?","<пунктуация>"
"Which verb would start a ""серию убийств""?","<выбор-слова>"
"Какая разница между словосочетаниями ""в последний раз"" и ""последний раз""?","<предлоги>"
"What are the pronunciation errors in this short story rendition?","<произношение>"
"разница / разность / различие / отличие","<значения><difference>"
"Why does давай(те) take different forms - давай + inf. or давай + future?","<грамматика><tense>"
"Pronunciation of не","<произношение>"
"Capitalization of *бог, боже, господь, господи*","<правописание>"
"The pronunciation of ""воины""","<произношение>"
"""Was going to"" translation","<перевод>"
"What is the usage of отвести?","<выбор-слова><глаголы>"
"Не отвести глаз или не свести глаз?","<выбор-слова><глаголы>"
"What'd be a formal way to say ""морочить голову""?","<idioms><formality>"
"What is the difference between the perfective forms скушать and покушать","<глаголы>"
"Чего: Usage and Meanings","<грамматика><родительный-падеж>"
"When to use Genitive in comparatives?","<грамматика>"
"Вы used with plural verbs and adjectives","<грамматика>"
"С прописной или строчной буквы пишется ""О/одиссеева Итака""?","<грамотность>"
"Почему зовут символ @ ""собака""? Why is the @-symbol called ""dog""?","<vocabulary>"
"almost how many words are there in Russian language?","<словарь>"
"What are the lasting effects of communism on the russian language?","<этимология>"
"Regarding the adjective ""Христов""","<прилагательные><морфология>"
"Using ещё and пока","<значения><синонимы>"
"Use of ещё with time elements","<выбор-слова><наречия>"
"when to use the short form of an adjective?","<грамматика><прилагательные>"
"Stylistic differences between чтобы and дабы","<usage><выбор-слова>"
"Does Russian not have articles because of the declension of (predicative) adjectives?","<грамматика>"
"How to avoid seeming overly familiar when writing letters to a friend?","<formality><культура>"
"Активируется vs активизируется","<usage><выбор-слова>"
"Formation of nouns formed from verbs","<грамматика>"
"How to use the words ""друг"" and ""подруга"" properly? Как правильно описать отношения по-русски?","<usage>"
"Прошу Вас vs Прошу Вам","<грамматика>"
"Can ""товарищ"" be used with the first name only?","<usage><выбор-имени><formality>"
"What's the difference between пользование and использование?","<существительные><глаголы>"
"Дефис: «процедурно сгенерированный» или «процедурно-сгенерированный»?","<орфография>"
"Conjugation with ни/либо phrases","<грамматика>"
"Meaning of ""вот прям""","<значения>"
"Насколько архаично слово ""магнитофон""? Что сегодня используется наиболее часто вместо него?","<usage><выбор-слова><vocabulary><культура>"
"Difference between поиграть and сыграть","<глаголы><вид><приставка-по><prefix-по>"
"Usage of давай(те) with perfective imperatives","<usage>"
"Parts of speech in the question ""Чей это ...?""","<грамматика>"
"Question about spelling ""чьё/чья/чьи""","<этимология><орфография>"
"Genitive plural of ""башка""?","<грамматика><падежи><множественное-число><родительный-падеж>"
"When is it more appropriate to use здравствуйте rather than привет?","<выбор-слова><formality><приветствия><этикет>"
"How are short and long form adjectives used differently?","<грамматика><прилагательные>"
"How do I pronounce the soft sign at the end of a word?","<согласные><произношение>"
"How do I know when to use -тся or -ться in a verb","<грамматика><tense>"
"What is the Russian translation of ""excited about something""?","<лексикон><перевод><одним-словом>"
"To be confused about something","<лексикон><перевод>"
"Where to find parallel English-Russian novels to learn Russian?","<resources><обучение><литература>"
"What is the best equivalent for FWIW in Russian?","<перевод><выражения>"
"What is the translation for ""жить захочешь, не так раскорячишься""?","<выражения><saying><цитата>"
"What is the order of adjectival premodifiers?","<прилагательные><word-order><синтаксис>"
"Learning to pronounce hard R","<произношение>"
"Usage of ""про"" instead of ""о""","<выбор-слова><предлоги>"
"mathematical pronunciation of 1","<математика>"
"Typographic weight names","<typography>"
"Слово ""дно"" во множественном числе","<грамматика><множественное-число>"
"Are there analogous words for words оба, обе for three and more?","<грамматика><числительные>"
"What is correct: ""их"" or ""ихний""?","<лексикон><pronouns>"
"Are there some typical mistakes made by native Georgian speakers when speaking Russian?","<грамматика>"
"What are some of the most common words which were borrowed from other neighbouring Soviet republics?","<заимствования><этимология><лексикон>"
"Where outside the former Soviet Union is the Russian language widely used?","<russian-usage>"
"Is Russian widely known in Georgia?","<russian-usage>"
"Equivalent adjective of 'thirsty' in Russian","<прилагательные><лексикон><одним-словом>"
"What's the first person singular future of победить","<грамматика><глаголы><tense><будущее-время><defective-verbs>"
"What is the proper use of the word ли?","<лексикон><выбор-слова><conjunctions>"
"How do I specify a non-whole number of nouns which have no singular form?","<грамматика><множественное-число><морфология><числительные>"
"Elementary understanding of the concept aspect","<грамматика><вид>"
"Why doesn't Russian have native words beginning with А?","<этимология><лексикон><история-языка><фонология>"
"What are the different operators like =,<,>,% etc. called (named) in Russian","<математика>"
"Действительно ли по новым правилам слово ""кофе"" среднего рода?","<существительные><род>"
"Has заец really become an acceptable spelling?","<лексикон><орфография><правописание>"
"Is there a word that starts with ""ы""?","<лексикон><орфография><правописание><буквы>"
"How do I split a word into syllables?","<фонетика>"
"Etymology/Origin of ""Грузия""","<этимология><ономастика><toponyms>"
"A Russian translation for ""privacy""","<лексикон><перевод>"
"Different words for ""German"" in Russian?","<лексикон><выбор-слова><перевод>"
"Measurement units after numbers - genitive plural or nominative singular?","<числительные><существительные><падежи>"
"How can ""to teach"" and ""to learn"" be translated to Russian?","<лексикон><выбор-слова><перевод><usage>"
"Translation for ""Urban legend""","<перевод>"
"Is there a future tense in Russian?","<tense><будущее-время>"
"Как подписать письмо?","<выбор-слова><одним-словом><синонимы>"
"Meaning of чё - что or чего?","<значения><slang>"
"Russian words for magic. Etymology, usage and connotations","<лексикон><выбор-слова><этимология>"
"Спутники естественные и искусственные","<этимология>"
"Is the Russian word «рейс» related to the German word ""Reise""?","<этимология><other-languages><заимствования>"
"How shall I say ""star"" and ""unstar"" (as in Github) in Russian?","<выбор-слова>"
"Значение слова кощун в средние века","<этимология><значения><история-языка>"
"Why is ""мне хорошо"" an odd response to ""как дела""?","<выбор-слова><значения>"
"Translation to Russian: ""The doctor would not take any gifts from the poor.""","<перевод>"
"Baby fox, baby lion, baby X","<перевод>"
"Representing long vowels in Russian Cyrillic","<transliteration>"
"past tense without л","<окончания><tense>"
"Inconsistencies books pronunciation","<произношение>"
"Numbers ending in 1","<грамматика><числительные>"
"What are the various ways to say ""."" (period/dot/full stop)?","<произношение><пунктуация>"
"Famous tongue-twister which is pronounced in parties","<фонетика>"
"Как правильно пишется фраза «почему ? неизвестно»","<пунктуация>"
"The difference in usage amongst these verbs and adverbs?","<глаголы><наречия>"
"Иметь vs у меня for physical things","<usage>"
"больница vs госпиталь","<выбор-слова><синонимы>"
"Аre there any masculine toponyms in Russian ending on -a?","<toponyms>"
"Certain words supposedly in Russian that I can't verify!","<значения><одним-словом>"
"How to say ""житель Крымска"" and not to confuse it with ""житель Крыма""?","<toponyms>"
"""У меня оба часов/обеи часы/обои часы сломались""?","<pronouns>"
"Talking about perfective and imperfective verbs","<выбор-слова><глаголы>"
"Do all verbs in Russian have both an imperfective and perfective aspect?","<глаголы><aspect>"
"«Да святится имя Твое» or «Да святится имя Твоё»?","<произношение><буква-ё>"
"Case and number of words in a label (as opposed to words in a sentence)","<падежи><склонение><множественное-число>"
"Свою, его, него, ему - what's the difference?","<грамматика>"
"Понимаешь по-английски?","<idioms><phrase>"
"How is яблони different from яблоки?","<существительные>"
"Как перевести ""can't be bothered with""","<перевод><значения>"
"Difference in usage between ""пи́ща"" and ""еда""","<существительные>"
"Use of implied actions and до того как","<перевод><грамматика><conjunctions>"
"What are Russian equivalents of the English idiom ""spread yourself too thin""?","<выражения><idioms><phrase>"
"""Темным-темно"" - which case is used here?","<грамматика>"
"What is the meaning and origin of «агитлисток»?","<перевод>"
"Why does колбасер ""Sausage maker"" mean someone who raves or hardbasser?","<перевод><usage>"
"""Норм чувак"" meaning","<значения><выражения><slang>"
"Is ""культуры Энергетик"" a set phrase based on the German ""kulturelle Energetik""?","<этимология><phrase>"
"What is the correct name of the ship, Il'men or Il'mena?","<выбор-имени><other-languages><история-языка>"
"Why is the Russian adverb ""уже"" not always translated into English?","<перевод><usage><наречия>"
"Do ""надо"" constructions tend to pair with perfective verbs and if so, why?","<usage><глаголы>"
"Допустимы ли выражения ""на эмоциях"" и ""на характере"" с точки зрения норм русского языка?","<стилистика><грамотность>"
"How early is ""животноводство"" attested?","<usage><история-языка>"
"Is there any Russian surname similar to Macorís?","<transliteration>"
"""Толстой"" and ""толстый""","<грамматика><прилагательные><выбор-имени>"
"Pronunciation of ""Иванов""","<произношение><выбор-имени><ударение>"
"What is ""spiral binding machine"" called in Russian language?","<перевод>"
"Are names for organizations indeclinable or not?","<грамматика><склонение>"
"объехать vs. объездить for the sense of traveling all over a place?","<usage><глаголы><приставки>"
"What were the original half-Russian Siberians called?","<синонимы><история-языка>"
"Difference between ""прежде"" или ""раньше""?","<грамматика><usage>"
"When to use ""в"" and when not to use?","<usage>"
"To imply ""but"" when should I use ""а"" and when should I use ""но""?","<usage><выбор-слова>"
"""Перекрестье"" vs. ""перекрестие"" — what's the difference?","<выбор-слова>"
"The infinitive of ""уймитесь""?","<выбор-слова><морфология>"
"What is the difference between ""благодарю"" and ""спасибо""","<usage><word-order>"
"What is the difference between ""я люблю"" and ""мне нравится""?","<usage><выбор-слова>"
"""Встань"" or ""встать""?","<глаголы><imperative>"
"Pronunciation of ""о""","<произношение><word>"
"meaning of the sentence","<значения>"
"Why is it ""девяностОлетний"", but ""сорокАлетний""?","<морфология>"
"What is the difference between ""кафедра"" and ""факультет""?","<выбор-слова><терминология>"
"Commas in questions with two options","<пунктуация>"
"How to says logs analytics?","<информатика>"
"Would someone mind just getting me started with my Russian homework?","<грамматика>"
"Can Russians naturally pronounce ""попал в бесперспективняк""?","<произношение><фонетика><согласные>"
"How long is the night from the Russian language standpoint?","<usage><выражения>"
"Future simple and future perfect in Russian","<verb-aspects>"
"Pronunciation of /ʂ/, /ʐ/ and/ɕ/","<произношение>"
"Avoiding spelling ambiguity when writing in cursive - и, л, м, ш, ц, щ, ы","<алфавит>"
"Avoiding spelling ambiguity when writing in cursive - a, o","<алфавит>"
"Pronunciation of кафе","<произношение>"
"Difference between ""у тебя всё хорошо"" and ""ты в порядке""","<vocabulary><difference><словарь>"
"Different Words in Russian, Same Meaning in English!","<перевод><usage><значения><выбор-слова>"
"Pronunciation of ""мужчина""","<произношение>"
"Pronunciation of ""солнце""","<произношение>"
"Pronunciation of unstressed ю ( /jʊ/ )","<произношение>"
"Озадачен странным указанием поставить запятую от Word 2003","<пунктуация>"
"Difference between ""греть"", ""обогревать"" and ""нагревать""","<vocabulary>"
"Different ways of saying ""I got""","<usage><выражения><глаголы><vocabulary>"
"Pronunciation of существительное","<произношение>"
"Иносказание внутри прямой речи - нужно ли дублировать кавычки","<пунктуация>"
"Translate 'Loves' at the end of a letter","<перевод>"
"Was ""Novgorod"" in 1815 one city or the other?","<история-языка><toponyms><places>"
"Rules for classifying grammatical gender in Russian","<usage>"
"Plural female gender of «Попутчик»","<множественное-число><суффиксы>"
"Who is Goddess Khalyava?","<значения><этимология>"
"How do I tell if a 'г' sounds like a 'g' or a 'v'","<произношение><алфавит>"
"Why was it decided in 1956 to abolish the spelling чорт (devil) in favor of чёрт?","<история-языка><правописание><орфография>"
"Почему в русском языке японские названия переведены с 'си' там, где в японском 'ши' или 'щи'","<перевод>"
"Поставить vs класть","<выбор-слова>"
"Speed and Velocity in Russian","<выбор-слова>"
"Написание прилагательных, включающих в свой состав числительные","<прилагательные><числительные>"
"""Лицам старше 16 лет и более 70 кг"" - тут логическое ""и"" или ""или""?","<usage><значения>"
"Why do Russians sometimes spell ""жирный"" (fatty) as ""жырный""?","<произношение><орфография>"
"Why is the 'г' in ""мягкий"" pronounced like a 'х'?","<произношение>"
"В доме Пушкиных? Пушкинских? Пушкинов?","<грамматика>"
"How is погода (weather) a count noun?","<usage><значения><множественное-число>"
"What is the origin of the suffix -он?","<этимология><slang><суффиксы>"
"The origin of ""отморозок""","<этимология>"
"How come the Russian cognate for the Czech word ""čerstvý"" (fresh) means entirely the opposite thing (stale)?","<этимология><история-языка><other-languages><slavic>"
"Homophones after vowel reduction","<произношение>"
"Как перевести предложение в котором есть фраза is least with respect?","<перевод>"
"Verb подписываться vs выписать","<usage>"
"When (and, if applicable, where) did ся cease to be a free clitic?","<история-языка>"
"Meaning of ""одна морда чего стоит""","<usage><idioms>"
"Этимология выражения ""хернёй страдать""","<этимология>"
"Translation for ""When I was young""","<перевод><падежи>"
"I (have a meeting,run,blank) from X to Y in the morning. с/к or от/до?","<предлоги>"
"Roman and Greek loan words in Russian and Germanic languages","<vocabulary><заимствования>"
"Why do some people pronounce ""р"" as uvular fricative?","<фонетика>"
"Are the verb suffixes ""-ate"" and ""-ать"" cognates?","<этимология>"
"Use of нужно with the dative","<грамматика>"
"""По коробу поскреби"" - what does it mean?","<значения>"
"Why does Russian have three words for marriage?","<usage><выбор-слова><синонимы><словоупотребление><marital>"
"""Попугаи"" по-английски в контексте измерения чего-либо","<english>"
"Is there a comprehensive list of where ""в"" and ""на"" are used?","<выбор-слова><лексикон><vocabulary>"
"Origin of particle ""ли""","<грамматика>"
"One has something or lacks it (хватит/достаточно)","<usage>"
