title,tags
"Poisson solver on unstructured mesh","<complexity><poisson><solver>"
"Numerical Integration - handling NaNs (C / Fortran)","<quadrature>"
"What are some good data-types for unstructured cell-centered FVM CFD code?","<fluid-dynamics><finite-volume><data-structures>"
"how to approach time zero when the equation is not defined at that point","<pde><finite-element><finite-difference><parabolic-pde>"
"How to design good finite difference schemes?","<finite-difference>"
"Computation of Cholesky factor","<linear-algebra><algorithms>"
"Simple substitutions using symbolic computing in MATLAB","<matlab><symbolic-computation>"
"Hybrid spatial schemes for CFD: any downside to blending versus switching?","<fluid-dynamics><finite-volume>"
"Flexible Mesh Framework","<c++><mesh>"
"How to apply a Galerkin finite element method to a linear, one-dimensional boundary value problem","<matrix><finite-element><ode><discretization><polynomials>"
"Magma vs. Plasma","<linear-algebra><lapack><blas><gpu>"
"Evaluating sine and cosine of an integer multiple of an angle","<special-functions>"
"Checking for error in conjugate gradient algorithm","<linear-algebra><linear-solver><iterative-method><conjugate-gradient>"
"Orthonormalized Bernstein polynomials using Gram-Schmidt","<finite-element><basis-set><collocation><spectral-method>"
"Understanding the ""rate of convergence"" for iterative methods","<iterative-method><convergence>"
"Recommendation for a python book for data processing","<python><education><programming-paradigms><data-analysis>"
"Improve optimization over 'mapping' of indices","<optimization><algorithms><machine-learning><complexity><combinatorics>"
"Heat equation (steady state) with boundary conditions at domain edges and inside the domain","<pde><boundary-conditions>"
"Setting background image with respect to a point in Paraview","<visualization>"
"Conforming mesh refinement for quads/hex elements","<finite-element><adaptive-mesh-refinement><spectral-method>"
"Numerical method for equation solving that works on stochastically computed functions","<monte-carlo><nonlinear-equations><stochastic><numerics>"
"Is it possible to solve nonlinear PDEs without using Newton-Raphson iteration?","<numerical-analysis><nonlinear-equations><implicit-methods><newton-method><explicit-methods>"
"Stress due to the mismatch of thermal expansion coefficients of two different attached materials in COMSOL","<finite-element><comsol>"
"ode45 usage in this case?","<matlab><ode>"
"approximating normal derivative of a continuous function with shape functions","<finite-element>"
"Issues with CVX package for optimization","<optimization><convex-optimization><cvx>"
"What is the underlying structure of scientific code performance?","<performance><iterative-method><navier-stokes>"
"VTK file format to image file","<visualization><vtk>"
"Compute $(e^x-1)/x$ near $x = 0$","<c++><c>"
"Computing $\sin(\pi/2)$ numerically","<error-estimation><approximation>"
"Can my project survive without Object Orientation?","<matlab>"
"General Linear Algebra Wrapper Library","<linear-algebra><reference-request><c++>"
"Pseudo-inverse of a discretized operator with a null space?","<finite-element><linear-solver><discretization><svd>"
"What is the time_step and how many iterations required for convergence purpose in fluids simulation","<fluid-dynamics><simulation>"
"Partitioning Data for Multiple Regression Lines","<optimization><regression><partitioning>"
"Confusion regarding the Adam-Moulton and Backwards Differentiation Formula (BDF) of the VODE solver","<nonlinear-equations><method-of-lines>"
"References on the topic of DEM and XDEM","<finite-element><reference-request><simulation>"
"Examples of numerical solution of stochastic differential equation(SDE)?","<numerical-analysis><stochastic>"
"Non-negative matrix factorization for sparse input","<matrix><matrix-factorization>"
"range of positive mantissa in given floating-point number representation","<floating-point><computer-arithmetic>"
"Continuity of eigenvectors of parametric matrix","<linear-algebra><matrix><eigensystem><numpy>"
"Binary vs. ASCII file size","<visualization><paraview><vtk>"
"Significance of p-convergence studies","<finite-element><convergence><numerical-analysis>"
"What's the best way to handle a quadratic constraint","<constraints><constrained-optimization>"
"How can one produce a proper streamline plot?","<visualization><plotting><vector>"
"Azimuthal average in Fortran? Find indexes in Fortran?","<fortran><matrix><eigenvalues><lapack>"
"Test set for linear solvers","<linear-solver><iterative-method><testing><data-sets>"
"Analog of perfectly matched layers for finite element methods","<finite-element>"
"Reference for approximation errors in 2D and 3D by using FEM","<reference-request>"
"Lax-Richtmyer stability analysis","<stability>"
"Calculate the machine epsilon in Matlab","<matlab><precision>"
"When are two vectors considered ""close""?","<error-estimation>"
"What is the algorithm that matlab used in its built-in function 'pca'?","<linear-algebra><algorithms><matlab><statistics><approximation>"
"Solve a fourth order differential equation","<finite-difference><integral-equations>"
"Fastest linear solver for sparse positive semidefinite, striclty diagonally dominant matrix","<linear-solver><sparse-matrix><c++><c><semidefinite-programming>"
"Partial differential equations with octave","<pde><numerical-analysis><octave>"
"Evaluating 6D Gaussian Integral in Matlab","<matlab><numerics>"
"linear solution of curve fitting on multiple linear functions differing by a multiplier","<linear-algebra><regression><least-squares>"
"Finding self-similar solutions","<curve-fitting>"
"Solving a system of polynomial equations with multiple variables","<optimization><constrained-optimization>"
"Schur(QZ) Decomposition Differences","<linear-algebra><lapack><languages>"
"Numerically solve a PDE in Python with a term calculated by coarse-graining","<pde><finite-difference><python><simulation><finite-volume>"
"optimising changing the range of integers from random number generation","<optimization><random-number-generation>"
"Confusion in modeling and computing","<simulation>"
"General question about Computational Science","<computational-physics>"
"Implementation of nonlinear term in FEM","<pde><finite-element><nonlinear-equations>"
"Is the shooting method the only general numerical method for solving nonlinear boundary value ODEs?","<ode><nonlinear-equations>"
"Boundary conditions Chebyshev differentiation","<boundary-conditions><spectral-method>"
"Does it matter if I use principal component analysis on the transpose instead of the original matrix?","<linear-algebra><matrix>"
"Is there a relatively simple way to extract the Jacobian from a Runge-Kutta 4/5 integrator?","<optimization><runge-kutta><jacobian>"
"Should I pass command line arguments to MPI_Init or not?","<c++><c><mpi>"
"Policies Relating to Publication and Open Source Development of Code in Academia","<open-source>"
"How to generate a rotated (by 90 degrees) logistic sigmoid function in Python","<python>"
"How to determine the number of c points in algebraic multi grid","<linear-algebra><c++><multigrid>"
"3D Poisson equation, Fourier and Chebyshev","<fourier-analysis><poisson>"
"Testing 1D root-finding procedures for robustness","<precision><testing><data-sets><roots>"
"Treatment of Neumann (Traction) boundary conditions using projection methods","<finite-element><boundary-conditions><navier-stokes><projection><incompressible>"
"steady state solution from parabolic problem vs solution of elliptic problem","<pde><boundary-conditions><convergence><parabolic-pde><elliptic-pde>"
"Using Trilinos and/or Petsc in Windows with Visual Studio?","<parallel-computing><software><simulation>"
"Are there improved method of computing the following expression?","<optimization><algorithms><performance><matrix><complexity>"
"Is it common not to use libraries for standard numerical algorithms, and why?","<libraries><c>"
"Is Fortuna or Mersenne Twister preferable as an algorithmic RNG?","<algorithms><random-number-generation>"
"Looking for an understandable discussion of creating Maximum Entropy classifiers","<machine-learning>"
"What are the best practices for algorithms and implementation of multi-physics simulations?","<pde><multiphysics><implicit-methods><software>"
"How to determine if a numerical solution to a PDE is converging to a continuum solution?","<pde><stability><convergence>"
"Pauli repulsion contribution in electronic structure computations","<computational-chemistry><density-functional-theory>"
"Discretization of Classical Density Functional Theory (CDFT) problems","<stability><convergence><density-functional-theory><discretization>"
"Why is my parallel solver slower than my sequential solver?","<linear-algebra><petsc>"
"Why is division so much more complex than other arithmetic operations?","<computer-arithmetic>"
"What programming strategies can I take for easily modifying algorithm parameters?","<algorithms><testing><programming-paradigms>"
"Parallel I/O options, in particular parallel HDF5","<io><parallel-computing><mpi>"
"What makes Fortran fast?","<performance><fortran><languages>"
"Is it worthwhile to write unit tests for scientific research codes?","<programming-paradigms><testing>"
"Profiling numeric libraries","<libraries>"
"How can I compute the Schur complement in PETSc?","<pde><linear-algebra><petsc>"
"Enumerating hexahedral cell vertices and faces in arbitrary dimension","<high-dimensional><mesh-traversal><combinatorics>"
"Performance differences between ATLAS and MKL?","<linear-algebra><libraries><performance><intel-mkl>"
"Linear regression via SVD not producing best fit with escalating polynomial degree","<linear-algebra><regression>"
"Quickly finding rough lines in sets of points","<regression><computer-vision><pattern-recognition>"
"Artificial RNA 3D folding","<computational-biology>"
"Optimal way to find stationary solutions of the PDE","<algorithms><diffusion><pde>"
"Best practices for describing agent-based models","<ode><computational-biology>"
"Is there a numerical algorithm for finding an asymptotic slope?","<algorithms>"
"Where can I find a database of simple chemical structures in XYZ format?","<computational-chemistry><data-sets>"
"Global optimal sequence alignment algorithms","<algorithms><computational-biology>"
"Intel Fortran Compiler: tips on optimization at compilation","<performance><hpc><compiling><fortran>"
"COMSOL on Ubuntu (10.04 LTS and 11.04)","<comsol><parallel-computing>"
"Approximate a distribution function from a finite sample","<statistics>"
"Sampling from posterior predictive distribution","<statistics><random-sampling>"
"Maximum and Minimum distance from query point within bounding box","<computational-geometry><nearest-neighbors>"
"What algorithm do BLAS and ATLAS use for matrix multiplication?","<linear-algebra><matrix><linear-solver><numpy><blas>"
"Scipy Spline Interpolation Parameter","<scipy>"
"Differences between Discrete Fourier Transform and Continuous Fourier Transform?","<discretization><fourier-transform>"
"Numerical solution to parametrized second order ODE with nonuniform coefficients","<ode>"
"What is good practice for protecting parent scope variables in Fortran?","<fortran>"
"implementation for coppersmith matrix multiplication","<linear-algebra><matrix><linear-solver><mathematica><matrix-equations>"
"Shooting Method- Boundary value problem starting from -1 to 1","<matlab>"
"Runge-Kutta fourth order method. Integrating backwards","<python><computational-physics><numerics><scipy><runge-kutta>"
"Do most statistical packages and libraries in high-level programming languages rely on LAPACK for their matrix inversion operations?","<linear-algebra><python><lapack><matrix-factorization>"
"Smoothing FFT result","<numpy><fourier-transform><fft>"
"Getting started with Computational Chemistry","<python><computational-chemistry>"
"Whether should we consider the condition number of the preconditioned matrix when choosing a preconditioner?","<condition-number>"
"Deep learning using Distributed linear algebra","<parallel-computing><machine-learning>"
"Forming Basis Functions from 6-31G Basis Set for Carbon Atom","<basis-set>"
"What is the flaw in my stability analysis?","<ode><stability>"
"Setting up diffusion with integral B.C. in Fenics","<finite-element><fenics><diffusion>"
"Efficient computation of leading eigenvector of a matrix product of the form $ADA^T$, where $D$ is diagonal","<linear-algebra><matrix><algorithms><eigenvalues>"
"Get interpolated values in user defined 2D grid Paraview","<paraview>"
"Mass conservation in atmospheric continuity equation numerical solution","<finite-difference><boundary-conditions><computational-physics><fortran>"
"Best books and notes for beginners in the parallel FORTRAN 90 programming","<parallel-computing><fortran><quantum-mechanics>"
"Role of non-hermitian coefficient matrices in the discretization of self-adjoint operators","<linear-algebra><pde><time-integration>"
"ODE15s: unable to meet integration tolerances","<matlab>"
"Break a set of numbers to minimum groups with each having a common divider","<optimization>"
"3D Solid 8 Node FEM Matlab Code","<finite-element><matlab>"
"Preconditioning technique for large sparse non-hermitian matrix","<sparse-matrix><iterative-method><preconditioning><gmres><linear-algebra>"
"Composite simpson's rule with odd intervals","<integration>"
"MATLAB: Matrix whose elements depend on its indicies","<matlab><matrix><linear-system>"
"Convergence of Jacobi's method for a semilinear elliptic PDE","<finite-difference><nonlinear-equations><iterative-method>"
"ODE45: doubts about the result. Correct or not?","<matlab><ode>"
"reformulating inverse problem as multi-objective optimization","<optimization><pde><inverse-problem>"
"Convert scipy integration with one step to matlab integration","<matlab><ode><scipy>"
"Why FEM electric analysis gives only access to current density?","<computational-physics><comsol><electromagnetism>"
"QR via Householder: less computationally complex variants?","<linear-algebra><algorithms><linear-solver>"
"FEM Stiffness Matrix is always close to Singular or Badly Scaled","<finite-element><matlab>"
"Flow past square cylinder benchmark in 2D. Famous papers to compare","<fluid-dynamics><reference-request><benchmarking><lattice-boltzmann-methods>"
"Efficiently removing projection to subspace without having an orthogonal basis","<linear-algebra><projection>"
"Non-cubic blocks in Adaptive Mesh Refinement","<finite-difference><adaptive-mesh-refinement>"
"Meaning of a symbol in a research paper","<numerical-analysis>"
"Problems with deriving an equation for a finite-difference scheme given in the journal paper","<numerical-analysis><finite-difference><finite-volume><discretization>"
"Genetic Algorithm: Need some clarification on selection and what to do when crossover doesn't happen","<optimization><genetic-algorithms>"
"Simulation of a complicated projectile motion","<comsol><solid-mechanics><modeling>"
"CPU and GPU influence on task parallel execution performance","<optimization><algorithms><performance><cuda><opencl>"
"How to define the derivative for Scipy.Optimize.Minimize","<optimization><python><convex-optimization><scipy><quadratic-programming>"
"Left eigenvectors using ARPACK","<linear-algebra><sparse-matrix><eigensystem><scipy><arpack>"
"C++: Efficient library for dense linear algebra operations (determinant & principal minors)","<c++><lapack><eigen><armadillo>"
"Numerical Lax-Wendroff scheme order of convergence on Burgers equation","<finite-difference><finite-volume><convergence><numerics><conservation>"
"Magnetostatic modelling Radia: Increasing distance between magnets a produces positive force until a certain point, beyond which force goes haywire","<simulation><software><electromagnetism><software-recommendation>"
"Linear constraints for L-BFGS-B","<optimization><constrained-optimization><conjugate-gradient><constraints><quasi-newton>"
"What is the most appropriate derivative free optimization algorithm","<optimization><convex-optimization>"
"fitting exponential versus exponential w/ power","<regression><least-squares>"
"Making difference of log constraints convex","<convex-optimization><constrained-optimization><constraints>"
"Strategies for Newton's Method when the Jacobian at the solution is singular","<optimization><convergence><newton-method>"
"Sparse Matrix Library for GPU","<sparse-matrix><gpu>"
"How does an automaton actually ""compute""?","<complexity>"
"Creating spheres In Matlab that change surface color depending data","<matlab>"
"Row major versus Column major layout of matrices","<matrix><fortran>"
"Understanding Inner blocking size in lapack/plasma","<lapack><blas>"
"Is there a nonlinear solver similar to CGNR evaluating only $A^TAx$?","<nonlinear-programming><conjugate-gradient>"
"ROOT (CERN C++ Libraries) alternatives","<c++>"
"PDE solvers for Drift-diffusion and related models","<pde>"
"Max of a convex combination over a convex hull of real variables","<optimization><convex-optimization>"
"Find maximum distance between elements given constraints on some","<optimization><linear-programming>"
"Clustering data based on the radius of a sphere","<matlab><statistics><data-analysis>"
"interpolation combined with methods of characteristics can cause oscillations for the transport equation?","<pde><hyperbolic-pde><stability><interpolation>"
"Literature references for modeling current and future energy costs of floating-point operations and data transfers","<performance><architecture><exascale>"
"What is the runtime complexity of MATLAB operation A*B where A and B are general sparse matrices?","<matlab><sparse-matrix>"
"Logistic regression with Python","<python><machine-learning><numpy>"
"Grid mapping from an unstructured triangular mesh to a regular rectangular mesh","<fortran><interpolation><unstructured-mesh>"
"What are the efficient, accurate algorithms for evaluation of hypergeometric functions?","<special-functions>"
"Where do I find data to start a graph data structure to practice on?","<libraries><graph-theory><data-structures>"
"Information from residuals in polynomial regression","<statistics>"
"A problem in 1D linear finite element method","<finite-element><numerics>"
"Significant wave height Algorithm","<algorithms>"
"How to solve a Rayleigh-quotient-like minimization with inequality constraints","<optimization><nonlinear-programming><constrained-optimization>"
"Equal Area Sampling on Curved Surface:","<algorithms><reference-request><computational-geometry><visualization>"
"what is difference “DSYEV(LAPACK SUBROUTINE)” and “Lanczos”?","<fortran><lapack><banded-matrix>"
"Continuation procedure to solve for a 2D curve that satisfies f(x,y) = 0","<interpolation><numerical-analysis><roots><complex-analysis>"
"Unknown domain in optimization problem","<optimization>"
"How to solve this system with conjugate gradient algorithm in matlab","<conjugate-gradient>"
"libgcc_s_sjlj-1.dll is missing","<software>"
"Symmetric Matrix Computation (Eigen & C++)","<linear-algebra><c++><eigen><symmetry>"
"boundary conditions for electrostatic problem","<finite-element><boundary-conditions>"
"Automatically generating finite difference matrices for systems of PDEs","<pde><matlab><finite-difference>"
"Are there finite element software who handles more than five dimensions?","<pde><finite-element>"
"Python scripting in Paraview","<python><visualization><paraview>"
"Intuitive motivation for BFGS update","<optimization><iterative-method><nonlinear-programming>"
"Spectra of the energy flux VS transfer spectra?","<fluid-dynamics><simulation><data-analysis>"
"linear independence constraint qualification: what to do when they don't hold?","<optimization><nonlinear-programming><nonconvex>"
"What algorithms are known for computing exact eigenvalues for rational matrices?","<linear-algebra><algorithms><eigenvalues>"
"Good approximate solutions for a MILP problem","<optimization><algorithms><reference-request><approximation><mixed-integer-programming>"
"Why are interior point methods difficult to warm start?","<optimization><constrained-optimization>"
"Is there a Gauss-Laguerre integration routine in Python?","<python><interpolation><quadrature>"
"FEniCs: help in implementing the boundary condition for 1D problem","<fenics>"
"What is numerical damping in the context of time-dependent FEM solvers?","<finite-element><numerical-analysis><discretization><comsol><solver>"
"Fortran 2003 ARPACK wrapper","<eigensystem><fortran>"
"Energy Conservation in Conservation Laws with Source Terms","<fluid-dynamics><finite-volume><hyperbolic-pde><wave-propagation><conservation>"
"How to implement Gauss-Laguerre Quadrature in Python?","<python><quadrature>"
"Using scipy.quad to calculate difficult integral","<python><quadrature>"
"Maths calculations for randomly generated numbers don't match computed averages","<random-number-generation>"
"(Fortran) Integrating/summing over complicated 3D domain","<fortran><quadrature><mesh-generation><computational-physics><symmetry>"
"Behavior of integration method","<time-integration>"
"Open source linux Maple Worksheet Interpreter/Converter?","<maple>"
"Solving ""Hadamard systems""","<linear-algebra><linear-solver><linear-system>"
"Is R or Matlab currently faster?","<matlab><performance><r><benchmarking>"
"Mesh generator that can do 2D & 3D elements combined?","<finite-element><mesh-generation>"
"Large overdetermined system of linear equations","<linear-algebra><linear-solver><matrix><dense-matrix>"
"Deriving entropy function and entropy flux for a system of equations","<fluid-dynamics>"
"How to solve this optimization problem with abs object function?","<optimization><nonlinear-programming>"
"Least-squares for a diagonal matrix","<linear-algebra><linear-solver><matrix><linear-system>"
"Numerical methods for boundary-value ODEs with a jump condition","<ode><nonlinear-equations>"
"How to calculate log or exp of a value in GF(2^n) using log/exp table of GF((2^k)^m) where n=k*m?","<linear-algebra>"
"matrix storage, many rows or many columns?","<matlab><r>"
