title,tags
"Is Sandman ever mentioned in the Lucifer TV series?","<tv><vertigo-comics><the-sandman><lucifer-2016>"
"David Gemmell's Drenai Series reading order","<suggested-order><david-gemmell><drenai-series>"
"Identification: An old alien movie with a black & white footage of two captured alien beings","<story-identification><movie>"
"What's with Luke Cage and coffee?","<marvel><marvel-cinematic-universe><luke-cage-2016>"
"70s book written by a male witch about polar energy and witch hunts","<story-identification><witches>"
"Why didn't Harry prove Voldemort's being back with the Veritaserum - Truth Potion?","<harry-potter>"
"Why didn't Tony actually try Thor's fingerprint?","<marvel><marvel-cinematic-universe><avengers-age-of-ultron><mjolnir>"
"Was Craster conceived or born around the time Bloodraven was at the wall?","<game-of-thrones><a-song-of-ice-and-fire>"
"How does Star-Lord's Helmet work?","<marvel><marvel-cinematic-universe><guardians-of-the-galaxy>"
"Is there a storyline revolving around Padme's pregnancy?","<star-wars><star-wars-legends><padme>"
"Why did Sammael claim he had a truce with Rand?","<the-wheel-of-time>"
"What is the purpose of this space in MACUSA?","<harry-potter><fantastic-beasts><fantastic-beasts-where-to-find-them>"
"Is Gimli really 60+ years old in Lord of the Rings?","<tolkiens-legendarium><the-lord-of-the-rings><the-hobbit><age>"
"Why aren't there any commodores in Star Trek: The Next Generation and after?","<star-trek><star-trek-tng>"
"Cartoon about the origin of the platypus","<story-identification><cartoon>"
"Why does Geordi keep calling the Romulan officer ""Commodore""?","<star-trek><star-trek-tng>"
"Novel re returning Jupiter astronauts find only two people alive","<story-identification><books>"
"Was Picquery a president or THE president of United States?","<harry-potter><fantastic-beasts>"
"Why do the children groan when they discover Dory is alive?","<disney><pixar>"
"What masked character is on this t-shirt?","<character-identification>"
"Drinking tea with rancid yak butter in a story?","<story-identification>"
"Do only good wizards appear on Chocolate Frog Cards, or can evil wizards like Voldemort also appear on them?","<harry-potter>"
"Nuclear war but bombs drop vertically","<story-identification><short-stories>"
"Why is the fusion power on the Voyager not enough to keep the replicators in operation?","<star-trek><star-trek-voyager>"
"Why can't the Borg adapt fast enough to fight Species 8472 given that a human invented hologram could?","<star-trek><star-trek-voyager><borg>"
"Short story from decades ago: The premise​ is a precursor to the movie ""Avatar""","<story-identification><short-stories>"
"Why don't they use beasts in Defense Against the Dark Arts subject?","<harry-potter><magical-creatures><fantastic-beasts>"
"For how long can a will construct of a Green Lantern survive?","<dc><comics><green-lantern><green-lantern-2011>"
"Can a will construct of a Green Lantern be living and sentient creatures?","<dc><comics><green-lantern><green-lantern-2011>"
"How fast can a Green Lantern fly?","<dc><comics><green-lantern><green-lantern-2011>"
"Are Ferengis really working hard for the money or for the reputation that money brings?","<star-trek><star-trek-voyager><ferengi>"
"Has GRRM ever confirmed that he named some ASOIAF characters after the Muppets?","<a-song-of-ice-and-fire><inspiration>"
"What did Neo fight for?","<the-matrix><agent-smith>"
"So what are technomages?","<babylon-5>"
"How does economy in City of Ember work?","<economics><society><city-of-ember>"
"Story whose final line is ""Let there be light!""","<story-identification>"
"How many languages are there in Game of Thrones / Song of Ice and Fire?","<game-of-thrones><a-song-of-ice-and-fire><languages>"
"In the ending of Doctor Strange (2016), why didn't this break the time loop?","<marvel><marvel-cinematic-universe><doctor-strange-2016>"
"What is the color of Gollum's skin?","<tolkiens-legendarium><the-hobbit><gollum>"
"Could the Septims have helped during the dragon crisis?","<the-elder-scrolls>"
"What is the meaning of the Latin inscription on Anarch Peak's tomb?","<novel><philip-k-dick>"
"Who were Jedi Temple Guards?","<star-wars><the-clone-wars>"
"Does Joffrey know who his father really is?","<a-song-of-ice-and-fire>"
"Why is Pandora's atmosphere so toxic to humans, yet still so conducive to life?","<avatar>"
"Has anyone attempted making a ring that combined Will and Fear?","<dc><green-lantern>"
"Was Palpatine involved in setting up Ahsoka?","<star-wars><the-clone-wars><darth-sidious>"
"Kid gets sucked into a video game or TV show","<story-identification><books>"
"How canonical is information appearing on main starwars.com pages?","<star-wars><canon>"
"Is archery underestimated in the wars of a Song of Ice and Fire","<a-song-of-ice-and-fire><game-of-thrones>"
"Could Vader really have crushed the Rebels on Hoth?","<star-wars><the-empire-strikes-back><battle-of-hoth>"
"Why have they cut scenes showing T-1000 malfunctions?","<the-terminator><the-terminator-series>"
"Why couldn't Vader tell Leia was his daughter through the Force?","<star-wars><a-new-hope>"
"Why was there such severe churn in the cast of Earth: Final Conflict?","<behind-the-scenes><earth-final-conflict>"
"Why are portkeys always made of rubbish?","<harry-potter><magical-items>"
"Was it some kind of charm spell that affected Elayne and Nynaeve while meeting Moghedien?","<the-wheel-of-time>"
"When was Cyberdyne Systems created in the original timeline and by whom?","<the-terminator><the-terminator-series>"
"What is the origin of the name ""Obi-Wan Kenobi""?","<star-wars>"
"90's talking computer children's tv science fiction series","<tv><story-identification>"
"What year was the Time Lock established?","<doctor-who><timeline><time-lord><dalek>"
"Why do diesel cars not work in Revolution?","<physics><post-apocalyptic><revolution>"
"Was Yoda wrong about the limits of telekinesis?","<star-wars><the-force>"
"Why did Lucifer interfere with Mammon crossing over?","<dc><constantine-2005><constantine>"
"When did K'Kruhk join the New Jedi Order?","<star-wars>"
"Exotic Spice & Tea Shop Location","<grimm><real-location>"
"Origin of quote in Abercrombie's The Blade Itself","<quotes><joe-abercrombie>"
"Height of the Orcs of Gundabad","<movie><the-lord-of-the-rings><tolkiens-legendarium><the-hobbit><adaptation-comparison>"
"Short story: post nuclear holocaust, the human race has mutated into an ape-like being and old style humans are viewed as an abomination","<story-identification><short-stories><post-apocalyptic><mutant>"
"Show that had a group of D&D style adventurers?","<tv><story-identification>"
"What is ""Kwatz!""?","<etymology><hyperion-cantos><dan-simmons>"
"What science fiction novels have well developed alien languages?","<novel><languages>"
"What other celestial bodies are in Barrayar's solar system?","<vorkosigan-saga>"
"Other than Alpha and Delta, were there any other types of androids in Total Recall 2070?","<total-recall-2070>"
"Why didn't Nero visit his homeworld to warn of its destruction?","<star-trek><star-trek-2009>"
"What was the catastrophe that happened in ""The Road""?","<the-road>"
"What are the different works for Film and Television based on the works of Philip K. Dick?","<movie><tv><philip-k-dick>"
"How many different Enterprises were there?","<star-trek><uss-enterprise>"
"What's with the missing thumbs in ""The Road""?","<the-road>"
"What was ""Bob"" in Twin Peaks?","<twin-peaks>"
"Is the Star Trek (2009) movie considered canon?","<star-trek><canon><star-trek-2009><gene-roddenberry><star-trek-reboot>"
"Why were some scenes changed in Pioneer One?","<pioneer-one>"
"What is the chronological order of the novels in Asimov's Foundation series?","<novel><isaac-asimov><foundation><chronological-order>"
"Where can I find Creative Commons science fiction suitable for use in fanfic?","<fan-fiction>"
"What is ""the prop"" used in many Sci-Fi movies?","<movie><science-fiction-genre><props>"
"Where can I find a full copy of Philip K Dick's Exegesis?","<philip-k-dick>"
"How can Star Trek: Countdown ever be considered canon?","<star-trek><canon><star-trek-data>"
"How to keep suspension of disbelief with older works?","<literary-analysis>"
"Which was the first novel set in universes where P=NP?","<history-of><hard-sci-fi><mathematics>"
"Are there any plans for a new Babylon 5 series or movies?","<babylon-5>"
"Is there a reasonably complete online database of science-fiction works?","<online-resources>"
"When did Obi-Wan Kenobi learn that Anakin was ""dead""?","<star-wars><darth-vader><obi-wan-kenobi>"
"Is there a novel using a Dyson Sphere as setting?","<setting><dyson-sphere>"
"What is the precise definition of 'Steampunk'?","<steampunk>"
"Who is the inventor of cyberpunk?","<history-of><cyberpunk>"
"Is Metro 2033 even released in English anywhere in the English speaking world?","<books><metro-2033>"
"Did Arthur C. Clarke really invent the idea of the satellite?","<arthur-c-clarke><prediction>"
"How many different Soong robots were there?","<star-trek><star-trek-data><robots><star-trek-tng>"
"What's the recommended reading order of the Ender Wiggin books?","<books><suggested-order><enders-game>"
"What was Isaac Asimov's view of history?","<isaac-asimov>"
"What else should I be reading to make better sense of Cyclonopedia?","<suggested-order>"
"In the Dune series, why are they not using computers and programming related technologies?","<dune><computers>"
"What was Shepherd Book's past in Firefly?","<firefly><character-development>"
"Why is the destination of the Discovery in 2001: A Space Odyssey Saturn in the book and Jupiter in the movie?","<adaptation-comparison><arthur-c-clarke><2001-a-space-odyssey>"
"What is the longest science fiction saga in books?","<books><science-fiction-genre>"
"Versions of The Demolished Man","<history-of><the-demolished-man>"
"Which actors have played The Doctor over the years?","<doctor-who><actors>"
"What story contained this peculiar artificial world?","<story-identification>"
"Which technology was introduced through ""Star Trek"" (2009)?","<star-trek><technology><star-trek-2009><star-trek-reboot><prediction>"
"Novel about genetically engineered children who don't need to sleep","<novel><story-identification>"
"What influence did H.P. Lovecraft have on science fiction?","<horror><h-p-lovecraft><authors><cthulhu-mythos><history-of>"
"How is the FTL drive supposed to work in Star Trek?","<star-trek><ftl-drive>"
"Has the author ever indicated if there was to be a sequel to Freedom™?","<sequel><freedom-tm>"
"How is the universal translator device in Star Trek supposed to work?","<star-trek><movie><languages>"
"Why did Douglas Adams pick 42 as the ultimate answer?","<douglas-adams><the-hitchhikers-guide-to-the-galaxy>"
"How likely that Frank Poole could be revived after 1000 years in space","<movie><arthur-c-clarke><2001-a-space-odyssey><3001-the-final-odyssey>"
"Are any Sci-Fi video games considered canon?","<canon><video-games>"
"What is the largest (engineered) physical object dreamed of in science fiction?","<technology><engineering>"
"What is the order/timeline for Iain M. Banks ""Culture"" novels?","<suggested-order><the-culture><iain-m-banks><chronological-order>"
"Has anyone tried to map out all the different Star Trek timelines?","<star-trek><time-travel>"
"What do the moravecs look like in ""Ilium"" by Dan Simmons?","<books><dan-simmons>"
"In Paolo Bacigalupi's The Windup Girl, what real world device does a kink spring correspond to?","<technology><the-windup-girl>"
