title,tags
"Can I rely on the CSRF cookie to check if a user is authenticated on the client-side?","<authentication><csrf><client-side><jwt>"
"Update letsencrypt certificates without changing the private key","<tls><certificate-authority><key><letsencrypt>"
"Is exploit different from the kernel level or root?","<exploit><metasploit><kernel>"
"Is a SSL client required to try multiple certificate chains?","<tls><certificates>"
"Weird character sequence in email subject","<email><vulnerability><known-vulnerabilities><encoding><smtp>"
"How to secure embedded code containing REST api call","<web-application><web-service><api><web><node.js>"
"DMZ an additional router","<network><router><dmz>"
"Can a deleted PGP secret key be recovered from private-keys-v1.d directory?","<gnupg><pgp>"
"Implementing an anonymous, password-less login model","<authentication><passwords>"
"How to rate CVSS when PR is low but UI of admin user is required","<cvss>"
"Certificate Pinning for WebSockets","<tls><certificates><owasp><websocket><certificate-pinning>"
"How do AV scanners in VirusTotal check if a file is malicious or not and how trustworthy is its report?","<malware><virus><antivirus><antimalware>"
"Is it secure to prevent CSRF in API without using CSRF cookie (only CSRF token sent in header of ajax requests)?","<cookies><csrf><asp.net><header>"
"Does encapsulation of encryption within a library provide some kind of additional security?","<vulnerability><key-management><firmware>"
"Exposure of /etc/ssh, risks?","<linux><ssh><openssh><centos>"
"Is it safe to use 2 password derivation functions to one password?","<passwords><aes><pbkdf2><argon2>"
"Password policies and keyspace question","<passwords>"
"Is `curl {something} | sudo bash -` a reasonably safe installation method?","<curl><sudo><install>"
"Did google chrome kill public key pinning?","<certificates><chrome><firefox>"
"How to identify the right hash from a list of salts and pre-given password during authentication?","<authentication><cryptography><hash><salt>"
"BIOS Password vs. BitLocker Pre-boot PIN","<encryption><passwords><password-cracking><bitlocker><dma-attack>"
"Is there any existing attempted implementation of GSS-API/SPNEGO/GSS-SPNEGO for anything other than Kerberos / NTLM?","<kerberos><ntlm><gssapi><spnego>"
"Comprehensive list of mechanisms that automatically send authentication information in browsers","<authentication><web-authentication>"
"Can a site with HTTPS be impersonated if it's visited for the first time?","<tls>"
"TLS connection - Detecting data breach / manipulation","<tls><man-in-the-middle><tls-intercept>"
"How to send authentication token via SMS for a REST API","<authentication><mobile><server><jwt><sms>"
"What alternatives do we have for Google's reCaptcha?","<privacy><captcha>"
"Which database is used by npm-audit","<vulnerability><node.js><vulnerability-management><npm>"
"MPGS (Mastercard) Integration Security","<javascript><payment-gateway>"
"Is it safe to upload videos in cloud tools like video editors?","<secret-sharing><exposure>"
"nethogs finds many connections without process ID","<wifi><internet>"
"Lost RAR password, is there any way to access my data?","<encryption><passwords><password-cracking><zip><compression>"
"How is Facebook determining my location when I don't have the app installed?","<facebook><geolocation>"
"How can a website know my private IP address?","<ip><router>"
"How do you use a public key to encrypt a string","<encryption><cryptography><public-key-infrastructure>"
"Tool to prepare report of security auditing","<audit><google-dorks>"
"How to make 7-zip files more secure?","<encryption><7zip>"
"Storing two copies of data, encrypted in different ways","<encryption>"
"How can I test my SSO connection without having access to the Identity Provider?","<authentication><sso><saml>"
"What protects HDCP keys in software?","<drm>"
"Will the Credential Management API now available in Chrome 51 be widely adopted?","<authentication><passwords><password-management><chrome>"
"What are the security implications of enabling CORS for images?","<web-application><crossdomain>"
"Challenge-Response Application in E-banking","<passwords><web-application><protocols><banks><challenge-response>"
"Nmap says host down when host is up","<network><nmap>"
"Packet Filter with Access Control List","<network><firewalls><access-control><packet><network-access-control>"
"Strange CA certificate prompt","<certificates><certificate-authority>"
"Is the native sandbox of Chrome and Firefox enough or would SELinux improve its security?","<web-browser><selinux>"
"May HSTS block access to your site when you renew your SSL certificate?","<tls><hsts>"
"How can I authenticate securely to an internal website from an iPad without an strong password?","<authentication>"
"Is there a form to know the PostgreSQL version using nmap?","<databases><nmap><network-scanners>"
"Attaching orphaned/stageless session meterpreter","<penetration-test><metasploit><meterpreter>"
"Does removing user interaction create a secure sandbox that nullifies XSS?","<xss>"
"JavaScript variable evasion when quote is escaped, but not newline","<xss><javascript>"
"Would the following practice make email PCI compliant?","<email><pci-dss><compliance>"
"Bypass CAPTCHA form made with 100% JavaScript?","<web-application><javascript><ajax><captcha>"
"Virus Warning after clicking on a Google search results link","<web-browser><virus>"
"Can I be identified across different access points to same ISP?","<anonymity><mac-address><surveillance>"
"shared hosted web server used as forward proxy","<webserver><proxy><shared-hosting>"
"CoAP over DTLS duplication of epoch and seq no","<tls>"
"Stateful Packet Filter structure","<network><access-control><internet><packet><network-access-control>"
"What is the exact problem if a website has an SHA-1 certificate?","<certificates>"
"Application proxy structure & functions","<network><access-control><internet><packet><network-access-control>"
"Is there a civilian friendly indicator of stored password safety?","<passwords><password-cracking>"
"Packet Filter vs Application proxy","<network><access-control><network-scanners><internet><packet>"
"Sensitive files in the Cloud: Automated mounted TrueCrypt volume","<encryption><file-encryption><truecrypt><cloud-storage>"
"Encrypt password with salt","<encryption><passwords><password-cracking><salt><decryption>"
"Is there something other than ""if"" and ""else""","<passwords><password-management><password-cracking>"
"Is it ok to append the nonce/iv to the ciphertext when using AES GCM?","<aes><nonce>"
"Azure AD B2C vs Auth0","<authentication><sso><azure><saas>"
"Will hashing a password, and then splitting it into multiple db fields increase security?","<passwords><hash><password-management><databases><password-cracking>"
"Sulley - Logic behind primitives","<fuzzing>"
"Administrative recovery control mentions antivirus - error?","<cissp><administration>"
"What information about a user can wireless carriers access?","<privacy><mobile><anonymity><wireless><simcard>"
"How difficult is it for ISPs to understand a user is using VPN?","<vpn><government>"
"Is broadcasting your Windows computer name a vulnerability?","<threat-mitigation><threats>"
"SSL protocol analysis","<tls><authentication><certificates><protocols><key-exchange>"
"If I can disable antivirus tamper protection, couldn't a malicious worm do it as well?","<antivirus>"
"Is possible to get password with stored XSS?","<passwords><xss><javascript>"
"How to crack `salt + SHA256(salt + password)` hashes with JTR?","<password-cracking>"
"How to securely derive a second password specific to an user","<encryption><passwords><bitcoin>"
"Machine readable, user non-readable - XML file","<encryption>"
"What's the signature structure in TLS server key exchange message?","<tls><rsa>"
"Blinding to mask private key operations","<cryptography><blinding>"
"Anti-live forensic programs","<windows><linux><forensics>"
"AppSec interview questions?","<appsec><career>"
"Is it possible to assign different UIDs to subkeys for the purpose of having multiple identities?","<encryption><pgp><gnupg>"
"OpenVPN -cipher vs -tls-cipher?","<openvpn>"
"LogJam hardening OpenSSH and testing it","<attacks><hardening><openssh>"
"Is it necessary to add CSRF tokens for REST API?","<csrf><rest><api>"
"How to access files or getting rights access with NJrat","<access-control><permissions><remote-desktop>"
"Query on IPS reports","<ids>"
"vpn and strong authentication, how does the two work as a pair?","<authentication><vpn>"
"DDOS Server Attacks & Domain Names","<ddos><server>"
"Secure text document's fingerprint","<hash><data-leakage><confidentiality><monitoring><algorithm>"
"ASP.NET session id strength","<authentication><session-management><asp.net><session-fixation>"
"Why FATCA IDES ""protocol"" does not use RSA encryption directly on Zip archive?","<aes><rsa><zip>"
"Can Hydra and Crunch be used in combination for HTTP-get-form?","<wifi><brute-force><password-cracking><hydra>"
"Is FileVault 2 HIPAA compliant?","<disk-encryption><macos><hipaa>"
"Email confirmation techniques in major sites","<web-application><email><identity>"
"Why AJAX is not used to log in?","<authentication><php><defense><ajax>"
"Is it easier to eavesdrop on Ethernet connection rather than WiFi?","<email><man-in-the-middle><email-spoofing>"
"Can malware provide hidden remote access to a user's desktop?","<malware><remote-desktop>"
"Confidentiality with digital signatures","<digital-signature>"
"Cloud-based IM protocols / services saving messages encrypted on server which is decryptable only by user?","<encryption><asymmetric><instant-messaging>"
"Why not fix Android root exploit?","<exploit><android>"
"Can Windows 8 be PCI compliant?","<pci-dss><audit><windows-8><pci-scope>"
"How to prepare FATCA data transmission files with open source tools","<aes><rsa>"
"Unsubscribe safely","<email><spam>"
"How CERT.rsa is interrelated with PackageInfo signatures","<certificates><public-key-infrastructure><android><java>"
"How secure is Snowden's MargaretThatcheris110%SEXY password?","<passwords><entropy>"
"Hiding (Obfuscating) Java script","<javascript><obfuscation>"
"Padding of 802.11 packet with 0's in libpcap","<network><wifi><sniffer><wireshark><packet>"
"Issue regarding installation of SHA256 scertificate","<tls><sha><sha256><sha2>"
"Can p2p use be traced by targeting a known individual rather than an offending IP Address?","<privacy><vpn><p2p>"
"""Premium SSL"" vs ""Stanard SSL"" certificates - Any reason why I would want a ""Premium SSL""?","<encryption><tls><certificates><web-hosting>"
"Using an off-by-one buffer overflow can I manipulate EIP to execute code located outside the target program?","<buffer-overflow>"
"Should content delivery depend on FCrDNS (forward-confirmed reverse DNS) look-ups and why?","<web-application><dns><risk-management><risk-analysis><dns-spoofing>"
"Erasing Truecrypt keyfile(s) after volume has been mounted","<truecrypt>"
"set uid for reboot binary & pm-suspend : security hole?","<linux>"
"Why Nessus freezes at 0% and how to fix it?","<vulnerability-scanners>"
"How to tell if you're being ARP poisoned?","<network>"
"Can an attacker reuse stolen SSL private key to recreate that domain on his server","<encryption><cryptography><tls>"
"What is certificate pinning?","<tls><certificates><public-key-infrastructure><certificate-pinning>"
"Is using the same password for multiple TrueCrypted volumes safe?","<passwords><truecrypt>"
"AES CBC padding when the message length is a multiple of the block size","<encryption><aes>"
"Where is the limit between an attacker and a victim (zombie) in a DDoS attack","<ddos>"
"HTTPS Certificate mismatch alert before redirection","<tls><webserver>"
"Sending secure information from app with ssl","<tls><android><ios><credit-card>"
"Is it possible to list folder from my web server if i have an empty index.html in the root folder?","<webserver><http>"
"Does adding dictionary words to passwords weaken them?","<passwords><truecrypt>"
"Requirement 12.1.2 of PCI DSS: Is it enough to point to a standard process?","<pci-dss><risk-management>"
"Route traffic from iPhone to desktop and back","<http><proxy><iphone><burp-suite>"
"Easy protocol for email authentication","<cryptography><authentication><hash><sha>"
"Are there any extra security risks with leaving wireless enabled while ethernet is connected?","<wireless>"
"How to secure or (Ensuring Integrity) of Web Data in transit and in store?","<encryption><tls><appsec><webserver><sslstrip>"
"How should one prepare himself for a job interview for penetration testing?","<attacks><penetration-test><known-vulnerabilities><career>"
"can I find on which machine was a zipped archive created?","<windows>"
"When changing a password using a WebPage, must the old password be entered on the same screen?","<web-application><passwords><password-management>"
"Wine or sandboxie as sandboxes","<windows><linux><sandbox>"
"Use of rainbow tables with the NY Times hack?","<cryptography><passwords><hash><password-policy>"
"Can Veracode detect vulnerabilities in jsp files?","<java><client-side>"
"Are you aware of any CEO that went to jail because of Security Flaws?","<security-theater>"
"Kerberos for sending secrets","<authentication><kerberos>"
"How to discover if there is someone else connected to my wireless router?","<wireless>"
"Which extensions to use for a S/MIME certificate?","<tls><certificates><x.509><openssl><smime>"
"Can change management for PCI compliance be accomplished via simple emails?","<pci-dss>"
"What's the risk in downloading a .pdf from a phishing email?","<android><mobile><virus><pdf><email-attachments>"
"Can someone check internet usage using MAC Address","<mac-address><sniffing>"
"How to prevent self-XSS?","<xss><javascript><rest><api><self-xss>"
"Is it wise to remove redundant self-signatures from my PGP key?","<public-key-infrastructure><digital-signature><pgp><gnupg><self-signed>"
"BitLocker vs BestCrypt","<bitlocker>"
"Healthcare company uses keyloggers for security purposes. Is this normal?","<keyloggers><healthcare>"
"How can a user defeat anti-live forensics software?","<disk-encryption><forensics><usb>"
"Passing a secret in url: as a part of the url or query string?","<tls><http><url><secret-sharing>"
"Help with breaking SSL pinning of this app","<tls><android><reverse-engineering>"
"Can a CA be defeated by MitM in order to deliver a signed certificate to the attacker instead of the legitimate owner?","<certificate-authority>"
"Secure keys in hardware","<encryption><cryptography><android><hardware>"
"how to capture and decrypt packets sent over TLS","<tls><man-in-the-middle><fiddler>"
"How can Telegram find my phone number on iOS 11 after uninstall?","<privacy><ios><fingerprinting><fingerprint><apple>"
"Why do most live chats start in new windows?","<web-application>"
"Can lack of certificate pinning be considered a vulnerability?","<public-key-infrastructure><mobile><certificate-pinning>"
"Can Emule MD4 hashes and file sizes be faked?","<hash><file-upload>"
"OAuth2 Implicit Flow and silent autologin by Windows Identity. Possible new attack vectors?","<oauth2><openid-connect>"
"OAuth2 Implicit Flow. Additional protection for access_token from interception","<oauth2><openid-connect>"
"Web Service Authentication Using PBKDF2 and a Public Salt - Does the salt need to change on every request?","<hash><web-service><salt><pbkdf2>"
"How can I build a program with shadow stacks?","<cfi><shadowstack>"
"Rearranging hash adds no security?","<passwords><hash><md5><algorithm>"
"Can a security job be cracked without OSCP?","<appsec><certification><oscp>"
"Different Nmap results on MacOS and Ubuntu 16.04","<nmap>"
"How severe are the interestingly disclosed AMD flaws?","<hardware>"
"Shouldn't netstat show connections from many different IP addresses during a DDoS, unlike this example?","<ddos><netstat>"
"How are Bitlocker FDE keys stored in the TPM?","<bitlocker><tpm>"
"SSLStrip redirects too many times","<tls><sslstrip>"
"Where can I get untrusted certificates?","<certificates><certificate-authority>"
"Is it possible to track a SIM card even if the cell phone is turned off?","<smartphone><tracking><simcard><cellular>"
"Create backup Yubikey with identical PGP keys","<pgp><gnupg><yubikey>"
"Any frameworks that outline the requirement or recommendation of a Security Operations Center?","<compliance>"
"IPSec and traffic mirroring","<ipsec><iptables><voip>"
"OAuth2 auth server reusing the access token","<authentication><server><oauth><oauth2>"
"tool with rest api to scan base64 encoded files","<antivirus><rest><antimalware>"
"What are the security implications of publishing my web server & PHP config files?","<apache><data-leakage><configuration><git>"
"Protecting an api-token with cookie authentication only","<xss><cookies><attack-prevention><csrf><ajax>"
"Machine reaching out to Microsoft IP address using NBTstat command","<ports><udp><siem>"
"What are the steps needed to crack one password stored in a web app","<passwords><password-cracking>"
"I want to hire someone on Upwork to install a bitcoin trading bot on a cloud server. What vulnerabilities should I watch out for?","<attack-prevention><bitcoin><vulnerability-management>"
"Is it possible to ""polyfill"" a vulnerable Flash player to a users machine when they visit a web page?","<web-browser><browser-extensions>"
"Port forwarding for reverse tcp","<metasploit><meterpreter><port-forwarding>"
"Odd PHP error referring to Fallaga Priv8 404 Shell when visiting a web site","<malware><web-browser>"
"Prevention of host header injection in ASP.NET?","<http><asp.net><iis><host-header-injection>"
"Why is Math.random() not designed to be cryptographically secure?","<cryptography><javascript><random>"
"How to check if an image file is clean?","<virus>"
"How StandardPBEStringEncryptor works?","<encryption><java>"
"A Question About HTTPS Certificates & Their Fingerprints","<tls-intercept>"
"Can I start off Cyber Safety seminar by stunning the audience, like getting into their phone's Wifi/Bluetooth to access a folder and show them?","<wifi><bluetooth>"
"Drop privileges after startup or start as unprivileged user?","<linux><operating-systems><hardening><privilege-escalation><privilege-separation>"
"How to lock down iSCSI mounted NAS against ransomware","<windows><hardening><permissions>"
"What attack modes does a VPN secure against over https?","<tls><vpn>"
"SSLHandshake Exception after eliminating of SHA related ciphers from the server side","<encryption><tls>"
"Privilege escalation using passwd file","<linux><privilege-escalation><centos>"
"SELinux Privilege Escalation Metasploit Nexus 5 Android 5.0.1 LRX22C after Stagefright","<android><metasploit><privilege-escalation><selinux><stagefright>"
"Retrieve information about ""memory protection""","<hardware><programming>"
"Was redirected from MS Outlook to a phishing site. Need independent opinion on whether or not my computer is compromised","<malware><http><javascript><phishing><html>"
"TLS- Concept of channel binding","<encryption><tls><network><cryptography><public-key-infrastructure>"
"Is my router hacked?","<malware><router>"
"Failed to verify PGP signature from ISO Archlinux","<pgp>"
"Are BSD jails a ""huge security liability""?","<webserver><freebsd><container>"
"Is it safe to answer to a suspected email as long as I don't click any link?","<email><phishing>"
"Heap Overflow - unlink() technique exploitation on x86_64 (64 bit)","<exploit><reverse-engineering><exploit-development>"
"Strong password qualification","<passwords><password-cracking><password-policy>"
"SIGSEGV when trying to overwrite a .got entry","<memory>"
"cryptsetup luksHeaderBackup file smaller than Payload Offset?","<encryption><luks>"
"Canadian encryption key sizes","<encryption><legal>"
"How to setup a Virtual Wireless Router?","<wireless>"
"Does higher range wi-fi mean less secure?","<wifi>"
"Yahoo email hack and forged cookies 2016","<email><cookies><yahoo>"
"A password substitute?","<authentication><web-application><appsec><android><attack-prevention>"
"Hotmail address compromised?","<email><account-security>"
"SSL AES128-GCM-SHA256 cipher vs RC4-MD5","<tls>"
"Empire testing powershell commands","<penetration-test><powershell>"
"Are memcpy() based race conditions exploitable for causing remote code execution?","<linux><c><exploit-development><x86><race-condition>"
"Is it possible to have full LAN access through a meterpreter session? e.g. for a MITM attack","<man-in-the-middle><meterpreter>"
"Is it possible to get All IP's that belongs to given zip code?","<network><ip><tcp><udp>"
"Is running ""apt-get upgrade"" every so often enough to keep a Web-server secure?","<web-application><linux><webserver>"
"Web application reacts differently to Windows reserved names like CON, AUX, NUL","<web-application><windows><file-system>"
"Is there a difference between ""DHE_PSK"" and ""PSK_DHE""?","<tls>"
"How SMB signing works?","<smb>"
"how to utilize openssl (already integrated with kernel) with openvpn?","<openssl><openvpn><embedded-system>"
"Is it possible to find the manufacturer of a BLE device from it's mac address?","<hardware><mac-address><bluetooth>"
"Token based API security over repeated username/password requests","<authentication><web-application><web-service>"
"WiFi access points blocking VPN","<wifi><firewalls><vpn>"
"GSEC Certification clarificationadvice?","<career>"
"How does concatenating a user password and a YubiKey OTP work?","<multi-factor><yubikey>"
"AMQP . Is it a better way to use JWT over certificate based authentication","<tls><jwt>"
"Responsible disclosure: company is dedicated to security but doesn't answer","<disclosure>"
"Classifying SSL/TLS vulnerabilities","<tls><openssl>"
"Why should password authentication require sending the password?","<authentication><passwords><hash>"
"How does Google SQL Proxy work?","<network><cloud-computing><network-access-control>"
"Can server side communicate using cipher that not listed in the CipherSuite?","<encryption><tls>"
"How to exploit a <p> output that filters brackets but nothing else","<attack-vector>"
"Intercepting Bluetooth LE communication with an app on the same mobile device","<man-in-the-middle><bluetooth>"
"jquery.js Dynamic Code Evaluation: Code Injection on setTimeout() line","<appsec><javascript><sql-injection><injection><jquery>"
"Meterpreter detected by AV","<metasploit>"
"Bluetooth Low Energy (BLE) and Man-in-the-Middle attacks?","<man-in-the-middle><bluetooth>"
"Courses on ""Secure Software Development""","<academia><professional-education>"
"Rails - protection against code injection and XSS","<appsec><attack-prevention><source-code><xss><rails>"
"Does an established HTTPS connection mean a line is really secure?","<web-application><tls>"
"Is filtering of user input data enough, or should it be parsed?","<web-application><xss><appsec><attack-prevention>"
"How to perform a security audit for a PHP application?","<appsec><php><penetration-test><code-review>"
"Which web server is more secure, Apache, nginx or lighttpd?","<webserver><known-vulnerabilities>"
"Should I use Suhosin for PHP?","<web-application><php><appsec>"
"ASP.NET MVC Security Check List","<appsec><web-application><source-code><asp.net>"
"What tools are available to assess the security of a web application?","<appsec><web-application><penetration-test><tools><web-scanners>"
"Computer Forensics: what is in your toolbox?","<forensics><tools>"
"What methods are available for securing SSH?","<ssh><hardening>"
"Good session practices","<authentication><cookies><session-management>"
"How to Securely Implement a ""Remember Me"" Feature?","<authentication><web-application><php><appsec><expiration-date>"
"What is the best option for setting up a several sites supporting SSL on the same IP?","<tls><webserver>"
"How to disclose a security vulnerability in an ethical fashion?","<ethics><disclosure>"
"How to keep a shared web hosting server secure?","<webserver><web-hosting><shared-hosting>"
"Is an IP address blacklist good practice to prevent website attacks?","<appsec><web-application><attack-prevention><network>"
"What are the best practices for mitigating zero day attacks?","<attack-prevention><zero-day>"
"Best practices for Apache Server hardening?","<webserver><hardening><configuration><apache>"
"What cryptographic algorithms are not considered secure?","<cryptography><known-vulnerabilities>"
"Feeding /dev/random entropy pool?","<cryptography><passwords><random>"
"Does it matter which Certificate Authority I source my SSL Certificate from?","<tls><certificate-authority>"
"Professional certifications for IT Security","<professional-education><certification><people-management>"
"Is Google Chrome a more secure browser?","<web-browser><known-vulnerabilities><chrome>"
"Password management/synchronization?","<passwords><password-management>"
"How can I check that my cookies are only sent over encrypted https and not http? ","<tls><cookies><encryption>"
"Is it secure to connect to a remote Windows Server using Remote Desktop only?","<operating-systems><authentication><windows><remote-desktop><remote-server>"
"What are the pros/cons of using a threat detection system?","<attack-prevention><ids>"
"What is the best way to verify the SSL configuration of my web server?","<tls><webserver><configuration>"
"What techniques do advanced firewalls use to protect againt DoS/DDoS?","<attack-prevention><network><firewalls><ddos>"
"How to determine whether site is secure from common user's point of view?","<web-application><trust>"
