title,tags
"Does water have a memory as claimed in homeopathy?","<homeopathy><physics>"
"Does chamomile help you to relax?","<nutrition><alternative-medicine><herbalism>"
"How dangerous is thiomersal (thimerosal)?","<united-states><vaccines><autism>"
"Is the placebo effect a purely psychological effect?","<placebo><medical-science>"
"Are there benefits to the ECA stack for body-builders?","<nutritional-supplements><weight-loss><bodybuilding>"
"Can positive thinking provide an improved outcome for an illness?","<positive-thinking><medical-science>"
"Are vegetables good for me?","<nutrition><vegetables>"
"Is there any scientific basis for Seasonal Affected Disorder (SAD)?","<psychiatry>"
"Do human activities contribute to climate change?","<climate-change><climatology>"
"Is it possible to ""boost your immune system""?","<medical-science><immune-system>"
"Is there any scientific support for psychoanalysis?","<psychology>"
"Do the Left Brain and Right Brain have different functions?","<neurology><logic>"
"Do we only use 10% of our brain?","<neurology>"
"What risks exist with GMO, but not with selective breeding?","<gmo><genetics>"
"Any Scientific Basis for Neuro Linguistic Programming?","<psychology><marketing>"
"How do sugar pills work according to homeopaths?","<homeopathy>"
"Does being cold increase your chances of catching the common cold?","<medical-science><common-cold><immune-system><virus>"
"Are deaths ""skyrocketing"" due to vaccination?","<medical-science><vaccines>"
"What is a Nosode?","<medical-science><alternative-medicine><homeopathy><medications>"
"Is it possible to overdose on Homeopathic medicines?","<homeopathy><medical-science><alternative-medicine>"
"Does ""The Fossil Record"" evidence sufficiently support evolution?","<fossil-record><charles-darwin><evolution><intelligent-design>"
"Is ""House of Numbers"" an AIDS denialist film?","<hiv-aids>"
"What is Miracle Mineral Solution (MMS)?","<alternative-medicine>"
"Did a nocebo study find that rashes could swap hands?","<placebo>"
"How can I tell if a listed adjuvant is no longer toxic due to a vaccine's composition?","<medical-science><vaccines>"
"Do magnets have verifiable effects on humans?","<alternative-medicine><electromagnetism>"
"Is the Bates Method for improving eyesight efficacious?","<ophthalmology>"
"Is cholesterol a significant factor in Heart Attacks?","<medical-science><cardiology><cholesterol>"
"Is it reasonable to assume that volunteers in stage-magic shows are aides?","<stage-magic>"
"Is “Your Baby Can Read” effective and helpful?","<education><children><language><advertising><reading>"
"Does drinking milk lead to osteoporosis?","<medical-science><nutrition><milk>"
"Do anti-sea-sickness bracelets work?","<medical-science>"
"Are there technologies that provide unlimited free energy?","<physics><energy><perpetual-motion>"
"Can blood group affect behavior?","<medical-science><behavior><blood><physiology>"
"Can an electronic device reduce scale buildup in waterworks?","<physics><water>"
"Supermarket ""Membership"" Cards and Data Collection","<marketing>"
"Does blood type affect what type of food is best for you?","<nutrition><blood><physiology>"
"Do contrails last long enough to explain chemtrails?","<weather><aviation><meteorology>"
"Is there an autism epidemic?","<medical-science><autism>"
"Is the US constitution based on the religious principles?","<united-states><politics>"
"Is America ""seeing a spike in celibacy fuelled by economics, technology and female empowerment?""","<united-states>"
"Is food becoming less nutritious because of depletion of soil minerals and nutrients?","<united-states><nutrition><environmental-health><environment><public-health>"
"Are Rembrandt's two anatomical paintings the only two where the identity of the cadaver is known?","<anatomy>"
"Is new nuclear power cheap?","<australia><nuclear-energy>"
"Are patterns of holes in surfaces surprisingly good clickbait?","<psychology>"
"Was this Communist Party Directive from 1943 genuine?","<quotes><soviet-union>"
"What effect does listening to music on streaming services have on artist revenues?","<music><research>"
"Did 295 of Marsh & McLennan employees die in the World Trade Center during 9/11?","<9-11>"
"Does science define life as ""beginning at conception""?","<biology><abortion>"
"Is the penalty for a woman having an abortion more severe than the penalty for rape?","<united-states><law><abortion>"
"Are fares for US transcontinental flights at an all-time low?","<aviation>"
"Does rubbing the end of a cucumber improve its taste?","<cooking>"
"Does Myanmar deny medical care, humanitarian aid, education, and food to Rohingya?","<burma>"
"Do these five football players have exceptionally high IQs?","<psychology><intelligence><football>"
"Who wrote “A writer only begins a book. A reader finishes it.”?","<quotes><literature>"
"Did ""hundreds of birds"" fall out of the sky in the Netherlands due to a 5G test?","<biology><zoology><electronics><netherlands>"
"Did 20% of US soldiers in Vietnam use heroin, 95% of whom quit afterwards?","<recreational-drugs><addiction><vietnam-war>"
"Have 1.5% of all nuclear reactors ever built melted down?","<nuclear-energy><power-generation>"
"Is a Gazan woman running for Office in Belgium?","<politics><media>"
"Did Lenin say he made a mistake, their actions caused oppression and massacres and what Russia needed was ten Francis of Assisi?","<history><quotes>"
"Is Feynman's claim about the history of measurements of the charge of the electron after Millikan accurate?","<physics><experiments>"
"Did Mussolini say the state controlled three-fourths of the Italian economy?","<economics><quotes><italy>"
"Did Oliver Kahn deny children's penalty goals and thus, charity money?","<history><football><charity>"
"Were pen cap holes designed to prevent death by suffocation if swallowed?","<medical-science><technology><safety>"
"Do UK background checks successfully ‘prevent unsuitable people from working with vulnerable groups’?","<law><united-kingdom><children><sexual-abuse>"
"Did thousands of women die every year due to illegal abortions before Roe v. Wade?","<united-states><history><abortion>"
"In the USSR's legal system, was everything illegal unless specifically allowed?","<history><law><russia>"
"Does keeping a ""gratitude journal"" improve your life?","<psychology>"
"Did Newton say that humanity would be able to travel at 40 miles a hour","<quotes>"
"Does the moon have all these powers?","<biology><moon>"
"Do cheetahs die after sprinting for 30 seconds?","<zoology>"
"Did almost half of 1000 adults fail a fifth-grade math test?","<education><intelligence>"
"Is this picture of Trump making people swear to vote for him genuine?","<united-states><politics><donald-trump>"
"Did the Special Virus-Cancer Program (SVCP) exist?","<united-states><government><hiv-aids>"
"Did Aldous Huxley turn out to be reciting not reading when lecturing on the Bates Method?","<history><ophthalmology>"
"Can you charge your phone using a non-electrified railway?","<electronics>"
"Does the 7speedreading software allow people to read over three times as fast?","<reading>"
"Does Flint have a much lower rate of lead poisoning than it had two decades ago?","<environmental-health>"
"Are there more pedophiles in the Catholic Church than other religions, or professions","<religion><criminology>"
"If one man is shot in the head while holding a gun to another man, can the former get a shot off on the latter?","<physiology><guns>"
"Does hair fall first from the top of head because of reduced blood supply due to lack of movement?","<physiology><hair>"
"Is the ""Alpha Wolf"" theory debunked?","<ethology>"
"Minorities and Prejudice.","<politics><religion><discrimination>"
"Does the Facebook smartphone app listen to users through the installed phone's microphone?","<facebook>"
"Is it possible to bake a cake with a phone inside, leaving the phone intact?","<mobile-phones><cooking>"
"Is Giardiasis a significant risk of drinking untreated water in pristine backcountry areas in North America?","<environmental-health>"
"Did Apple help the Chinese government unlock thousands of iPhones?","<security><apple-inc><lawsuits>"
"Does short hair reduce (or mark reduced) sex drive in women?","<sexuality>"
"Does the gorilla, Koko, have an IQ in the range 70-95?","<psychology><zoology><intelligence>"
"Is prone masturbation harmful?","<sexuality><masturbation>"
"Were there cases of protesters starting violence at Trump rallies?","<united-states><politics><donald-trump>"
"Is this document describing pedophile logos an authentic FBI document?","<united-states><criminology><document-authenticity>"
"Do most patients with chronic fatigue syndrome have low thyroid activity?","<medical-science>"
"Does drinking hot tea (or hot drinks) help when you're sick?","<natural-remedies><herbalism>"
"Is 8% of human DNA from viruses?","<genetics><dna><virus>"
"Did Steve Jobs compare Apple's market share with BMW, Mercedes-Benz's and Porsche?","<quotes><apple-inc><steve-jobs>"
"Until 2016, did Germany require rape victims to physically resist their attackers?","<law><sexual-abuse><germany>"
"Does a tax on drinks with high sugar content reduce sugar consumption?","<taxes><sugar><obesity>"
"Is there formaldehyde in the glue of bamboo cutting boards? Is it dangerous?","<chemistry><consumer-products><safety><cooking>"
"Does wifi stunt cress growth?","<biology><radiation><mobile-phones>"
"Can humans functionally move their eyeballs independently of one another?","<physiology><anatomy>"
"Does flour or rice make an ant's stomach explode?","<natural-remedies><entomology><pesticides>"
"Are artificial sweeteners useful as insecticides against ants?","<entomology>"
"Was Edgar Cayce visited by Rockefeller and other important figures from that era?","<history><psychics>"
"Can voice signals be radio-transmitted to a human head acting as a radio receiver?","<electromagnetism><radio>"
"Did Incas use potatoes as a measure of time?","<history><time>"
"Is it more expensive to employ a smoker than a non-smoker?","<united-states><smoking><employment>"
"Can oral sex cause throat cancer?","<sexuality><cancer><epidemiology>"
"Are we running out of drinking water so that we need to be frugal with it?","<environmental-health><water><environment>"
"Do running shoes prevent injury?","<medical-science><physical-fitness>"
"Are rising temperatures making fires worse?","<climate-change><fire><natural-disasters><al-gore>"
"Are bikinis banned from the 2013 Miss World competition in Indonesia?","<culture>"
"Is there a trend in western publishing to obscure depictions of ethnic minorities on the covers of Young Adult literature?","<racism>"
"Does apple cider vinegar help with dandruff","<natural-remedies><vinegar>"
"Did the Ancient Egyptians use twenty-sided dice?","<history><religion><mathematics><egypt><archeology>"
"Does treating people with mild hypertension improve their outcomes?","<medical-science><epidemiology><medications>"
"Does Nutella contains subtances that destroy neurons?","<nutrition>"
"Can you recharge a phone battery in the microwave?","<microwaves><battery>"
"Do programming aptitude tests provide a reliable measurement of skills?","<programming>"
"Can hypnosis increase breast size?","<psychology><hypnotism><breast><breast-enlargement>"
