title,tags
"How does the voltage affect the operation of an electret capsule?","<microphone><power>"
"Are there tools to seamlessly loop sounds?","<software><looping>"
"Tascam DR-40 & Shure SM58","<portable-recorder><tascam><microphone>"
"Recording decent sound","<lavalier><microphone>"
"comparison between MKH 60 , MKH 70 and KMR 82","<location-recording>"
"Sending over stems from a DA88-is it worth investing?","<post-production><deliverable><tape><tascam><timecode>"
"Headphone amplifiers for studio","<headphone>"
"speed up work flow","<techniques>"
"Programming an Audio Unit that hosts another Audio Unit?","<sound-libraries><plug-ins><mac><plugin><sound-devices>"
"Sound design comission or fixed price.","<prices><job>"
"Deliverable Quality Control - Talk to me.","<quality><techniques><deliverable>"
"I'm looking for Audio Drama suggestions that have a good mix of music and sound design.","<audio-drama><mixing><music><sound-design><dialogue>"
"Batch Processing Wave Plug-Ins","<batch-processing><waves>"
"VHF or UHF Lapel Mic Systems","<microphone><wireless><lapel>"
"Client Monitoring and sound editing.","<clients><mixing><location-recording><monitoring>"
"DIY Foley Stage / Pits","<foley><foley-stage><diy>"
"Which is better- boom micing or lapel micing","<boom><lapel>"
"looping 8khz or 11.025khz samples","<looping>"
"Foley/ambient recording on Nagra 4.2 ","<foley><nagra><tape><recording>"
"metadata applications","<metadata><applications><use><use-of><labels>"
"MixPre D (USB Audio Class compliant device) - Windows XP only shows outputs - no inputs!","<usb><windows>"
"Lamb Slaughter Recordings. . . ","<animals>"
"Golden Mean/Flower of Life/Rule of Thirds and Sound","<ideas>"
"how would you create the sound of someone (in shoes) stepping through a puddle?","<water>"
"Vintage foley microphones","<vintage><film><microphone>"
"Using a trademark name","<copyright><sfx>"
"BBC - The Alchemists of Sound","<electronic-music><vintage><innovation><sound-design>"
"stories of access","<locations><field-recording>"
"Templates for Sound Creation/Design","<design><templates>"
"reverse eating sounds","<foley>"
"Getting the funk guitar sound from Funkytown","<guitar><sound-effects>"
"I want to understand the science of sound.","<science><physics>"
"Removing camera noise","<camera><noise>"
"recording summer ambiences","<ambience><recording><field>"
"which reporter setup?","<microphone><portable-recorder><recorder>"
"Finding Audio Work - where do you look? ","<work><finding-work><job><jobs>"
"How's the Zoom H1 working out for you?","<zoom><h1><portable-recorder>"
"Known .aff problems?","<aaf><omf><pro-tools><avid>"
"Recording voices for pitching down","<voice><recording><pitch>"
"Difference between Waves MaxxBass and Waves LoAir?","<plug-ins><waves><pro-tools><sub-bass>"
"Coupons as gifts","<sales><business><promotion><gift>"
"Mixing Battle Scenes In Surround","<surround-sound><mixing>"
"How do you make fairly portable Foley surfaces?","<foley><building><diy>"
"How did you get your initial experience in 5.1 audio creation and mixing?","<surround-sound><production-mixing><5.1>"
"How would you create a sound for a planet turning in its own orbit?","<sound-design><creativity><techniques><plug-ins>"
"""Underwater"" sound tricks!? How do you make it sound underwater-y","<underwater><recording><sound-design><video-games><techniques>"
"Comments for my first work?","<video-games><sound-design><portfolio>"
"Shortwave Radio as a Sound Source","<radio-frequency>"
"Doubts about a mixing that must go to a FilmFestival","<mixing><documentary><filmfestival>"
"Volume output for theatrical release on DVD","<mixing>"
"Sound Devices usbpre 2 as a location field mixer, thoughts? ","<sound-devices><location-audio><field-recording><usb>"
"Help - Portable Recorder","<portable-recorder><marantz><fostex>"
"Sound Reporting in Istanbul","<reporting>"
"Technical specs for master to be shown at FilmFestival","<master><filmfestival><theater>"
"pros and cons of a zoom h4n","<zoom><zoom-h4n><48khz>"
"Getting manual for Steinberg Houston Contoller","<download>"
"The sound of home","<location-audio><home>"
"Techniques for Recording a Car","<cars><sfx><foley><sound-effects>"
"Remove cloth sound from radio mics","<radio><microphone><noise><reduction>"
"Capturing Timecode Using an Apogee Duet","<timecode>"
"Mono using only one channel from my single point M/S mic","<mid-side><recording>"
"Has anyone got experience with the Tascam DR-680?","<location-recording><microphone><field-recording><sound-effects-recording>"
"Recording Screaming on set interior","<recording><screams>"
"POV Sound of a Deaf Pianist","<deaf><pov><sound-design>"
"Workflow: Getting sounds into your library.","<sfx><library><workflow><sound-design>"
"music to Study for Excellence in Sound Design","<creative-inspiration><sound-design>"
"Monitoring and frequency response in the studio vs. sound stage","<monitoring><dubbing-stage><frequency-response><experience>"
"Need advice on which mics to get.","<design><foley><field><recording>"
"Creating Hurt/Scared Creatures","<monster><creature><crying><sound-effects>"
"Digi 003R with Pro tools LE","<pro-tools>"
"Reality show Location recording","<reality-tv><location-recording>"
"What are the best modulators for vocoders?","<plug-ins><vocoder><virtual-instruments>"
"Mobile App Audio Middleware","<mobile><app><middleware>"
"Are you a windjammer hair stylist?","<windjammer>"
"Tension sounds like…","<tension><drama><sound-design><emotions>"
"Why do some companies still sell SFX with 44.1 kHz sample-rates ?","<sample-rate><conversion><quality><pro-tools>"
"Need opinions .. Does the Soundforge Noise Plugin sound good compared to XX ?","<noise-reduction>"
"Recording the riots in London","<field-recording><crowd><stealth>"
"Quick Question for Console Game Audio Folks","<video-games>"
"Feature Lengths","<features><reel><omf><film>"
"Game Audio Course Work","<university><game><course>"
"earphones are harmful?","<earphones>"
"Unlimited access to a large echoey warehouse.","<worldizing><concrete><building><field-recording>"
"Transferring work between DAWs","<omf><transfer>"
"Production Audio Check List","<production-audio><techniques><location-recording>"
"Reverb Algoritms","<reverb><algorithmic>"
"REQUEST: Downhill ski recordings","<request><snow><recording><sport>"
"Can you please review my work?","<sound-design><demo-reel>"
"What's the wackiest software filter out there?","<plug-ins><filter><effects><software>"
"Pre-Film School Preparation","<film><school><macbook><pro-tools><plugins>"
