title,tags
"¿Cuál es la mejor traducción para ""wearable"" en este texto?","<uso-de-palabras><expresiones><sinónimos>"
"Why is an indirect object used and not a direct object?","<traducción><gramática><clíticos>"
"How do verbs like 'gustar' actually function?","<gramática><verbos>"
"When should I use the spanish words ""que"", ""de que"", ""en que"", ""por la que"" as a translate for the english word ""that""?","<gramática>"
"What is the use of 'de' preposition in 'Yo voy *de* compras todos los sábados'","<gramática><preposiciones>"
"Etymology of 'Sobremesa'","<etimología><historia>"
"what is 'tertulias de sobremesa'?","<definiciones>"
"Pagar el pato. ¿De dónde salió esta expresión?","<etimología><expresiones><coloquialismos>"
"¿Puede alguien ayudarme a analizar sintacticamente esta oración, y explicarme rapidamente?","<preguntas>"
"Trying to make a certificate for my Spanish teacher","<traducción><selección-de-palabras><gramática>"
"¿Cuál es el origen de la expresión ""liarse la manta a la cabeza""?","<etimología><modismos><significado><historia><coloquialismos>"
"How would you translate ""Quality time""","<traducción><selección-de-palabras>"
"Why is ""of"" sometimes ""de"" and sometimes ""del"" or ""de la""?","<uso-de-palabras><preposiciones><artículos><contracciones>"
"Como decir ""have (o have not) heard from him"" en español","<traducción><modismos>"
"Como decir ""for a while""","<traducción><modismos>"
"Can there be situations where both ""saber"" and ""conocer"" can be used?","<definiciones><verbos><sinónimos>"
"Is ""libras"" really the correct translation for ""pounds"" (when meaning British currency)?","<traducción>"
"¿Por qué se usa el género femenino en estos casos?","<género>"
"Whose tea is it?","<traducción><adjetivos>"
"Use of units of measurement","<uso-de-palabras>"
"Use of comma between subject and verb","<uso-de-palabras>"
"Why would a placename be changed in translation?","<traducción><historia>"
"¿Hay diferencia entre ""caldo"" y ""sopa""?","<uso-de-palabras>"
"What is ""El Capitan"" meaning in English? And how this word developed along the history?","<vocabulario><definiciones>"
"Use of future subjunctive","<verbos><tiempos-verbales>"
"Why are telephone numbers sometimes verbally expanded?","<números>"
"""Armar un lío"", es muy casual o apropriado para contenido formal?","<formalidad>"
"Los Diablos Rojos del México -- ¿por qué ""del""?","<deportes>"
"Is this a bad example sentence for the reflexive casarse?","<reflexivos>"
"pronunciation of final n as [ŋ]","<pronunciación><dialectos><fonología>"
"Why does ""every eight days"" mean once a week?","<uso-de-palabras><coloquialismos><tiempo>"
"What verb is used for the way that dogs walk?","<verbos><animales>"
"Why are green beans called ""green Jews""?","<etimología><comida>"
"Using “cómo” with verbs after “saber”","<verbos>"
"What is the difference between ""claro"" and ""claro que sí""?","<uso-de-palabras><coloquialismos>"
"What is the proper way to refer to an island?","<nombres-propios>"
"Sujeto de la oración ""Está oscureciendo temprano""","<gramática>"
"Polite way to say ""I am fine"" in spanish","<gramática><verbos>"
"How to use ""gustar""?","<persona-gramatical>"
"Why ""la clase turista"" and ""primera clase"" in Spanish?","<adjetivos>"
"Exceptions of forming negative statements","<persona-gramatical>"
"How do you say I have been waiting for you forever in Spanish?","<traducción>"
"¿Qué sonido del español es el menos común en lenguas romances?","<pronunciación><fonología><comparación-de-idiomas>"
"""Último"" vs. ""final""","<uso-de-palabras><vocabulario><diferencias-entre-palabras>"
"Sinónimo para ""patagio"" incluido en el DLE","<sustantivos><sinónimos><palabras-raras><dle>"
"Why is 'de' used in 'Estoy totalmente *de* acuerdo'?","<gramática><preposiciones>"
"Which one is correct, ""estuviera"" o ""estuvieran lloviendo todos los días""?","<subjuntivo>"
"What is the difference in meaning when using imperfect subjunctive vs present subjunctive?","<subjuntivo>"
"What is the function of ""siendo"" in the sentence ""No creo que ella se viera bien siendo sarcástica.""?","<gerundio>"
"Origen de la frase ""se lo lleva el que lo trajo"" y países de uso","<etimología><diferencias-regionales><coloquialismos><dialectos>"
"¿Es correcto este uso de ""jactar""?","<selección-de-palabras><verbos><solicitud-de-término>"
"Multiple adverbs modifying same thing","<verbos><sustantivos><adjetivos><adverbios>"
"A combo insult in Mexican Spanish","<selección-de-palabras><expresiones><méxico><vulgaridades><insultos>"
"¿Cuy y curí son iguales en Colombia?","<hispanoamérica><colombia>"
"What means ""reír sin gracia"" in Spanish?","<traducción><gramática><significado><inglés>"
"In Latin America, is ""el ataque"" or ""la convulsión"" more commonly used by medical professionals?","<selección-de-palabras><vocabulario-técnico><hispanoamérica><vocabulario-médico><costa-rica>"
"Gramática de la frase ""las envían acusadas de practicar brujería""","<gramática><pronombres>"
"Diferencia entre caridad y generosidad","<significado><diferencias-entre-palabras>"
"Are there instances of 'i' meaning 'and' in Spanish?","<uso-de-palabras><ortografía><conjunciones><dialectos>"
"¿Qué se entiende por la siguiente frase?","<gramática><significado><sintaxis>"
"When should the plural be used in Spanish where we would use singular in English?","<gramática><plurales>"
"¿A qué se refiere «volador» en Colombia?","<vocabulario><hispanoamérica><colombia>"
"Is this the difference between ""vamos"" and ""vámonos""?","<traducción>"
"¿Qué nombre recibe en otros países hispanoparlantes el juego conocido en España como ""las tres en raya""?","<diferencias-regionales><diferencias-entre-palabras><juegos>"
"Existe alguna palabra adaptada al español, o término equivalente, que exprese el significado del neologismo inglés ""ratioed""?","<solicitud-de-término><neologismos><jerga-internet>"
"¿Cuál es la razón por las inconsistencias desinenciales en Don Quijote?","<conjugación><literatura><español-medio>"
"""Bureaucratese"" meaning of ""Industria [country]"" / equivalent of ""Made in [country]"" or ""Product of [country]""","<diferencias-regionales><significado-en-contexto>"
"En la canción ""Velaske yo soi guapa?"", ¿por qué Velázquez le trata de tu a la infanta Margarita?","<uso-de-palabras><ustedeo>"
"B, V, and phonetic self-deception","<pronunciación>"
"¿Por qué se necesita usar «los/las» en la frase «si los hay»?","<pronombres><objetos-directos><haber>"
"Palabra en manuscrito","<identificación-de-término><escritura-manuscrita>"
"¿«Living room» en Colombia?","<vocabulario><hispanoamérica><colombia>"
"Es correcto gramaticalmente poner ""que"" dos veces, por ejemplo para: ""eso es mejor que que lo encierren""","<gramática>"
"¿Quienes usan voseo en Medellín?","<colombia><voseo><ustedeo>"
"Why ""SE"" in ""no se me ocurre ...""?","<gramática>"
"What Spanish word can be used to translate ""plugin"" (software term)?","<traducción><vocabulario-técnico><informática>"
"What word can be used to translate ""uploader""?","<traducción><vocabulario-técnico><informática>"
"¿Tiene sentido «pulgar arriba»?","<jerga-internet><cultura-de-masas>"
"Pregunta sobre pronombre: preguntárnoslas","<pronombres>"
"Need a phrase from a mobile phone application","<vocabulario-técnico>"
"Should I include ""a"" after ""conocemos""?","<verbos><preposiciones>"
"Should I use preterit or imperfect to express something that used to happen repeatedly?","<verbos><tiempos-verbales><pretérito><pretérito-imperfecto>"
"When should I attach the indirect and direct object pronoun to the end of a verb?","<pronombres><objetos-indirectos><objetos-directos><enclisis>"
"What is the meaning of ""que"" and ""cual"" without an accent mark?","<uso-de-palabras><pronombres><conjunciones>"
"Translation of ""en cierta medida""","<traducción><selección-de-palabras>"
"Translation of ""desarrollo integral""","<traducción><selección-de-palabras>"
"Usage of fea and rico","<selección-de-palabras><uso-de-palabras><definiciones><comida><vocabulario>"
"Uses of ""SE"" : se discutió","<selección-de-palabras><reflexivos><voz-pasiva><se>"
"holy: santo vs. sagrado","<traducción><selección-de-palabras><religión><vocabulario>"
"wallet: cartera vs. billetera","<traducción><selección-de-palabras><diferencias-regionales><sinónimos><vocabulario>"
"Translation of ""to be fluent (in a language)""","<traducción><uso-de-palabras><verbos>"
"How outdated is the Spanish of the Reina-Valera Bible?","<diferencias-regionales><historia><religión>"
"¿Cómo se describe la temperatura?","<uso-de-palabras><tiempo-meteorológico>"
"¿Qué tipo de palabra es «alto»?","<definiciones><categorías-gramaticales>"
"""Reclamo"" vs. ""Reclamación""","<traducción><selección-de-palabras><sinónimos><vocabulario>"
"When it is okay to translate food dishes names?","<traducción><comida>"
"Translating ""to wind up (doing something)""","<traducción><selección-de-palabras><vocabulario>"
"Translation of the idiom: ""To wind (somebody) up""","<traducción><modismos>"
"Translation of ""to wind (a rope, hose, string, cord, etc.)""","<traducción><selección-de-palabras><uso-de-palabras><verbos><vocabulario>"
"Translation of cord, cable, string, line, thread, rope, etc","<traducción><selección-de-palabras><uso-de-palabras><vocabulario>"
"Translation of mild, medium, and hot (food spiciness)","<traducción><adjetivos><comida><vocabulario>"
"Translation of ""I rest my case""","<traducción><selección-de-palabras><modismos>"
"What is the difference between ""por si"" and ""por si acaso""?","<traducción><selección-de-palabras>"
"What does ""haiga"" mean?","<diferencias-regionales><verbos><palabras-raras>"
"Happy Birthday songs in Spanish","<diferencias-regionales><música>"
"Congratulations: should I use ""felicidades"" or ""felicitaciones""?","<traducción><selección-de-palabras><uso-de-palabras><vocabulario>"
"Translation of ""real estate""","<traducción><selección-de-palabras><sinónimos><vocabulario>"
"""Mariscal de campo"" for ""quarterback""","<traducción><historia><deportes>"
"Translation of ""twang""","<traducción><música><vocabulario>"
"When is ""me encanta"" romantic?","<verbos><connotaciones>"
"Words for ""to encourage"": alentar, animar, fomentar","<traducción><selección-de-palabras><uso-de-palabras><sinónimos><vocabulario>"
"What does ""les"" mean here?","<pronombres><objetos-indirectos>"
"What does ""le"" mean here?","<pronombres>"
"Differences betwen ""ahí"", ""allí"", and ""allá""","<uso-de-palabras><deixis>"
"""matricular"" y ""matricularme""","<uso-de-palabras>"
"Translation of ""desafuero"" to English","<traducción><vocabulario-técnico>"
"“I was sick"" in Spanish","<gramática>"
"Word order in Spanish","<gramática><orden-de-palabras>"
"Pluralization of “todo”","<gramática>"
"Reflexive “dejar”","<gramática>"
"Ambiguity with “por”","<gramática>"
