title,tags
"How to account for Confidence in likert scale questionaires?","<mathematical-statistics><survey>"
"What is the correlation coefficient I should choose? Spearman or Pearson? Dataset consists of 2000+ entries, less likely to be Kendall","<correlation>"
"Is it statistically valid to perform two linear regressions to approximate a test for a U-shaped distribution?","<regression><hypothesis-testing>"
"Is this log-log plot that is produced in SPSS sufficient to PH?","<regression><hypothesis-testing><spss>"
"What are parametric conditions?","<terminology><garch><finance><parameterization><volatility-forecasting>"
"How can I test two samples for different variance?","<change-point><variance-test>"
"How can concentrated (profile) log marginal likelihood be used to optimize the mean and scale(outputscale) parameters in Gaussian Process Regression?","<likelihood><gaussian-process><kriging><profile-likelihood>"
"Non-logarithmic approaches to compositional data","<distance><compositional-data><aitchison-geometry>"
"Inference in Dirichlet process mixtures via collapsed Gibbs sampling","<self-study><bayesian><mathematical-statistics><markov-chain-montecarlo><graphical-model>"
"Best test to use for investigating if the difference between means is significant?","<hypothesis-testing><mathematical-statistics><statistical-significance><analysis-of-means>"
"Approximating a predictor with a kernel","<kernel-trick><similarities><approximation>"
"Bernouilli ML parameter estimation from indirect observations","<mathematical-statistics><maximum-likelihood><bernoulli-distribution>"
"GLS estimator - derivation","<econometrics><estimators><generalized-least-squares><blue>"
"Cox model: using strata() when one comparison group has small N","<survival><cox-model>"
"Finding Degrees of Freedom For Chi Squared Test proportions","<chi-squared-test><degrees-of-freedom>"
"How to determine the size of highest density region in high dimensions","<bayesian><markov-chain-montecarlo><posterior><credible-interval><highest-density-region>"
"how to compute the prediction standard error of zero-inflated count data regression using R","<r><regression><confidence-interval><standard-error><zero-inflation>"
"Global Estimates for Quantile Regression","<feature-selection><regression-coefficients><quantile-regression>"
"WGAN-GP stability loss","<machine-learning><tensorflow><autoencoders><gan><audio>"
"Best Choice of Estimator. How to compute Variance of Estimator.Basis for it?","<variance><estimation>"
"How are Durbin-Watson critical values calculated?","<durbin-watson-test>"
"Regression models with variables from different unit of analyses","<regression><mixed-model><multilevel-analysis>"
"Evaluating covariance terms for variance of residual in simple linear regression","<regression><self-study><variance><covariance><residuals>"
"How to define precision@k in this KDD paper?","<machine-learning><mathematical-statistics><recommender-system><precision-recall><precision>"
"mixed-effect vs ols regression?","<mixed-model><lme4-nlme><least-squares>"
"Why a set of highly correlated feature can sometimes perform better than low correlated feature on neural network?","<regression><machine-learning><neural-networks><correlation><feature-selection>"
"Why is CL = 1 - alpha","<confidence-interval>"
"Normal distribution & Hypothesis testing queries","<machine-learning><hypothesis-testing><neural-networks><confidence-interval>"
"how to find percentage of total variation from population covariance matrix and population mean matrix","<pca><multivariate-analysis><covariance-matrix><population>"
"How is slope calculated in a calibration plot?","<r><calibration><loess>"
"test statistics needed for data to be normalised","<regression><machine-learning><correlation><t-test><feature-selection>"
"Relationship between KL divergence and correlation","<mathematical-statistics><correlation><information-theory><kullback-leibler>"
"GAM with binomial distribution and with spatial autocorrelation in R","<r><autocorrelation><spatial><generalized-additive-model><mgcv>"
"Subsampling large dataset before testing?","<r><hypothesis-testing><statistical-significance><large-data><subsampling>"
"Fairly comparing performance of ML models trained with different numbers of features","<machine-learning><feature-engineering>"
"Fitting lognormal distribution from D10, D50, and D90","<distributions><sample><fitting><lognormal-distribution>"
"Panel data: why the general model can not be estimated?","<estimation><panel-data><stata>"
"Do There Exist Two Random Vectors Having a Given Matrix as their Cross-Covariance Matrix?","<random-variable><covariance><covariance-matrix>"
"How to find the posterior predictive distribution of a hierarchical model where the dependent variable is group indexed?","<multilevel-analysis><markov-chain-montecarlo><hierarchical-bayesian>"
"Asymptotic distribution of extremum of two objective functions with the same limit","<asymptotics>"
"Understanding the output from coxph when used with pspline","<survival><cox-model><nonlinear-regression><splines>"
"Which indicator can I use to compare clusters/subpopulations inside different populations","<clustering><tukey-hsd-test>"
"Multiple linear regression while using only the explanatory variables with largest correlation (by magnitude)","<regression>"
"Start values for hyperparameter optimization in Gaussian Process Regression","<gaussian-process><hyperparameter>"
"Interpreting the threshold shift/nominal effects variables output from a cumulative link model (CLM) from ordinal package","<r><ordinal-data>"
"R gam force coefficient to be non-negative","<r><generalized-additive-model><mgcv>"
"Assigning gender based on first name when have missing data?","<missing-data><data-imputation>"
"What are the cv.glmnet coefficients?","<r><probability><ridge-regression><glmnet>"
"How to test the null hypothesis that two linear regression lines have the same Y value for a particular X value?","<regression><hypothesis-testing><ancova>"
"Why a false positive is called type I error and a flase negative a type II error?","<terminology><type-i-and-ii-errors><history>"
"Non-adversarial robustness","<estimation><estimators><robust>"
"Random forest for high dimensional data with repeated measures (the LongituRF package in R)","<mixed-model><repeated-measures><random-forest><panel-data><high-dimensional>"
"How to prove the tail behavior of the sum of random variables with one dominating?","<probability><convolution>"
"How to deal with standard deviation using percentage values","<data-visualization><mean><standard-deviation>"
"How can I force sklearn decision tree to select predefined feature as the root?","<classification><scikit-learn><cart>"
"Identifying cut off lag from PACF","<time-series><arima>"
"YoloV3: Training set, true label boxes vs anchor boxes","<machine-learning><neural-networks><object-detection><yolo>"
"R: INAR / Integer-valued Autoregression order 1 with Poisson and Negative Binomial","<r><generalized-linear-model><maximum-likelihood><autoregressive>"
"Why does AdaBoost algorithm use weighted data points?","<machine-learning><boosting><adaboost>"
"Gaussian random fields and multiple-output Gaussian processes","<references><gaussian-process><random-field>"
"prove the difference between mean and median is less than the variance","<self-study><variance><mean><median><inequality>"
"Feature engineering for fraud detection with Isolation Forest","<machine-learning><feature-engineering><unsupervised-learning><fraud-detection><isolation-forest>"
"Multi-response MCMCglmm with random and fixed effects","<r><multivariate-analysis><glmm>"
"Simple Numeric example to understand Pointwise Mutual Information","<probability><pointwise-mutual-information>"
"Nadaraya-Watson regression alternative for binary outcome","<regression><nonparametric><binary-data><nadaraya-watson>"
"Replicating Results & Clustered Standard Errors in R","<r><clustered-standard-errors>"
"scipy norm.pdf return probability of a particular outcome","<distributions><normal-distribution><continuous-data><scipy>"
"Power simulation for Difference-in-Difference","<r><statistical-power><difference-in-difference>"
"What is the recommend function for Ridge regression","<r><regression><machine-learning><multiple-regression><ridge-regression>"
"Best statistic to compare disease appearance in two distinct groups","<statistical-significance><chi-squared-test>"
"Event-based markov chain with observed covariates at non-constant time intervals","<logistic><classification><markov-process><predictor><state-space-models>"
"Memorylessness of exponential and expectation","<conditional-probability><conditional-expectation><exponential-distribution>"
"Logit Laplace Loss Function","<logistic><loss-functions><laplace-distribution>"
"Clustering with gaussian mixtures: choice of hyperparameters","<bayesian><clustering><gaussian-mixture-distribution><hyperparameter><wishart-distribution>"
"semi-supervised classification with a single label","<classification><unbalanced-classes><semi-supervised-learning>"
"KPSS test: p-value greater than 0.05 but test statistic is less than critical values","<time-series><python><t-test><statsmodels><kpss-test>"
"What is ""categorical target variable"" in SAS EM","<categorical-data><predictive-models><sas><decision>"
"auto.arima - What am I doing wrong?","<r><forecasting><arima>"
"How does Word2Vec CBOW softmax work with multiple context words?","<neural-networks><natural-language><word-embeddings><word2vec><softmax>"
"What is Cromwell's rule and why is it important for Bayesians?","<bayesian><prior><philosophical>"
"Sample size calculation for comparison of 3 groups","<r><sample-size><stata><statistical-power>"
"How to analyze time spent in mutually exclusive but related categories?","<categorical-data><non-independent>"
"Comparing significant differences between a linear regression on same data coded as ordinal or interval","<regression><statistical-significance><multiple-regression><ordinal-data>"
"Finding the P-value from T-test","<mathematical-statistics><p-value>"
"Zero inflated generalized poisson: How can I compare 2 models?","<generalized-linear-model><goodness-of-fit><poisson-regression><zero-inflation>"
