title,tags
"Are there any frameworks for managing the exchange of XLM between two XLM addresses when the receiving end party address isn't known?","<xlm><transactions>"
"Where is the name 'Stellar' derived from?","<history>"
"What day of the week does the Stellar network pay out inflation?","<inflation><lumens>"
"How do tokens give one cash?","<transactions>"
"How to set inflation for tokens?","<inflation><token><ico>"
"Why can't you purchase XLM using standard currency?","<transactions><xlm><purchasing>"
"Offers have an amount and a price. Why not just two amounts?","<operations>"
"How can I create a paper wallet for Lumens?","<lumens><cold-storage><paper-wallet><wallets>"
"Error: no PRNG in Safari web workers","<javascript-sdk>"
"How much inflation to expect each week?","<lumens><inflation>"
"How do I conduct data analysis on Stellar?","<data>"
"What are the best ways to calculate the time for XLM transaction based on the projected growth of the network?","<transactions><xlm><network><speed>"
"How are the Stellar (XLM) and Ripple (XRP) protocols different?","<xlm><xrp><ripple><protocol><consensus>"
"How do I select an inflation destination?","<inflation><wallets><xlm>"
"Does a Historical Traffic Chart for the Stellar Lumens Platform Exist?","<transactions><lumens><data>"
"How to close a stream event?","<javascript-sdk><stream>"
"What would a transaction between two parties who unknowingly use XLM look like?","<transactions>"
"How might the account 'Flags' evolve over time?","<accounts><flags>"
"'Skip List' examples?","<protocol><ledger>"
"Regarding Data Entry extensibility","<wallets><data><attachments>"
"How do nodes in the Stellar network work?","<transactions><network>"
"How would I make a transaction to buy a physical product using the Stellar Network?","<transactions><xlm><purchasing><protocol>"
"What is the correct way to implement sub-accounts within one master account?","<lumens><accounts><memo>"
"How to create a token on the stellar network?","<xlm><token>"
"How do I install the Stellar app on my Ledger Nano S","<wallets><ledger><ledger-nano>"
"What is the incentive to run a Stellar node?","<stellar-core><nodes><validators>"
"What is the rationale behind locking up base_reserve?","<transactions><accounts><base-reserve>"
"Find accounts that vote for an inflation destination","<inflation>"
"Terminology - What's a Ledger in Stellar?","<ledger>"
"Is it possible to forward transaction fee onto someone else?","<transactions>"
"Can Stellar Assets be transferred to an un-trusting account?","<assets>"
"What's the rationale behind Stellar Inflation?","<inflation>"
"How to find a secure wallet","<wallets><security>"
"How big is the ledger?","<ledger><nodes><validators>"
"How do you fund an account on the testnet?","<accounts><testnet>"
"A beginner friendly and transparent guide to inflation pools?","<inflation>"
"Is there a way to unset home domain and inflation destination options?","<operations><javascript-sdk><options>"
"Is something like smart contracts possible in Stellar?","<xlm><lumens>"
"Is inflation voting chain based?","<inflation><accounts>"
"Where will the tokens released on Stellar be stored?","<token><token-wallet>"
"Are there any known weaknesses in the Stellar Consensus Protocol?","<security><consensus><scp>"
"Is stellarpool.net safe?","<inflation>"
"How can I find my test transaction from Get Started Guide code on the Stellar TestNetwork?","<transactions><beginners><developersguide><testnet>"
"Send funds with Fees Included or Not Included?","<purchasing><payments><fees>"
"Is it possible to require authentication without a federation server?","<transactions><compliance>"
"How is Stellar base reserve voted?","<fees>"
"How to become a ""Verified entity"" on Stellar Dashboard?","<dashboard><nodes><verification><validators>"
"Is there a speed difference between the SDKs?","<transactions><stellar-sdk><speed><horizon>"
"What prevents the Stellar Development Foundation from flooding the market with the ~90M XLM they hold?","<network>"
"How do I keep track of payments to an address with JS SDK?","<javascript-sdk><payments><stream>"
"Can Stellar-core be packaged in a container system such as Docker?","<stellar-core><horizon><docker>"
"What knowledge and skills are needed to create an App payment checkout with Stellar Network?","<xlm><wallets><payments><checkout>"
"What is the status of the Stellar Open Institute? Can developers still get involved?","<developersguide><new-developer>"
"Web Wallet requirements","<wallets><security>"
"Are there any steps taken to prevent spamming the Stellar network?","<transactions><fees>"
"Reserve Balance Increase for Each Trustline?","<wallets><trustline>"
"How do I ensure that validator maintenance is safe for the overall network?","<network><nodes><validators><upgrade>"
"How does the Stellar Consensus Protocol prevent Sybil attacks?","<consensus><scp><sybil-attack>"
"Do transaction fees scale with the size of the transaction?","<transactions><fees>"
"What is the purpose of the Inflation *operation*?","<inflation>"
"How does Stellar solve the problem of ""double-spending""?","<security>"
"How can I determine when the last inflation was distributed?","<inflation>"
"Is there an online wallet that supports 2FA and pays inflation?","<xlm>"
"Instantly distributing payments to multiple parties","<transactions><payments>"
"How to find the public key given only the seed?","<accounts><security>"
"Can an inflation pool be hacked to send all weekly lumens to 1 address? [third-party]","<security>"
"Upper limit for managed data","<accounts><data>"
"Why is Stellar on HTTP and not HTTPS?","<security><horizon>"
"Inflation pool ledger protocol","<security><ledger-nano><stellar-laboratory>"
"Transaction fails without error code","<transactions><testnet>"
"What is the best method for key validation?","<key><keypair><seed>"
"How to get base64 envelope for transactions or operations?","<xdr>"
"How do I use the flag: authorization revocable","<security><assets>"
"Does the ratio of number of transaction of number of operation mean something?","<transactions><operations>"
"Is there a way to get a list of all asset pairs being traded on the distributed exchange, and the order book for each?","<dex>"
"Question regarding Stellar Attachment Convention 'route' param and general clarification","<transactions><protocol><attachments>"
"How is stellar going to help the underbanked?","<banks>"
"How is node membership handled on Stellar?","<network><consensus>"
"How to get a list of all nodes on the network","<network><nodes>"
"How to generate a Stellar keypair without the SDKs?","<keypair>"
"How to build and sign transactions without SDKs?","<stellar-sdk>"
"Comparison of Transaction Speeds vs. Other Platforms","<transactions><speed>"
"Does every transaction on Stellar need XLM as a bridge between 2 assets?","<xlm><fees><asset-pairs>"
"How much bandwidth does a running validator use?","<validators>"
"Can I create a non-fungible token?","<token><assets>"
"Which cryptographic algorithm is used to generate the secret and public keys?","<keypair><cryptography>"
"Is the client responsible for the federation lookup and response?","<wallets><federation>"
"Why is asset conversion limited to 6 hops?","<stellar-core>"
"Why did the project settle on XDR for external data serialisation?","<xdr>"
"When is account sequence number incremented?","<transactions><accounts>"
"Enforcing Non-Native Asset Transactions","<transactions><accounts><new-developer>"
"What is the process for the community to propose an XLM lockup?","<xlm><stellar-core><xrp><ripple>"
"Any way to encode useful information into the memo?","<memo>"
"What is the Safest Way for Users to Sign Transactions Over the Web?","<transactions><wallets><security>"
"How do 2 people sign a transaction from different clients?","<transactions><security><payments>"
"Reason for base fee change?","<fees>"
"Who is the bifrost counterparty?","<bifrost>"
"How does the Stellar Network tell the difference between a newly issued token and a Lumen?","<xlm><lumens><token><assets><ico>"
"How can I list and sell Stellar based Tokens (not XLM)?","<xlm><token><exchanges><issuing>"
"Do tokens created through Stellar map one-to-one?","<xlm><token><assets><issuing><multi-sig>"
"Freezing assets and sending them back to the original issuer","<transactions>"
"ChangeTrustNotAllowed Error","<horizon>"
"What encoding is used for the data in account data?","<accounts><encoding>"
"What is ""Bump Sequence""?","<transactions><accounts><fees><sequence-number><lightning-network>"
"How can a validator node earn trust on the network?","<validators><scp>"
"How are changes in the stellar protocol implemented?","<fees><validators><protocol><consensus>"
"How can I generate the Secret Key from my Ledger Nano S 24 word passphrase (BIP39)?","<ledger-nano>"
"Connecting to transaction server sockets","<server>"
"Is there a public queryable version of Stellar.db out there?","<inflation><data>"
"What do I need to know to set up a business to accept cryptocurrency through the stellar blockchain","<business>"
"Authorization immutable (0x4) - Use case","<accounts><flags><authorization>"
"Custom keypair with the Ledger Nano S","<xlm><ledger-nano>"
"XLM storage on hardware wallets Ledger Nano S vs Ledger Blue","<xlm><ledger-nano><ledger-blue>"
"Scalability on Stellar network","<xlm>"
"How to connect to peers/store into account/accountdata tables when running stellar-core on windows?","<stellar-core><windows><peers><postgres>"
"How to use the ManageOfferOperation with Assets in the Java SDK?","<java-sdk><manageofferoperation><asset-pairs>"
"How to access the ""All Operations"" Horizon endpoint using the Go SDK?","<horizon><go-sdk>"
"What is the average transaction time on the Stellar network?","<transactions>"
"What is the Stellar transaction data structure?","<transactions>"
"Is it possible to run Stellar over Tor?","<security>"
"Inflation from a cold wallet?","<inflation><cold-storage>"
"How can I configure horizon to download and retain the entire history and never delete it?","<horizon>"
"How do I get an historic view of the inflation votes?","<inflation><ledger><history>"
"Which is the real funding account? Duplicate funder in blockchain","<accounts>"
"Does the second letter of the public address having any meaning since it only appears to be one of four characters?","<keypair>"
"Issue with Stellar Quickstart Docker Image","<horizon><docker>"
"How can I build a transaction with a dynamic list of mutators or operations using the Go SDK?","<transactions><operations><go-sdk>"
"How to parse current offers with the Java SDK","<java-sdk>"
"Add and remove multiple signers in one transaction","<transactions><xdr><options><cli>"
"Using Java api, how to find out the memo attached to a payment operation?","<java-sdk>"
"How to listen to a third party account for stellar transactions from now?","<java-sdk>"
"How/where can I host a stellar-core watcher node outside of local?","<stellar-core><nodes>"
"When is a slot created in the Stellar Consensus Protocol?","<consensus><scp>"
