title,tags
"How much space do I need for a colony of grasshoppers?","<husbandry><food><insects>"
"How to utilize a boreal forest for animal husbandry?","<food><permaculture><animals><husbandry><fodder>"
"How much area to feed the colony of snails?","<husbandry><food><mollusca>"
"What is the best vegetation to build a thatch for British climate?","<housing>"
"How to preserve meat during warm months without electricity?","<food><preservation><meat>"
"Before drilling a well, how can I determine any water table impact?","<water><water-management><construction><planning>"
"Is it feasible to compost in an apartment in a city like New York?","<composting><city-living><balcony>"
"What non-toxic products can I use to keep my kitchen counters clean and safe?","<cleaning><hygiene><safe-chemicals>"
"How can I remove PCBs from my soil?","<toxic-chemicals>"
"How to determine whether hybrid cars are really more sustainable than traditional cars?","<cars><life-cycle-analysis><transport><externalities><hybrid-vehicles>"
"How can an employer induce snack food companies to package in compostable materials?","<composting><waste>"
"How to pick furniture and carpeting that is safe for a home with low ventilation?","<safety><furniture>"
"Does a compost pile for food scraps need some kind of starter material?","<composting>"
"Are there any commercially available endophytic fungi to protect fruit trees against rusts?","<permaculture>"
"What is a good way to produce drinking water?","<water><diy><water-management>"
"Are LEEDs certifications available for homes?","<leed-certification><home>"
"Is there a formula to calculate the amount rainwater you need to collect to be fully sufficient in watering your plants?","<water><gardening>"
"How to get rid of greenfly in roses and grapes without toxic chemicals?","<gardening><pesticides><safe-chemicals>"
"Producing my own energy options in urban area with windows but no roof access?","<energy><solar-power><electricity><city-living><energy-management>"
"What equation should be used to determine fish load to grow bed (filtration) ratio","<aquaponics><filtration>"
"What produce in Central Texas works in hanging towers?","<aquaponics>"
"What is the most efficient design to use when constructing a bell siphon","<aquaponics>"
"Can I prevent hazardous medicine leaving my body from entering the biosphere?","<waste>"
"What is the most sustainable way to professionally clean my carpets?","<cleaning><home><carpet>"
"How to keep warm with limited use of fire?","<heating><housing><survival>"
"Should I use my wood fireplace?","<ecological-footprint><heating><fireplace><natural-gas>"
"Would monocrystalline or polycrystalline solar panels perform best in a UK climate?","<solar-power><electricity><photovoltaics><uk>"
"Why shouldn't meat be placed in my compost pile?","<composting><meat>"
"Indoor tilapia aquaponic farm in condo/apartment?","<food><aquaponics><apartment>"
"How can I determine whether roof top wind turbines would be beneficial in my area?","<energy><wind-power>"
"What percentage of plastic drinking bottles is recycled after use, worldwide?","<recycling><waste><plastic>"
"What’s the best strategy for turning off CFLs that will save energy but not reduce lifespan so much","<energy><electricity><light><energy-management>"
"What are the downsides to so called greenware items?","<composting><externalities><plastic>"
"Biodegradable cleaners to remove mold?","<cleaning><alternatives>"
"Switching to Toilet/Sink Combo","<water><home>"
"How can I add thermal mass to a woodstove, without a lot of weight?","<woodstove><heating>"
"What's an effective design for sending sink water to a toilet tank?","<water><greywater>"
"What is in vermiliquid (worm tea)? Or perhaps more importantly, what is not in vermiliquid?","<gardening><vermicomposting>"
"Yeasts - Home production for alcoholic beverages / Baking / etc","<food><home><diy><fermentation><prepping>"
"Alternative to Toilet Paper?","<toilet><alternatives><paper>"
"Which gases increase the greenhouse effect more than carbon dioxide?","<gases><greenhouse-gas-emissions>"
"Infrastructure layers for a green roof?","<city-living><plants><green-roof>"
"How do I estimate my personal ecological footprint?","<ecological-footprint>"
"Local greenhouse/hothouse vegetables vs. remote naturally-grown vegetables","<food><environmental-impact><greenhouse>"
"Impact of various travelling options","<ecological-footprint><transport>"
"Is interest sustainable?","<economy>"
"Maintaining or treating harvested water for animal consumption","<water><animals>"
"Are economies that need growth unsustainable?","<economy>"
"Any use for Norfolk Island Pine leaves?","<reuse><plants>"
"When are you a locavore?","<untagged>"
"What is an energy efficient way to get fresh air indoors during winter?","<energy><heating><home><building><ventilation>"
"How can consumers persuade manufacturers to make their products more sustainable?","<manufacturing>"
"What's the typical energy usage of automatic light switches?","<home><energy><light>"
"How can I save seeds from a tomato for replanting?","<food><gardening>"
"Do small portable solar chargers generate more energy than it costs to produce them?","<solar-power><life-cycle-analysis>"
"How can you compare the costs of using public transportation versus using a personal car?","<city-living><externalities>"
"Can I measure the average electricity consumption of a specific website design?","<electricity><green-it>"
"Minimum amount of time to use a consumer electronic?","<life-cycle-analysis><embodied-energy>"
"Are there any 'home-grown' substances that can be used to clean carpet stains?","<home><cleaning><carpet>"
