title,tags
"How to choose the proper future form of verbs, e.g. “буду писати” vs. “писатиму”?","<дієслова><вибір-слова><дієвідмінювання>"
"Український відповідник для операції ""push-relabel"" в алгоритмі на графі","<переклад><терміни><from-english>"
"How to choose between the changing consonants in the root?","<відмінювання><приголосні><чергування>"
"Як правильно вживати слова ""запитати"" та ""попросити""?","<переклад><вживання-слів>"
"Як правильно передавати українською мовою російські імена?","<переклад><from-russian><власні-назви><іноземні-імена>"
"Правильне вживання назв професій та посад жіночого роду","<граматика><фемінітиви>"
"Хто і в який спосіб затверджує зміни до правопису української мови?","<orthography><language-regulation>"
"Як правильно буде українською ""desktop application""?","<переклад><терміни><from-english>"
"Чому багато із тих, хто вважає українську мову своєю рідною, не говорять нею навіть у публічних місцях?","<соціолінгвістика>"
"Які мови є найближчими до української мови?","<історія-мови><linguistics>"
"Чи вживається двоїна в сучасному мовленні?","<іменники><число>"
"Як правильно перекласти ""Default value""?","<переклад><терміни><from-english>"
"Чи є слово ""пилосос"" нормативним в українській мові?","<росіянізм><іменники>"
"Який символ використовувати для позначення апострофа в електронних текстах українською?","<пунктуація><типографіка><software>"
"Is there a difference between meaning of word позаяк vs. так як?","<значення-слів>"
"Is it ok to speak in a mixture of Russian and Ukrainian?","<росіянізм><соціолінгвістика>"
"Тверді приголосні перед «і»?","<фонетика>"
"Навіщо потрібен апостроф перед «ї»?","<orthography>"
"How would you say ""gentle reminder"" in Ukrainian?","<переклад><from-english><етикет><фразеологізми>"
"Яка правильна артикуляція голосних звуків української мови?","<фонетика><resource-request>"
"Що є більш правильним ""застосунок"" чи ""додаток""?","<переклад><терміни><from-english>"
"Як відрізняти росіянізми від збігів/слів зі спільним коренем?","<росіянізм>"
"Відмінювання прізвищ із закінченням ""ко""","<граматика><orthography><власні-назви>"
"Допоможіть з пошуком оригіналу перекладеного вислову ""непозбувна бентега""","<переклад>"
"What are differences between Russian and Ukrainian punctuation rules?","<пунктуація><cross-language-comparison>"
"Як правильно ставити наголос в прізвищі Бойчук і чи впливає на це історичне походження прізвища?","<власні-назви><наголос>"
"Переклад тенісної термінології: backhand та forehand","<переклад><from-english><терміни>"
"Як перекласти поняття ""source code""?","<переклад><from-english><терміни>"
"Чому в одному випадку люди обирають запозичене слово, а в іншому вигадують власне?","<linguistics><соціолінгвістика>"
"Як перекласти українською «rebate» у контексті «інструмент стимулювання продажів»?","<переклад><from-english><терміни>"
"Утворення прикметників з числівників та іменників","<граматика><прикметники><числівники>"
"Різниця між пробачте, даруйте і перепрошую?","<вживання-слів><різниця-між-словами>"
"Чи всі терміни мають бути перекладені українською?","<запозичені-слова>"
"Приклад і прикладна математика","<терміни><етимологія>"
"Any rating by the vocabulary richness for modern Ukrainian literature works (or authors)?","<linguistics>"
"Any tools which allow to measure range of vocabulary in Ukrainian language text","<linguistics><resource-request>"
"How to translate into Ukrainian words: look, see, watch","<переклад><from-english>"
"Як правильно перекласти ""aftercare"" в значенні ""продлёнка""?","<переклад><from-russian><фразеологізми>"
"Як перекласти англійською сталий вираз: ""Як бідному женитися, то ніч мала""?","<переклад><фразеологізми>"
"Does Ukrainian have a subjunctive mood?","<граматика><дієслова><дієвідмінювання>"
"Чи звуки [ґ], [д͡з] і [д͡ж] вважаються офіційними звуками в Українській мові?","<фонетика><приголосні>"
"Comprehensive rules for noun case endings","<граматика><non-native-speaker><іменники><відмінювання>"
"Чи дійсно є різниця між управлінням та керуванням?","<різниця-між-словами>"
