title,tags
"Can I install apps on ""/home"" / home directory instead of ""/user"" directory?","<software-installation><dual-boot>"
"Bash history size on Amazon Linux 2","<linux><bash>"
"How are time namespaces supposed to be used?","<linux><namespace><clock><unshare>"
"How do I install a tarball with home-manager?","<nixos><nix>"
"Can't connect to the internet after installation in Arch","<arch-linux><wifi>"
"Is the strings command equivalent to cat on non-binary file?","<cat><binary>"
"How do I remove an ip address from an interface?","<networking>"
"Why can't I use the strings command on the strings binary?","<cat><binary>"
"Is there any Rossetta 2 (SBT Static Binary Translation) alternative on Linux?","<linux><kvm><qemu><arm><x86>"
"Json to Table format using shell script","<bash><shell-script><shell><json>"
"Using the ""$@"" special args in a new bash command (bash -c)","<bash><arguments>"
"How can I use volume in /home","<linux><docker><volume>"
"Problem creating a service on kali","<kali-linux><windows-subsystem-for-linux><systemctl>"
"iOS SpringBoard Crashes after starting any app","<crash><ios>"
"Do I need wpa_suppliciant and wireless_tools if I use nmcli to connect to wifi?","<linux><networking><arch-linux><software-installation>"
"Save bash output from asynchronous api requests to a file?","<bash><shell-script><shell><curl>"
"Create dir with permissions using uid/gid?","<permissions><docker>"
"Give commands to print the lines containing the word “Unix” or “unix” in aa.txt file. Try to use grep, awk and sed command (3 different commands)","<awk><sed><grep>"
"Unable to install any package in debian OS","<debian>"
"debian10 /run/folder disappears and tmpfile.d entry dosn't work","<debian><systemd><freeradius>"
"How to set up Wireguard VPN server that is routing on 2 network interface","<ubuntu><routing><vpn><wireguard>"
"Python 3 version outdated on Mint 20.1","<linux-mint><upgrade><python3>"
"NAT: Getting no route to host error from private network but ping is working","<networking><rhel><firewall><nat><gateway>"
"Unable to open Bliss OS after making changes in boot code","<shell><grub><boot-loader><android><solus>"
"Can modern printers be used without drivers?","<printing>"
"Print date and sha512 sum to file?","<bash><shell-script>"
"Bootable USB-Stick with minimal OS (Debian)","<debian><usb>"
"Where I can find the manpage of IF condition of bash?","<bash>"
"futex_wait vs nanosleep in implement user-space sleep","<kernel>"
"Smoother resizing in tiling WMs","<arch-linux><tiling-wm><bspwm>"
"I want to remove newline(\n) at the last from each line in a fixed widh flat file","<bash><shell-script><shell>"
"Qemu/KVM is blinking (Windows guest)","<kvm><virt-manager>"
"How To Download Kali linux Old ISO From Official Sources Like kali.org","<kali-linux><iso>"
"Can I change FIELDWIDTHS for each line of an awk script?","<awk>"
"Starting systemd service without network","<systemd><services>"
"how can I pipe the output of ""wc"" to an inequality (-gt) without using ""if;then"" syntax?","<bash><pipe>"
"Creating an empty line","<echo>"
"xhci_pci not working with Fedora 33 on RaspberryPi4","<fedora><boot><raspberry-pi><arm>"
"Setting ACLs for directories that don't exist (yet)","<setfacl>"
"Can't install apt-transport-https on Debian 9 stretch due to unmet dependencies: apt (>= 1.5~alpha4)","<apt><package-management><docker><dependencies><aptitude>"
"ttyUSB repeatable names","<usb><tty><serial-port><ttyusb>"
"Is it possible to transport data from sslyze tool to burp suite?","<ssl>"
"What does state ""I"" mean in htop?","<linux><htop>"
"IdeaPad 5 15are05 touchpad not working after fix in Pop!_OS","<linux-kernel><drivers><touchpad><pop-os>"
"How to make sure if I rescued all the data from a corrupted ext4 partition?","<ext4><data-recovery><disk-image><sata>"
"UFW - Allow SSH in custom port","<linux><ubuntu><iptables><firewall><ufw>"
"using rsync (or other tool) to correct file time stamps between two systems","<files><rsync><backup>"
"Error output from ls -A results in error output, why?","<ls><error-handling>"
"Using virt-install within a larger script","<scripting><kvm><libvirt>"
"How to fix Read only permission for secondary hard disk drives","<linux-mint><filesystems><readonly>"
"How to use rsync correctly to compare file hashes of two directories incl. subdirectories and interpret its output?","<rsync><directory><remote><hashsum><file-comparison>"
"Why does my env command open the wrong executable?","<bash><environment-variables><path>"
"Jq Invalid numeric literal at EOF","<json><jq>"
"3D renderings have triangular cuts in several applications","<graphics><3d>"
"Bash: Iterating over multiple arrays changes array values","<bash><shell-script><shell>"
"Npm won't install SOCKET.io due to Node version?","<socket><error-handling><node.js><npm>"
"How to download Flash Player for Opera Browser Debian 10? Step by Step","<linux><terminal><flash><opera>"
"rsync seems to ignore modified time","<rsync><backup>"
"Ubuntu stuck at boot","<ubuntu><systemd><boot>"
"Send CTRL SHIFT LETTER in Linux TTY console with loadkeys / keymappings","<arch-linux><keyboard-shortcuts><keyboard-layout>"
"Is there any guide how to write bash scripts compatible with both CentOS and Ubuntu","<bash><portability>"
"Neither TightVNC nor VNC View is able to connect to remote host","<linux><vnc><remote-desktop>"
"Nginx reverse proxy redirection on Lan not working","<nginx><reverse-proxy><lan>"
"Syntax error near unexpected token `(' when running .sh script","<bash><shell-script><ubuntu>"
"Replacing Google Cloud Print in Raspbian based order printer","<raspberry-pi><raspbian><google-cloud>"
"If I execute this program via terminal it opens, but if I open it via .desktop file it doesn't","<bash><shell-script><command-line><.desktop>"
"Uploading files to remote server and batch rename","<bash><files><rsync><rename><scp>"
"After installing KDE Plasma, the default file manager became dolphin for browsers on Gnome","<ubuntu><gnome><kde><nautilus><pop-os>"
"How can i repair grub after installing Windows 10?","<debian><windows><grub2><dual-boot>"
"Virtual Machine Manager missing selection/does not include Windows 10","<debian><virt-manager>"
"How to tell if I am on active virtual console?","<linux><tty><chvt>"
"how to use cURL on specific route","<curl><ipv6><route><traceroute>"
"How to get free available disk space with command?","<disk-usage><disk>"
"nftables systemd service fails to start when using Netdev address family","<systemd><services><nftables><delay>"
"how to add a icon in dmenu file launcher","<dmenu>"
"how to identify top of the hour in a shell script","<bash><shell><cron>"
"Debian 10 - Broken MariaDB update - system upgrade problems","<debian><mariadb>"
"server not found while using nat network in kali linux","<linux><networking><kali-linux><virtualbox><virtual-machine>"
"Usb camera usually disconnects and reconnect, but sometimes it disconnect and is not able to reconnect","<usb><camera>"
"Finding text file's encoding","<linux><files><iso><character-encoding>"
"Bash function seems to not want to correctly run lines","<bash><shell-script><function>"
"Prevent NetworkManager from storing WiFi connections and passwords for all users by default","<networkmanager>"
"While loop not looping for file contents","<bash><shell-script>"
"How to use(or find or modprobe) .ko in cat modules.builtin","<kernel><kernel-modules><embedded><arm><flash>"
"Which part of Flask is writing /tmp/#<int> files?","<python3><apparmor><uwsgi>"
"slub_min_objects : How comes 0 can stand as a valid / default value?","<linux><virtual-memory><kernel-parameters><high-performance>"
"Postgres from script shell","<bash><shell-script><postgresql>"
"Unable to Understand Continues Port FLAPPING on Switch","<linux><networking>"
"PartMan does not change partitions labels","<debian-installer>"
"How to set right input to ""while read line""?","<shell-script>"
"apt --fix-broken install not working on raspberry pi","<apt><software-installation><raspbian>"
"How to make urxvt open link when clicked with Ctrl","<configuration><rxvt>"
"Using Logitech mouse & keyboard on TESmart KVM switch with ubuntu 20.04","<linux><ubuntu><keyboard><usb-device>"
"smartctl questions (newbie) for Silicon Power 1TB caddy USB external HD","<usb-drive><external-hdd><smartctl><sata>"
"How to make a script which create a file with the info i want?","<linux><centos><scripting><programming>"
"Standalone Linux Samba Server Authenticated by AD LDAP Backend?","<ubuntu><samba><ldap>"
"How does linux know to mount / without /etc/fstab","<linux><systemd><boot><linux-kernel><initramfs>"
"How can I start a login shell with options?","<bash><login><passwd><restricted-shell>"
"Groff renders brackets and square roots incorrectly","<groff>"
"How to automatically start on boot and restart on crash a python script - the clean way?","<ubuntu><python><gpl>"
"How to download Windows Files on Debian 10 Linux? (.Exe)","<linux><terminal>"
"Built In Speakers do not work, headphones do, USB speakers do","<linux><arch-linux><audio><pulseaudio><alsa>"
"Why does exec print its output after the program exits?","<pipe><c><exec>"
"Create/decompress Zip file with LZMA compression?","<zip>"
"ERROR: xfce4-settings-4.16.1-r0: trying to overwrite [path] owned by exo-0.12.11-r0","<permissions><xfce><alpine-linux><apk-tools>"
"Recommendation for tools or suite that can pull error logs from servers/enclosures","<linux><scripting><logs><hardware><monitoring>"
"Am I making invalid assumptions with regard to my kernel module's shared memory?","<kernel-modules><scheduling><shared-memory>"
"Get content of files with same name in subfolders to obtain a JSON array","<json><sensors>"
"How to count identical 1kb blocks( in C)?","<c>"
"properly install firefox beta (fedora)","<fedora><software-installation><firefox>"
"Leveldb database not working after cloning the volume","<aws><amazon>"
"Disconnecting or closing terminal does not run bash_logout","<bash><.bash-logout>"
"Pressing shift causes '>' symbold inserted in terminal. How to fix this?","<terminal><keyboard-shortcuts>"
"Best resources to learn string manipulation in bash?","<linux><bash><text-processing><command-line><string>"
"Superblock problem on a crypto_LUKS drive","<linux><fsck><superblock><e2fsck><whole-drive-encryption>"
"Running a program once KDE screen saver kicks in","<kde><screensaver><start-stop-daemon>"
"SSH-RSA public key authentication explanation needed","<ssh><openssh><key-authentication>"
"Fresh Ubuntu install doesn't always boot correctly","<ubuntu>"
"separate stderrs of different pipe commands to different tmux/screen/ncurses/... windows?","<bash><pipe><tmux><gnu-screen><stderr>"
"Connect two VirtualBox machines in a network","<linux><networking><virtualbox><virtual-machine>"
"Can't open serial connection to device over usb","<arch-linux><usb><tty><serial-port><ttyusb>"
"How do I set a previous paste buffer in tmux back to the active buffer?","<tmux>"
"Can you please correct this bash","<linux><bash>"
"Framebuffer won't show what I write to it imediately","<linux><video><framebuffer>"
"Internet access for DHCP clients on separate subnet adapter","<routing><bridge>"
"Why does ""ls"" take extremely long in a small directory that used to be big? How to fix this?","<bash><ls>"
"My desktop entry seem to have cached some old entries for some fields","<.desktop><launcher>"
"Different hostnames, same configuration","<hostname>"
"How to run program from bash shell without it running in the process of shell","<bash><shell>"
"how to select files in a directory with the boolean operator AND","<grep><find><regular-expression>"
"Trying read a Sata USB 3.0 Kali linux light","<usb><kali-linux><external-hdd>"
"Regex not matching file using `find` despite being valid","<find><regular-expression>"
"How to open All the media files(with in sub folders) in the folder with vlc in linux?","<linux><shell-script><terminal><vlc>"
"Install AMD drivers on Kali 2.0","<linux><software-installation><kali-linux><path><amd>"
"How to safely discharge UPS using workstation (prevent filesystem damage)","<linux><kernel><storage><readonly><ups>"
"How to prepend numerical order on filenames by Zsh/AWK/...?","<awk><zsh><rename><nl>"
"Detecting when serial RX goes idle between data packets","<serial-port>"
"How to fix error: ""symbol lookup error: /usr/local/lib/libQt5DBus.so.5: undefined symbol""?","<ubuntu><python><libraries><python3>"
"How to use aircrack-ng without wifi adapter or are there any other hacking methods without wireless adapter?","<kali-linux><aircrack-ng>"
"Horizontal gradient background works but solid background doesn't?","<opensuse><suse><wallpaper><persistence><appearance>"
"Tmux mouse-mode on does not allow to select text with mouse","<configuration><tmux><mouse>"
"How to find out a linux kernel ring buffer size?","<linux><kernel><linux-kernel>"
"Systemd stop unit before another unit","<systemd>"
"How do have a directory under which I have all .zsh related files","<debian><zsh>"
"Replace each tab ONLY at the beginning of each line with spaces","<sed><vim><whitespace>"
"Very slow graphic display refresh after upgrade from Linux Debian Wheezy 7.9 to Jessie 8.6","<debian><nvidia>"
"How do I check if either or both of the two files exist?","<shell-script><files><scripting>"
"gdebi Dependency is not satisfiable","<apt><kali-linux><64bit><skype>"
"Bulk renaming of camelcase files to include spaces","<find><rename><xargs>"
"Proper setup for multi boot","<partition><dual-boot><partition-table>"
"Awesome WM: Change Tag Label Color for Notifications?","<awesome>"
"View what to delete before taking action","<vim>"
"Alsa and gnome aren't cooperating","<linux><debian><gnome><audio><alsa>"
"How would I request that a future version of squashfs incorporate shadowing functions?","<linux><squashfs>"
"How to send the ESC signal to vim when my esc key doesn't work?","<vim>"
"What text editor was used by Thompson and Ritchie in the writing of Unix?","<history><editors><ed>"
"How does ssh run a command?","<shell><ssh>"
"How does Ubuntu keep persistent access permissions for mount points of automatically per-user mounted devices?","<ubuntu><permissions><mount><automounting>"
"output garbled when running ""xargs ls"" in parallel","<find><ls><sort><xargs>"
"What's wrong with `if ($num1 -eq 0) || ($num2 -eq 0)` in a bash shell script?","<bash><shell-script><shell>"
"Detecting where to bind to receive a UDP broadcast","<linux><networking><socket><udp>"
"where are the zsh builtin prompt themes reside?","<debian><zsh><prompt>"
"Can Python 2.6.6 work with CentOS 7.3?","<centos><python><compatibility>"
"Unescaped left brace in regex is deprecated","<apt><raspberry-pi><raspbian>"
"Shortcut created when mount any drive","<linux-mint><mount>"
"Cinnamon Mint 18.1 crashes after nvidia driver update","<linux-mint><nvidia><cinnamon><crash><proprietary-drivers>"
"How do I install an .rpm that fails with an error about an .so file not being found from Python 2.6?","<centos><python><rpm><compatibility><hadoop>"
"The difference between 'ping' and 'wget' in relation to hostname resolution","<dns><wget><hostname><ping>"
"Limit bandwidth of individual HTTP requests while not throttling total bandwidth","<networking><tc>"
"Is bcache solution for my ssd use case?","<ssd><bcache>"
"How to extract common number across multiple lines?","<text-processing><command-line><grep><posix><numeric-data>"
"Sync two installs of Fedora","<fedora><yum><synchronization><dnf>"
"Assign a random password to all existing users","<shell-script><users><password>"
"replace blank value with previous first column value using awk and sed","<text-processing><awk><sed>"
"OpenSSL Usage to decrypt a string","<encryption><openssl>"
"how to addfile to ipset in shell script?","<shell-script><iptables><ipset>"
"gnupg 2.1.16 blocks waiting for entropy","<linux-kernel><encryption><gpg>"
"How can I get rows with specific columns and specific pattern?","<text-processing><awk>"
"Why does remote Bash source .bash_profile instead of .bashrc","<bash><ssh>"
"How to set PATH when running a ssh command?","<bash><ssh>"
"How can I use DD to migrate data from an old drive to a new drive?","<linux><freebsd><partition><storage><cloning>"
"Distros that support compiling from source","<distros><compiling><source>"
"On Linux, is there an rc.local equivalent for shutdown?","<linux><startup><shutdown>"
"What are your favorite command line features or tricks?","<shell><command-line>"
"What's the best way to partition your drive?","<linux><partition>"
"What does the @ mean in ls -l?","<permissions><osx><ls>"
"How can I tweak my Linux desktop to be more responsive?","<linux><kernel><performance><io><swap>"
"Stop program running at startup in Linux","<linux><startup><shutdown><boot>"
"Which less popular shells do you use and what are their advantages?","<shell>"
"What is using this network socket?","<networking><process><freebsd><open-files>"
"Where should I put software I compile myself?","<package-management><compiling><software-installation><directory-structure><fhs>"
"List of useful `less` functions","<command-line><less>"
"How can I setup Apache on Linux to stream WMV-HD to Xbox 360?","<linux><streaming>"
"Use wpa_supplicant without plain text passwords","<wifi><wpa-supplicant><security>"
"FreeBSD: How to fix ""ping: sendto: No buffer space available""?","<freebsd><networking>"
"RAID 1 in linux","<linux><gentoo><storage><software-raid>"
"What does size of a directory mean in output of 'ls -l' command?","<directory><ls><size>"
"Desktop overlay program showing CPU, HDD, etc. stats","<software-rec><monitoring><desktop-environment>"
"How can I highlight matches using GNU grep?","<colors><grep>"
"What Unix commands can be used as a semaphore/lock?","<scripting><bash><semaphore>"
"Duplicating a Yum-based Linux installation","<yum>"
"How can I set the processor affinity of a process on Linux?","<linux><cpu><process>"
"Recommended reading to better understand Unix/Linux internals","<linux><books>"
"Grub location - did it go to the mbr or elsewhere?","<grub><dual-boot>"
"Best way run a command on each file in a directory tree","<command-line><scripting><directory><find>"
"How do I connect a serial terminal to a KVM instance?","<linux><freebsd><console><kvm><serial-console>"
"chroot ""jail"" - what is it and how do I use it?","<chroot>"
"What are the best general purpose programming tools to complement Vim?","<utilities><programming><vim>"
"Colors in Man Pages","<colors><less><man><pager><termcap>"
"How do I emulate the ""Replaces:"" function of a Debian package in an RPM?","<suse><rpm><packaging>"
"How do you create a user with no password?","<osx><users><password><login>"
"Development environment for C","<command-line><c><editors><ide>"
"Is their a 'friction free' way to convert RAID1 to RAID5?","<storage><raid>"
"Colorizing your terminal and shell environment?","<shell><bash><colors><prompt>"
"Is automake and autoconf the standard way to compile code?","<compiling><programming>"
"What features does Darwin have that other Unixes don't, or vice versa?","<osx><darwin>"
"What are the (dis)advantages of ext4, ReiserFS, JFS, and XFS?","<linux><filesystems>"
"Identity Management with ActiveDirectory","<active-directory><ldap><authentication><pam>"
"How to compile and install programs from source","<compiling><software-installation><source>"
"How do I set the default ftp root folder for an Ubuntu user connecting to VSFTPD?","<ftp><root><user-default>"
"Has anyone got any performance numbers comparing IIS and .NET to Cherokee and Mono?","<performance><mono><.net><asp.net>"
"Explain to a Linux user how do BSD/OSX drivers work","<osx><drivers>"
"In place upgrade of a software raid 5 array","<linux><raid><software-raid>"
"ZFS under Linux, does it work?","<linux><filesystems><zfs>"
"Is btrfs stable enough for home usage?","<linux><filesystems><btrfs>"
"Sftp interface to Scp","<ssh><scp><sftp>"
"How was the shift to 64 bits handled on Linux","<history><64bit>"
"How to process a while-do loop and sort the iterated output","<shell-script><sort>"
"/home/amnesia/myfile: command not found — 64-bit executable, 64-bit kernel","<linux><executable><64bit>"
"Why does flashing a BBB eMMC take so long from SD card, and how can I monitor the progress?","<linux><sd-card>"
"Exact format of xargs -I parameters?","<xargs>"
"XFWM set chrome app launcher placement?","<linux><arch-linux><xfce><chrome>"
"Deleting lines with different patterns in a file","<bash>"
"Unable to delete file ""ldlinux.sys"" from a partition","<ext4>"
"Use MegaCLI to add a new hard disk to existing RAID0 in Linux","<hard-disk><raid0>"
"Get two values from command output in a bash script","<bash><scripting><command><variable><output>"
"rsync: Copy speed decreases while syncing two directories","<rsync><performance>"
"How can I force SOCKS proxy(Danted) to open UDP port","<debian><socks>"
"Shortcut to command in terminal","<fedora>"
"how to I change permissions to all subdirectories except for 1 folder using a single find command?","<files><find>"
"Dell Inspiron 5110 proper drivers for Linux Mint 'Qiana' 32bit/64bit","<linux-mint><drivers>"
"Windows won't boot via grub","<windows><dual-boot><grub>"
"same encryption with /etc/shadow","<linux><centos>"
"Parse two files input in for/while loop","<bash><for>"
"Nix: Skipping unit tests when installing a Haskell package","<compiling><package-management><haskell><nix>"
"Syntax error: word unexpected on io redirection on file descriptor ≥10","<shell><shell-script><io-redirection>"
"SELinux and OpenVPN?","<openvpn><selinux>"
"ATA error: COMRESET failed (errno=-32)","<debian><sata>"
"Getting vim to go to the first line and enter insert mode when writing an email with mutt","<vim><mutt>"
"iptables NAT on Debian openvz","<debian><iptables><nat><openvz>"
"Using the setuid bit properly","<scripting><setuid>"
"Macbook System Profiler formatted","<text-processing><osx><table>"
"Confirm DavMail connection","<email><ldap><smtp><imap>"
"Get the output of the time command","<bash><time><output>"
"Strip Filenames and Rename","<command-line><rename>"
"What is lvmetad and why would I want or need to use it?","<lvm>"
"How to forward IP traffic between wlan0 and eth0 without killing network performance on the forwarding machine","<debian><networking><wifi><ip><forwarding>"
"Sterilize PDF files","<security><pdf>"
"Trying to make aliases that open the last modified file","<bash><shell><quoting><alias>"
"Changing linux config from 32 bit to 64 bit loses RTC","<linux><kernel><configuration><clock>"
"Mapping key bindings","<x11><keyboard><key-mapping>"
"Tar using progress bar and handling multi-volumes","<tar><volume><progress-information><pv>"
"Draw the segments from the given points","<software-rec><graphics>"
"How to read user input when using script in pipe","<bash><pipe><file-descriptors><read><interactive>"
"Why can't my `date` deal with timezones?","<shell><date><coreutils><timezone>"
"Modify bash autocomplete rule to exclude particular file names","<bash><autocomplete>"
"perl rename: Prepending something to a set of file names across subdirectories","<regular-expression><perl><rename>"
"How do I find and remove Nginx from an EC2 instance?","<nginx><amazon-ec2>"
"Forwarding DNS traffic for specific domain","<iptables><dns><firewalld>"
"Hash in the shadow file, but no password?","<password>"
"Is there a way to have Nautilus include mlocate in the results?","<fedora><gnome3><nautilus><locate>"
"How can I delete all text between curly brackets in a multiline text file?","<text-processing><sed><awk><grep>"
"Stop fglrx from loading on boot/unload fglrx module without uninstalling it","<fedora><drivers><fglrx><proprietary-drivers>"
"How can I delete all text between nested curly brackets in a multiline text file?","<text-processing>"
"When parent, child and grandchild processes share a page how does copy-on-write work?","<linux><fork>"
"MAC id eth0 and wlan0 for flexlm servers","<linux><networking><network-interface><ifconfig>"
"Ubuntu overwrites grub, no boot option encrypted debian","<boot><grub><encryption>"
"Server port doenst go back to listen and is in closed_wait state , because of starting an daemon application from client","<c><socket><ipc>"
"Shell Script: grab string in the middle of the text, sometimes in the beginning","<shell-script><text-processing>"
"Securely shredding files","<shell-script><data-destruction>"
"Can't increase partition size due to start","<debian><partition><fdisk>"
"Thunar custom action: Extraction to subdirectories","<command-line><tar><gzip><command-substitution><thunar>"
"Metasploitable questions? (2 questions)","<kali-linux><metasploit>"
"List variables with prefix where the prefix is stored in another variable","<bash><string><variable>"
"Remount Arch Linux installation CD to download some additional packages","<arch-linux><mount><software-installation><live-usb><livecd>"
"Long-running R script is getting killed automatically","<arch-linux><process><r>"
"Open existing notes in Plasma","<kde><plasma><kde5><plasma5>"
"How do I add megabytes to free space when creating partitions to dual boot ubuntu?","<linux><ubuntu><partition><dual-boot>"
"Skype installation on Debian Jessie","<debian><skype>"
"Bash variables - Any extract tricks based on the order?","<bash><variable>"
"How do I include commands in an echo statement?","<echo>"
"Check variable is an array in Bourne like shell?","<bash><shell><zsh><ksh><yash>"
"How to store 10 random numbers in an array then echo that array?","<shell-script><array>"
"How do I access a static IP based Unix server from my home internet?","<linux><networking><windows><putty>"
"Cat files except one","<text-processing><cat>"
"Trigger certain events for devices","<linux><linux-mint><scripting><configuration><games>"
"Solaris 11 /var used significant space, but I cannot see it on filesystem","<solaris><zfs><snapshot>"
"How to enable sadc cron jobs?","<sysstat>"
"How to run a gui client os in a virtual machine on non gui linux host?","<virtual-machine><kvm><qemu>"
"Can I specify partition in ""reboot"" or any similar commands?","<partition><osx><reboot>"
"Debugging Slow Queries in MariaDB/MySQL","<mysql><performance><mariadb>"
"Linux Mint 17.2 cinnamon takes too much time to boot and to be usable after login. What to do?","<linux-mint><boot>"
"Why is syslogd not reporting messages to remote server during and just after the boot?","<rsyslog>"
"Distribution with Plasma 5, rolling or LTS, security, encryption, non-free options","<distribution-choice><plasma5>"
"Need to grab IP of visitors from the Apache logs","<logs><apache-httpd><ip><php>"
"Fix brightness linux mint 17.2","<linux-mint><brightness><backlight>"
"Avoid output buffering for a command group (curly braces) in bash script","<bash><shell-script><pipe><buffer>"
"Where is ttylinux's source code?","<linux>"
"Installing GCC on SLES 12","<package-management><gcc><sles><zypper>"
"What can interrupt execution of threads which are pinned to cores?","<linux><kernel><linux-kernel><performance><interrupt>"
"Start a group of Virtual Machines in Virtualbox","<linux><debian><virtualbox>"
"Question about Vi/Vim buffer","<vim>"
"qemu share network","<networking><qemu><bridge>"
"jvm option -Xloggc with %p in systemd.unit gives wrong log filename","<systemd><java>"
"Chrony client do not change system and hardware date","<date><clock><chrony>"
"Reverse dependencies to determining the Cause of DNF conflicting packages","<fedora><package-management><dependencies><dnf>"
"How to list *.tar.gz, one filename per line?","<ls>"
"Understanding the gcc library search path","<linux><command-line><fedora>"
"some sed commands fail when in background","<bash><shell-script><sed><regular-expression><dash>"
"On my local machine, what can Screen bring, which a terminal emulator or nohup/disown can't?","<gnu-screen><terminal-emulator><terminal-multiplexer>"
"32 bit aplications aren't installing properly on 64-bit","<debian><apt><aptitude>"
"Swapping hard drives results in being unable to boot","<boot><uefi>"
"What are the use cases for a hard disk's WWN?","<disk><uuid>"
"How to add a delay to the power button for accidental bumps","<centos><power-management><shutdown><acpi>"
"shell - mysqldump works with echo but not directly","<shell><mysql><variable>"
"autocomplete with inline variable setting","<bash><osx><environment-variables><autocomplete>"
"Insert new text in the middle of a file replacing old text without re-inserting the same things over and over?","<text-processing><sed><regular-expression><perl>"
"Is there a way to tell how many commands I've run since I ssh'd / logged in, in bash?","<bash><command-history>"
"zsh: populate search input with existing line contents when ^R is pressed?","<zsh><command-history><zle>"
"Delay between TCP send and actual write to the NIC","<tcp><socket>"
"USB-C AlternateMode not working even after upgrading kernel to 4.19","<linux-kernel><usb><display><displayport>"
"Why I'm unable to install a package with apt","<debian><apt>"
"How to install nitrux os?","<ubuntu><usb><bootable>"
"Why i3lock and xautolock and not xscreensaver?","<i3><xscreensaver>"
"Does a terminal emulator execute a program always indirectly via shell?","<xterm><terminal-emulator>"
"AWK print specific fields without specific word","<awk><sed><regular-expression><text-formatting>"
"pm-suspend vs systemctl suspend?","<systemd><suspend><systemctl><pm-utils>"
"Is a virtual console running as a process and implemented based on pseudoterminal?","<linux><terminal-emulator><virtual-consoles><pseudoterminal>"
"Replace @@@ and NotApplicable string and redirect output to other file?","<text-processing><awk><sed><aix>"
"How to create gnome-terminal as a child process of my process","<linux><process><gnome><gnome-terminal>"
"Converting data and using sed/awk","<shell>"
"MacOS parsing for ASN","<shell-script><osx><curl>"
"How we can change the priority of a process with top command in linux?","<linux>"
"Are timestamps created with new GPT partition tables?","<gpt><partition-table>"
"Set time with ""Date -s"" return ""invalid date""","<debian><date><arm>"
"SSH - Interception","<linux><ssh>"
"ProjectM ""Easter Egg Parameter"" in config.inp?","<configuration>"
"Batch moving a custom set of images with Ranger?","<mv><move><ranger><batch-jobs>"
"How to loop over ever-increasing list of files in bash?","<bash><files>"
"I have four files with 10 lines of each, how to get output like below","<shell-script><scripting><perl>"
"How to use find for finding and deleting corrupted files?","<find><corruption>"
"Getting modifier keys (Alt, Ctrl) to work together with ISO_Level3_Shift","<keyboard-layout><xkb><wayland>"
"Is extracting the first line from a file that is accessed via NFS thread safe?","<nfs><concurrency>"
"How can a bash function return multiple values?","<bash><shell-script><function>"
"Which number from 1 till 64 is the debug's signal number?","<bash><signals>"
"Initialise NTFS-Filesystem from old $MFT","<filesystems><partition><ntfs><partition-table>"
"What exactly term ATOM means in Gentoo Portage?","<gentoo><portage>"
"Is it better to wait for Snapper to finish before rebooting?","<opensuse><btrfs><snapshot>"
"Why 'cp --preserve=links' doesn't work?","<cp>"
"How to change display resolution for Armbian ?","<resolution><armbian>"
"exec in php does not work","<raspberry-pi><php><raspbian><exec>"
"Using sed to replace numbers with @ inserts @ between every character","<sed>"
"Enforce Commited_AS to be no more than CommitLimit plus MemTotal on Linux","<linux><memory>"
"Samba works but can't connect through Windows 10","<samba>"
"shell script or awk script to delete files that first column/field is empty","<shell-script>"
"Declaring a variable that does not have input","<variable>"
"Invoke date within an awk command to format output","<command-line><awk><date>"
"Run command on remote login for any shell","<ssh>"
"How to disable Hardware Acceleration in Linux?","<xorg><hardware><graphics><gpu><opengl>"
"How to disable implicit source port mapping on outgoing UDP packets sent through NAT in iptables?","<networking><iptables><routing><netfilter>"
"Find out what process accesses file/device","<hard-disk><raid><processes>"
"Installing lablgtk on Linux","<linux><software-installation><configure>"
"sed Argument List Too Long While Updating JSON","<shell><sed><json>"
"Setting graphical environment: dpkg-reconfigure or update-alternatives?","<debian><desktop-environment>"
"Checking for program installation and continuing script","<bash><shell-script>"
"Laptop display not working - but external monitor is (Antergos)","<display><antergos>"
"How to get the ruid, euid, suid and rgid, egid, sgid of a process?","<linux><process>"
"postfix and mailman. One list is working, others bounce","<postfix><mailman>"
"BASH - customizing PS1 to run a command","<bash><colors><prompt>"
"Symlinking all dot-files and -directories","<bash><zsh><symlink><dot-files>"
"Word splitting in positional parameters","<variable><arguments><variable-substitution><parameter><bash-expansion>"
"Cannot compile TpLink Archer T9UH adapter drivers on Kali Linux VM","<drivers><kali-linux><make>"
"How to pass multiple files in one stream to process them pipe-like (without saving) on the receiving side?","<shell><files><streams>"
"Supply dimensions to convert -crop from a list of dims","<images><conversion>"
