title,tags
"Do vegan diets contain enough calcium?","<veganism><vitamins-and-minerals><dairy-products><calcium>"
"Pros and cons of trying a vegetarian diet for a few months as a transition to veganism?","<veganism><transitioning-diets>"
"Does a vegan diet actually cause weight loss?","<veganism><health><scientific-studies><weight-management>"
"What are the key differences between lacto-ovo and pesco vegetarians?","<pescetarianism><lacto-ovo-vegetarianism>"
"Is it healthy to be a vegetarian?","<health><lacto-ovo-vegetarianism>"
"Many plants need animals to grow (pollination, worms digging up the soil, etc.); when is it still vegan?","<veganism><agriculture>"
"What are the main nutrient deficiency concerns for vegans?","<veganism><vitamins-and-minerals><nutritional-deficiency>"
"Can you achieve sufficient daily complete proteins as a vegan if you only eat grains, fruits, vegetables and other whole foods?","<veganism><nutrition><protein>"
"Is there such thing as a vegan pregnancy test?","<veganism>"
"Is it safe to feed children a vegetarian diet?","<health><vegetarian-diet><children>"
"What are the highest protein sources for vegetarians/vegans?","<protein><lacto-ovo-vegetarianism>"
"Does vegetarianism impact life expectancy?","<health><lacto-ovo-vegetarianism>"
"Can those who eat insects be considered vegetarians?","<lacto-ovo-vegetarianism><is-it-vegetarian><entomophagy>"
"Is it true that giving up red meat would cut more carbon emissions than giving up my car?","<environment><global-warming>"
"What are the health benefits of vegetarianism?","<health><vegetarian-diet>"
"For a recipe that contains fish, what could be a vegetarian substitute that somewhat retains taste?","<cooking><substitutes><meat-substitutes>"
"What is a good source of Vitamin B12 for a vegan?","<veganism><vitamins-and-minerals><b12>"
"""Vegetarian Food"" or ""Vegetarian Alternatives""?","<veganism>"
"What is Tempeh?","<meat-substitutes><soy>"
"Statistics for number of vegetarians in a given country?","<statistics><research>"
"Do bivalves such as oysters feel pain or fear?","<ethics><animal-welfare><philosophy><animal-suffering>"
"Is it true that vegetarians who eat meat become ill?","<transitioning-diets>"
"Why are a lot of beer and wines non-vegetarian?","<vegetarian-diet><is-it-vegetarian>"
"Hidden non-vegetarian or vegan ingredients","<veganism><is-it-vegan><labeling>"
"What is Seitan? How do I get it?","<veganism><meat-substitutes>"
"Is some sugar not vegan?","<veganism><food><is-it-vegan>"
"How can I make a pleasant vegan latte? Soy milk often curdles in heat","<veganism><substitutes><dairy-substitutes>"
"What cheese is considered vegetarian?","<dairy-products><is-it-vegetarian><lacto-vegetarianism>"
"Which foods at Indian restaurants tend to be vegan and how can I tell?","<veganism><restaurant>"
"Is ""protein combining"" necessary to be healthy on a vegan diet?","<veganism><protein>"
"How to tell if a restaurant has vegan options?","<veganism><restaurant>"
"Is it consistent with a vegan philosophy to buy and wear secondhand leather products?","<veganism><philosophy><leather>"
"Reasons for being vegetarian or vegan other than ethical reasons?","<veganism>"
"Vegan substitute for down sleeping bags?","<veganism><substitutes><down>"
"Does a ""vegan leather"" exist?","<veganism><substitutes><clothing><leather>"
"Does the production of down typically involve killing or hurting birds?","<commercial-farming><livestock-industry><animal-welfare><down>"
"What should someone who became a vegan do with their non-vegan possessions?","<veganism><ethics>"
"What do you call an almost vegetarian diet that includes honey and insects, but excludes milk and eggs?","<vegetarian-diet><terminology><entomophagy>"
"Does eating or drinking too much soy cause men to develop breasts?","<health><soy>"
"Where does the B12 in vitamin supplements come from?","<vitamins-and-minerals><b12><supplements>"
"Do any major religions promote or require a vegetarian diet?","<outreach><vegetarian-diet><religion>"
"Does becoming vegan need a transition?","<veganism><transitioning-diets>"
"Is it safe to follow a Fruitarian diet? If not, what are the potential health issues?","<health><fruitarianism>"
"Is there an effective way to make vegan ""souffle"" pancakes (an airy, fluffy batter)?","<veganism><cooking><egg-substitutes>"
