title,tags
"My windows phone doesn't allow me to select a file to upload from the browser","<7.x><internet-explorer>"
"Import contacts from vcf file to Windows 7.5 Mango","<contacts><7.x><transfer><android>"
"How can I sync my Windows Phone device with my Mac?","<sync><macos>"
"Is there a Pandora client for Windows Phone 7?","<apps><7.x>"
"Why is music downloaded from Zune Marketplace often corrupted?","<zune><music>"
"How to sync my Windows Phone with iTunes (Windows)?","<sync>"
"How do I tell how much space my applications use","<apps><storage>"
"What are the best apps for kids out there","<apps>"
"Is it possible to ""root"" a Windows Phone device? What are the benefits?","<7.x><rooting>"
"How do I take a screenshot on a Windows Phone device?","<functionality>"
"Is it possible to categorize the app list?","<apps><organization>"
"How do I type a backtick (`) using the software keyboard?","<keyboard>"
"Does Multitasking in 7.5 Mango consume additional battery?","<7.5><multi-tasking>"
"Are photos uploaded automatically to OneDrive from my phone full resolution?","<onedrive><photos><7.x>"
"Unsync Hotmail contacts","<contacts><windows-live><outlook>"
"How can I make Google the default search provider instead of Bing?","<google><bing><search>"
"How do I access the full battery status diagnostic in my Lumia 800?","<battery><lumia>"
"What factors should I consider when choosing a Windows Phone device?","<device-comparison>"
"A person tile can be marked as read?","<tiles>"
"How do I remove a misspelled word that I accidentally taught to my phone?","<keyboard><autocorrect><dictionary>"
"How do I update metadata on songs already synced to my device?","<zune><music>"
"Is there a way to sync emails to the server immediately after they are read?","<sync><email>"
"How do I prevent a word from being auto-corrected?","<autocorrect>"
"How to attach files to an email in Windows Phone 7.5 Mango","<email><7.x>"
"How to get background pictures for the Music + Videos hub?","<zune><music>"
"How to send picture or video over bluetooth?","<bluetooth><pictures><video>"
"Finding Eduroam WiFi Certifications","<wifi>"
"Download email embedded images automatically","<email><photos>"
"Why I can´t find/download this app from marketplace?","<apps><store>"
"How can I connect my computer to internet through my Windows Phone 7 device?","<7.x><internet-sharing><3g>"
"Is there any way to disable some of the hardware buttons?","<buttons>"
"Zune Marketplace showing apps for Zune HD and not Windows Phone","<zune>"
"A way to get from music player back to artist selection","<music><zune-player>"
"Does Windows Phone prioritize between using a data plan and wi-fi connection?","<cellular-data><internet>"
"Is there any way to workaround the ""error code 80072f0d"" when syncing against an Exchange server?","<email><sync><exchange>"
"Syncing email drafts in Windows Phone","<email><sync>"
"how to stop Zune searching marketplace?","<zune><music><search>"
"How can I backup my SMS","<backup><sms>"
"Any solution for 3G traffic counting?","<wifi><7.x><3g><data-usage><metering>"
"What can be backed up?","<apps><backup><sms><games><history>"
"Unable to update country on Live account?","<microsoft-account><language-setting>"
"How exactly sync option ""as items arrive"" works?","<sync><email><messaging>"
"How can I customize the appearance of Windows Phone?","<settings>"
"How does Windows Phone manage Fast Switching between apps?","<7.5><multi-tasking>"
"How can I set my Windows 7 Phone's default DNS server?","<settings><wifi><7.x>"
"How to pin WiFi settings on the start screen?","<settings><wifi><pin-to-start>"
"How can I remove the recently used programs on Windows Mobile 2003","<settings>"
"Flash degradation when going to standby","<flash-memory>"
"How to change the master computer properly?","<zune><sync>"
"How can I permanently remove the games from Windows Mobile 2003?","<games>"
"Do Windows Phone devices use wear-leveling algorithms?","<flash-memory>"
"Is there any way to backup my entire phone?","<backup><homebrew>"
"What is the difference between rooting, unlocking, and custom ROMs?","<rooting><custom-rom><unlocking>"
"How do I make my phone the device to use for two-factor authentication with the new OneDrive?","<onedrive><security>"
"What can I do to set up Wireless Sync on Windows 8?","<zune><wireless-sync>"
"Marketplace reviews and ratings","<store>"
"What are the options for developer-unlocking a WP7 device?","<7.x><rooting>"
"Not able to pin my application to Start on Lumia 900","<lumia-900><outlook>"
"How do I get other calendars (shared) from my gmail account to sync to my windows phone?","<sync><gmail><calendars>"
"Is an unfavorited track in an autoplaylist of favorites going to be removed from the device?","<zune><sync>"
"How can I switch audio output from A2DP to jack?","<bluetooth><audio>"
"I don't want to see birthdays from every Facebook contact on my phone's calendar. How can I limit this?","<calendars>"
"Disconnecting bluetooth make audio out fail when playing media?","<bluetooth><audio><mediaplayer>"
"Is it possible to stop the screen going off, when plugged to mains/PC?","<functionality>"
"What does Error C00D07C9 mean when trying to set up wireless sync?","<zune><wireless-sync>"
"How can I remove items from the custom dictionary?","<keyboard><autocorrect><dictionary>"
"How Can I Change My Microsoft Account?","<settings><microsoft-account>"
"What is the limit for 3G marketplace downloads?","<wifi><store><3g>"
"How do I enable WiFi Hotspot?","<wifi><internet-sharing>"
"How does Windows Phone consume cellular data?","<wifi><cellular>"
"Where is the forward button in Internet Explorer?","<functionality><buttons><internet-explorer>"
"Can Samsung Windows Phones use the Swype keyboard interface?","<apps><settings><autocorrect>"
"How to route all data traffic through a proxy server?","<internet><networking>"
"Is there a way to get terminal access on a WP7 device?","<rooting>"
"Does Windows Phone Do Any On-Device Encryption?","<cellular-data><security>"
"Why can't I access HTTPS websites that use a self-signed SSL certificate?","<certificate>"
"Does Windows Phone 7.5 support A2DP?","<bluetooth><audio><device-comparison>"
"Disabling keyboard click but retain dial keykad beeps","<keyboard>"
"How do we save WhatsApp Conversations?","<apps><whatsapp>"
"How do we have seperate notifications for different email accounts?","<email><notifications>"
"Will I void my warranty if I run Samsung service codes?","<diagnostics>"
"Is there any way to trick WP7 to use Data connection as Wi-fi(larger marketplace downloads)?","<wifi><3g>"
"Do we have an app for Testing cellular/WiFi latency, http compression, etc","<wifi><3g><networking><cellular>"
"How To Erase A Phone","<settings>"
"Can i just rename old Live ID","<backup><microsoft-account>"
"What diagnostic tools are available on (specifically Nokia) Windows Phones?","<lumia><diagnostics>"
"How can I show tray hidden icons (such as data connection)?","<system-tray><user-experience>"
"How can I force the system tray/clock to show in Internet Explorer?","<system-tray><user-experience><internet-explorer>"
"How can I disable the SIM PIN?","<security>"
"Is there a way to force quit an app?","<functionality>"
"Is there a way to search podcasts in collection?","<search><podcast>"
"Is the text in the calendar's month view supposed to be readable?","<calendars>"
"Can Zune playlists be created on the device?","<zune><zune-player>"
"Change format and appearance of inbuilt calendar live tile","<settings><calendars><tiles>"
"Custom tone for new text messages etc","<settings><audio><notifications>"
"Procedure to clean internal camera lens","<camera><cleaning>"
"How do I explicitly dismiss a toast notification without having to wait for it to disappear on its own?","<system-tray><notifications>"
"Is it possible to use my phone as a mass storage device to transfer files between two otherwise disconnected computers?","<7.5><storage><usb><file-transfer>"
"Is it possible to change volume of ring signal without volume of the wakeup alarm being changed?","<settings><audio>"
"Can I make the it ring from my phone speaker instead of the headset when I have a bluetooth headset connected?","<settings><audio>"
"Is the Wi-Fi symbol always supposed to have ""full connection""","<wifi><system-tray>"
"Is there any way to see or enable viewing of Update Notes in the Marketplace? ","<store>"
"When can we expect a Wi-Fi hot-spot feature for Nokia Lumia 800?","<lumia><internet-sharing>"
"Enable Nokia Music Mix Radio on Lumia 800","<music><lumia>"
"When I'm signed into Facebook Chat on my phone, what's my status look like on the site?","<messaging><facebook>"
"Syncing Audiobooks as Podcasts and not as Music","<music><audio><podcast>"
"Why can't I register my credit card on the Marketplace?","<store>"
"How can I carrier unlock my windows phone device?","<unlocking>"
"How do I upload pictures as an album to Facebook, directly from Pictures?","<pictures><facebook>"
