title,tags
"How to fix this superweapon's plotholes?","<super-powers><weapon-mass-destruction>"
"How many meteors can an ecosystem sustain without them causing an irreversible effect?","<meteor>"
"What super-dense solid could be produced in large quantities using only Earth's atmosphere?","<science-based><science-fiction>"
"How to determine surface temperatures at specific points","<hard-science><temperature>"
"Speed of a Spider Tank?","<science-fiction><vehicles><mechs>"
"How do different color eyes affect eyesight?","<magic><fantasy-races><worldbuilding-process><races>"
"a skunk that can't stink, but can blind you temporarily?","<creature-design><fauna><zoology>"
"How can we make a one-way radio?","<apocalypse><radio>"
"powersource with managably sized wormholes","<science-based><science-fiction><energy><kardashev-scale>"
"How to find the man who isn't there?","<science-based><psychology><espionage>"
"Using airships for air assaults","<military><airships>"
"How can I achieve 1.5 mile (or even 300 foot) wide tree branches?","<science-based><biology><flora>"
"Can long-term exposure to high-energy radiation without corresponding visible radiation induce melanism in a species?","<reality-check><evolution><fauna><alternate-worlds>"
"What fantasy race has an affinity for water?","<magic><creature-design>"
"What political structure would develop within an interplanetary civilization?","<planets><society><politics><futurology>"
"Is there any way to truly hide a spaceship?","<science-based><technology><spaceships><space-travel>"
"Can I Have A Destroyed Civilization with No Ruins?","<science-based><civilization>"
"What would be the minimum distance between front line trenches in trench warfare?","<reality-check><warfare><weapons>"
"How long would this eclipse last?","<science-based><planets><moons><astronomy><eclipses>"
"Vertical cyclones in a rotating space habitat","<science-based><weather><space-constructs>"
"How to weaponize gravitational waves","<weapons><gravitational-waves>"
"I'm inventing a new calendar. What are good criteria for the choices of first day, first year, and first hour?","<culture><orbital-mechanics><time><sunlight><time-keeping>"
"Is there enough space in the US for every US teen go on a 2 week outdoors trip?","<near-future><united-states>"
"Why is long-term living in Almost-Earth causing severe health problems?","<science-based><biology><health>"
"Logical justification to wear black leather in the Post-Apot","<reality-check><post-apocalypse><climate><clothing><deserts>"
"One man kidnapping job","<logistics>"
"How to calculate the probability of survival of a young civilization","<society><politics><survival>"
"How would a lifeform absorb energy from wind?","<biology><physics><xenobiology>"
"How to travel through space without modern technology","<science-based><technology><space-travel><spaceships><post-apocalypse>"
"If the Romans found one working steam engine would they have been able to copy and use it?","<reality-check><alternate-history><ancient-history><steampunk>"
"Geological Effects of Nuclear War","<nuclear-war>"
"""Feasible"" Intergalactic Travel via Brane/Bulk","<science-based><reality-check><faster-than-light>"
"Mass transit across the solar system","<solar-system><transportation><megastructures>"
"Requirements for naval-analogue space warfare","<space><warfare>"
"Anatomically Correct Den Den Mushi","<reality-check><creature-design>"
"Can a race/species survive consuming only liquids?","<science-based><reality-check><biology><creature-design>"
"30,000 rhinos were to attack South America, will they survive?","<warfare><invasion>"
"Plausibility of telescoping generations with inter-generational insemination?","<science-based><evolution><reproduction>"
"What would it take to purposefully bring about the end of the world by ""gray goo""?","<science-based><reality-check><engineering>"
"Tactics to prepare for an alien invasion when nobody will believe you","<aliens><science-fiction><strategy><invasion>"
"Can there be life on a planet with water, but without atmosphere?","<planets><space><aliens><space-travel><life>"
"Could a solar system with large amounts of dust and debris exist?","<space><science-fiction><space-travel><spaceships><travel>"
"What kind of human music do badger-folk like?","<culture><hard-science><music><chimera-folk>"
"Would it be possible for a planet to form so it has all of the landmass in only one hemisphere?","<geography>"
"What effects of a magical strength increase that occurs during, and only during, the teenage years, have on human society and infrastructure?","<society>"
"How would a post-religion society be in a still religious world?","<society><religion>"
"Rate of deterioration for asphalt/blacktop and road signs","<science-based><futurology>"
"Where to find shelter in a cold, dark world at war?","<survival><travel>"
"Implications of an armed United Nations","<warfare><politics><earth-like><diplomacy>"
"Asteroid mining: Good for the environment?","<space><metals><asteroids>"
"How damaging would the loss of hearing, smell and sense of touch be on an open battlefield?","<magic><military>"
"How much TNT do I need to blow up Mars' moon Deimos?","<space><weapon-mass-destruction><nuclear-weapons>"
"What would the sky view be like of a final stage massive merged galaxy?","<astronomy><galactic>"
"How can the effects of a Gene become weaker with each new offspring?","<biology><genetics>"
